N,q,split,plane,z_mm,pos_med_um,pos_p95_um,slope_med_mrad,x_med_um,y_med_um,tx_med_mrad,ty_med_mrad
64,12,test,54,7016.96875,1640.3846329296066,7158.23398967057,1.1443280641546156,1538.5234917313965,409.3542703155322,1.1193136722261605,0.13745975281708595
64,12,test,55,7097.871875,1709.0012233337147,7551.518869934311,1.1615071133391914,1604.7517956477293,418.9327935541769,1.1431491064642987,0.14105744456380329
64,12,test,56,7178.775,1783.486279824416,7842.876793617666,1.1872614515353352,1682.8932052058362,428.2828140105099,1.1641983027581293,0.14545285569065106
64,12,test,57,7259.678125,1842.2195729893715,8241.145245650227,1.1942863138923316,1773.338437766668,438.83977720128087,1.1769860270999035,0.14708801304928482
64,12,test,58,7340.58125,1929.4974431585956,8511.509609908286,1.2041305779858167,1873.0618487591214,446.1241162280345,1.1856939883831685,0.1484621515720863
64,12,test,59,7421.484375,2018.6761527229748,9045.190759445648,1.216756487818174,1960.4412338615305,455.64563637705646,1.1970058610427174,0.1497793996981063
64,12,test,60,7502.3875,2118.893211141085,9310.247577849523,1.2336276913190307,2053.3374143474957,464.6560270291218,1.2166309152233865,0.15065249263812933
64,12,test,61,7583.290625,2211.280859911483,9413.849010038437,1.2453829862922179,2153.9753738588274,477.2227934895312,1.2271909407233477,0.15078941809401875
64,12,test,62,7664.19375,2290.5425364151597,9694.625832375512,1.2569649610809641,2234.8708163887923,483.8644404572108,1.2358104847391416,0.15254921243983316
64,12,test,63,7745.096875,2382.1512201761516,10027.911216091898,1.2566801194641153,2335.247417688599,491.427846816336,1.2346747839926397,0.15337739187968724
64,12,test,64,7826.0,2480.8979728421878,10365.839559536278,1.2685207162466683,2415.3412594764204,502.25683599992266,1.2446016120694348,0.15442948572186832
64,13,val,0,2648.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,13,val,1,2729.1031249999996,4.836511934030341,13.374479742562036,0.004937782658937656,4.325672783153323,0.5603824472615315,0.003844763337576551,0.0020356526024278843
64,13,val,2,2810.00625,10.179107714672675,27.881880315499046,0.009741768056467995,9.234130739372404,1.1670653704527467,0.007521291689793763,0.0039944330194816025
64,13,val,3,2890.9093749999997,16.827424079444597,44.63159819275113,0.015268459333389606,15.424398699352082,2.065081998836149,0.011809020720461583,0.006254184092654991
64,13,val,4,2971.8125,23.744012989027397,64.27364609128004,0.019348019460768695,21.862987389624777,2.695740982147754,0.015137445781872164,0.007769942083160966
64,13,val,5,3052.715625,32.97828372399181,82.54418417777738,0.025790024943121714,29.86292304570526,3.565577883156479,0.019966919659442084,0.009637477887423484
64,13,val,6,3133.6187499999996,42.14954657601311,106.13129227657492,0.03388098373018761,39.46747465607814,4.942028618515337,0.02643284806109255,0.012163192584735416
64,13,val,7,3214.521875,52.38339395185676,137.7786010061468,0.04229799064753726,49.108669717979225,6.636108664977769,0.03384192521391563,0.0147885361506837
64,13,val,8,3295.4249999999997,63.45249759826288,171.40270954918958,0.05023041836162839,58.51671910937739,8.75717343933502,0.0406974982271463,0.017497624099541143
64,13,val,9,3376.328125,75.24935968784519,209.52893522320028,0.05844809606250778,68.5416158815002,11.015061760531353,0.047112760382467256,0.020036326085935783
64,13,val,10,3457.23125,86.08993378572904,251.99983593979582,0.06432057792400692,78.46835142451081,13.327657553608319,0.051576974852599045,0.021977660829383683
64,13,val,11,3538.1343749999996,98.72150362853205,291.9664563627633,0.07097612207704329,90.04620458054546,16.259469790242065,0.05726976259437522,0.02383165680099053
64,13,val,12,3619.0375,111.55277736048674,340.08656038457394,0.07796742954589708,102.23200143801137,19.622596454738073,0.06297029997109904,0.02522922815761941
64,13,val,13,3699.940625,125.46461500275541,384.7266330000831,0.08462769369108059,116.2962341394973,23.78169061198321,0.0672999445064798,0.02739670695819582
64,13,val,14,3780.84375,141.55068226630019,435.04239902649573,0.09386539001563723,130.55638891836452,27.282561475772127,0.07357968299349926,0.02982200259422311
64,13,val,15,3861.746875,157.74059218347247,484.26879195464886,0.10136087090484303,143.7553612413467,30.68090561603043,0.08057945981456566,0.033084357154253285
64,13,val,16,3942.6499999999996,172.81902466683619,513.7970665883125,0.10816306594065364,157.14794812575406,34.1935158243416,0.0850596789145619,0.03505860589001093
64,13,val,17,4023.553125,187.54285145048755,566.7769734768182,0.11742448532189864,169.95829742125323,36.503863394216296,0.08944605003349815,0.037659408995194266
64,13,val,18,4104.45625,203.27991149946456,625.6333562925195,0.12713510926193328,181.28017254593942,38.69089784727464,0.09909062220990558,0.04087340379813412
64,13,val,19,4185.359375,213.76828708214646,686.5638254131721,0.13662700491161653,195.3454362261482,41.23098033982586,0.10979718055414978,0.04174263345267659
64,13,val,20,4266.2625,231.07925290707954,776.5295228467968,0.15082560885913698,212.38215685711737,43.93664030632749,0.12327728016132272,0.044677634844720975
64,13,val,21,4347.165625,250.09916393094045,849.9006244208316,0.16402576626072668,227.80405394553327,47.887525206789405,0.13655582313376602,0.04780931696196644
64,13,val,22,4428.06875,256.405391885977,950.7459713965252,0.16978405061157664,234.27215665736867,49.80929189397898,0.14268475785123025,0.050906726667661675
64,13,val,23,4508.971875,267.0315125504885,1052.9720746467503,0.18617890003389675,244.03476714547878,54.26470415474682,0.15731983491162893,0.05394294352669381
64,13,val,24,4589.875,276.8086850163627,1122.9009417442467,0.19859047754294118,252.3758631613191,59.61739865688287,0.17177706290932848,0.05466268316190988
64,13,val,25,4670.778125,290.0043442799074,1230.3689280985254,0.21781320943045634,259.98028672088935,64.14983210272851,0.1892895966060376,0.05782451498892449
64,13,val,26,4751.68125,299.4114800847427,1345.186964418933,0.23658998906990122,269.9495991995775,68.93725798886408,0.20635922627440517,0.06131892232520697
64,13,val,27,4832.584375,308.9688297701514,1457.1688040770125,0.25402067216372115,274.22132745900285,69.67908513369991,0.22941208500437682,0.06400445020012836
64,13,val,28,4913.487499999999,319.3789980115298,1554.1847199377337,0.2746611520886427,284.81076519717163,75.35738340025944,0.2513926197426075,0.06556193081362627
64,13,val,29,4994.390625,326.0461227388305,1679.0676733441715,0.3008036165108585,290.1031835550896,80.96398532893545,0.2784296602469233,0.06824287231931014
64,13,val,30,5075.29375,339.0441293964557,1807.1766726529372,0.32855217154056926,297.79270229056465,86.3688167401051,0.30475623035338545,0.07018480601223703
64,13,val,31,5156.196875,357.9856008736897,1928.432486157816,0.3528300394917694,312.69568186084484,93.34532674563434,0.33196442158414663,0.07241562817666448
64,13,val,32,5237.1,380.54635911655055,2067.3381899193323,0.380759498515848,324.03098118970775,101.47349381463755,0.35979324044345395,0.07400636179430084
64,13,val,33,5318.003124999999,389.4034683067389,2166.631075735948,0.4146691021611401,335.7123943579836,108.051013762406,0.39146390028876876,0.0748769479005755
64,13,val,34,5398.90625,402.9711383396517,2333.8395179968575,0.4416027359902819,350.01680165146354,116.56610832916492,0.4232849351162027,0.07843162239040691
64,13,val,35,5479.809375,428.7131768185901,2511.529208072834,0.47512933983469285,364.24306129754314,125.09115170126961,0.45505605016496475,0.07977491430993106
64,13,val,36,5560.7125,455.3018403821909,2682.096178177672,0.5047761146757257,388.9713294820467,132.22024040626934,0.4847309949589651,0.08016110729727743
64,13,val,37,5641.615625,478.09972939175793,2857.8768816420957,0.538851023163131,415.39108275810577,140.4868650943598,0.515600621045123,0.08106211787765188
64,13,val,38,5722.518749999999,507.16078829805156,3074.8714690934403,0.572640936350205,441.50334702658256,145.60428168138628,0.5466114014855833,0.08211695769660965
64,13,val,39,5803.421875,543.3117536902046,3270.2791435687627,0.6039154682716541,472.9703194116581,153.8273160842749,0.5818157083670727,0.08342298703033213
64,13,val,40,5884.325,582.2664020712978,3469.7940781997995,0.6395535674602049,513.2450699220499,162.25323281946658,0.6167768107957772,0.08380355344170601
64,13,val,41,5965.228125,623.9863231820095,3701.607479415036,0.6728546754675713,560.7933465449122,167.43268497292263,0.6578190510417858,0.08404710105759661
64,13,val,42,6046.13125,667.1239375401967,3935.736577395285,0.7106718483023688,605.0679065508575,172.2478912473684,0.6950580333366652,0.0849872934157031
64,13,val,43,6127.034374999999,727.831524253844,4129.945024606534,0.7520177183800159,655.389178029651,178.83453805661276,0.731502748266867,0.08326235445402838
64,13,val,44,6207.9375,779.100662464451,4444.24881346291,0.7848546223188924,705.3204002151574,185.6114528569215,0.7693154793775303,0.08455352595562043
64,13,val,45,6288.840625,835.7227709035726,4662.615448129172,0.8148324676099106,769.9317210233971,192.69227447182402,0.7969315741619271,0.08578149142114688
64,13,val,46,6369.74375,910.653605634522,4885.437931754311,0.8515174775119011,818.6638875128551,200.28733719330916,0.8345680076785045,0.08652581017939975
64,13,val,47,6450.646875,977.3347985135388,5169.777515058084,0.8822847212479612,881.5183493056793,206.55015984999636,0.8612206193696903,0.08760265491757416
64,13,val,48,6531.55,1034.6947431988838,5489.675086294934,0.9170439006797038,949.540468965381,213.41587227669834,0.8955371020397118,0.08994264561856119
64,13,val,49,6612.453125,1097.2741832962356,5857.1568226113195,0.9549773703047826,1013.9801141331191,218.8268200885659,0.9270611251787353,0.0908306520044002
64,13,val,50,6693.35625,1169.4413514490093,6122.255902386342,0.988832056657174,1091.1872501902167,226.26461195170577,0.9652638884287135,0.09155445936338824
64,13,val,51,6774.259375,1247.4649494141943,6446.483443922935,1.0166494911989647,1164.409044922138,231.76541827599806,0.9896209868854163,0.09365233605321266
64,13,val,52,6855.1625,1322.6389904586995,6696.369684128689,1.0332293032048467,1239.7053529419395,238.43539424387927,1.0183938039031726,0.09543193270137446
64,13,val,53,6936.065625,1404.7831961281076,7030.474862286065,1.067218249062002,1317.4148111838235,242.1905504323547,1.0451079729926622,0.09707447419045334
64,13,val,54,7016.96875,1474.156883627984,7492.875036212483,1.0915810133929198,1396.6137946480899,244.03521215731416,1.0718624940276174,0.09861145561671121
64,13,val,55,7097.871875,1551.9238321606394,7823.712872209109,1.1092009642779121,1471.9620936203341,255.53866086303856,1.0913684564874822,0.098939836381845
64,13,val,56,7178.775,1632.1771068084843,8171.8664475400765,1.1276808461531396,1558.8212135003232,266.8257520428483,1.1055788632275547,0.09994642572952461
64,13,val,57,7259.678125,1729.5453055770622,8536.933612386434,1.1369845653603217,1643.0083772306716,275.12661492608004,1.1133224407312847,0.10102923482120663
64,13,val,58,7340.58125,1818.998563395013,8911.516308230897,1.1533177845959308,1732.2824484829198,282.6269427715715,1.1339642584718632,0.10190579453819848
64,13,val,59,7421.484375,1901.6676577846283,9298.448829980616,1.174983191433887,1820.4193155029316,287.7681042186282,1.1470598596808879,0.10239414104634692
64,13,val,60,7502.3875,1988.4990966807834,9662.133875111385,1.181827693802484,1890.7138713728386,296.2335444049131,1.1506902543807762,0.10263572482548805
64,13,val,61,7583.290625,2082.6239284650683,10010.731876811906,1.1886999036226502,1983.7544949764379,300.5975130241154,1.1573083009683294,0.10310554644774472
64,13,val,62,7664.19375,2175.195293694742,10457.055074087493,1.1911062211121537,2074.926027004665,308.5645839512381,1.1657933431670209,0.10505757893725445
