N,q,leg,outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
4,5,1,17,stall,8.960428898134341e-07,61.20938581929636,62.444249564364895,59.55486672433352,380.2350435989604,329.1981634047062,0.03725914363720412,10.2
4,5,1,18,stall,8.786772203077647e-07,58.26934853017107,59.80258376257552,57.735229158833334,368.38163240238066,321.69535582018085,0.037915028861731925,10.5
4,5,1,19,stall,8.773559734321873e-07,57.99690667318913,59.19451225798866,57.32133701235398,369.1127752669697,319.35771812789363,0.03783352555777192,10.2
4,5,1,20,stall,8.763784152226267e-07,57.475209414057815,58.818009423134754,57.028297752758306,366.0794787811763,319.25842608391866,0.03796662936484188,10.2
4,5,1,21,stall,8.75567027420954e-07,57.0330091550062,58.48314602587834,56.90065853728754,364.10132083939527,318.8894157324441,0.03795964879020272,10.2
4,5,1,22,stall,8.748594349563182e-07,56.673621321692735,57.898935216243785,56.60299471665553,361.9523498679224,318.7206599946869,0.038044923548974374,10.2
4,5,1,23,confirm,8.747528617461891e-07,56.67161492510786,57.77929893594358,56.64920333686929,362.59650146935985,318.58100079506397,0.03806629250343446,8.9
4,5,1,24,confirm,8.746574507470463e-07,56.64833220593124,57.68746135182923,56.712559720281774,362.83114156268186,318.5489330881681,0.03803061419463405,8.9
4,5,2,0,stall,7.785228229445152e-06,1226.406288196003,1174.1556383043417,1215.1964918470953,2374.3182669315715,2294.3502619744663,0.6609816685999165,8.6
4,5,2,1,stall,2.2696776643517744e-06,410.1972381903227,419.2605086202832,420.9165475091936,1191.5394205904481,1155.257555101448,0.26743487008734634,9.3
4,5,2,2,stall,1.3840618193804416e-06,336.8344203375102,346.14265352956863,353.2516418577174,971.3950313620205,924.8193907738099,0.14957581450367186,9.4
4,5,2,3,stall,1.0316735856348453e-06,275.0150252554846,277.09361194274607,277.30945907367754,839.1138456606766,807.9745241626533,0.11657792626701413,9.4
4,5,2,4,stall,8.423372741724655e-07,226.11304662521547,228.44957055031045,224.24877544045785,751.5380054670776,715.272628629716,0.10129748712076753,9.7
4,5,2,5,stall,7.25139107893798e-07,169.5714450706589,174.92218451971553,176.31532971385155,598.9927131199802,570.405601205681,0.09447020273256612,9.7
4,5,2,6,stall,6.385367673467296e-07,104.03724066017617,103.54783549632884,106.28243072731891,541.3765443624584,533.1056098953685,0.08963170016358657,9.8
4,5,2,7,stall,5.786535502262856e-07,92.16156206525739,87.85115508376862,90.21327482625452,517.68355617979,538.28000159906,0.08197239403828771,10.0
4,5,2,8,stall,5.353832441062398e-07,94.2203212550794,90.17957476686433,89.9008782822932,505.6325287110502,510.7006499131332,0.06993935241179222,10.1
4,5,2,9,stall,5.187928795564531e-07,94.19801400326833,90.73264743938125,89.17920449312788,505.9456843697654,505.43849391325125,0.06464687572313443,10.8
4,5,2,10,stall,5.17583371715192e-07,93.91830614782748,90.21174249267006,89.48177368273846,507.1964747038905,503.69734934131293,0.06493326287751455,10.6
4,5,2,11,stall,5.167401983653572e-07,93.64044031332952,89.88294568985111,89.4566550508955,508.53813970178345,504.2719872853519,0.06509710377779893,10.6
4,5,2,12,stall,5.160503630516534e-07,93.21376601081255,89.59849815198595,89.03409144810936,508.7052079249584,506.05935512553805,0.06498413477112885,10.6
4,5,2,13,stall,5.154501350914959e-07,93.08315246797605,89.47344879970842,89.09415249291897,508.09283522836427,507.21016417299586,0.0650170430646635,10.6
4,5,2,14,stall,5.149108652483423e-07,92.89070985864356,89.39060749946748,88.94092060586445,507.52886193200675,507.22148816269066,0.06478317584814042,10.6
4,5,2,15,stall,5.144166911739729e-07,92.96742174953553,89.30261526211325,88.93840468653025,507.22587865797584,507.17435238098443,0.06486153108768711,10.6
4,5,2,16,stall,5.139577247000526e-07,92.84945462311356,89.17378458340863,88.9432298862829,507.0704009384878,507.0754485405688,0.06471554676143465,10.6
4,5,2,17,confirm,5.138140823220853e-07,92.70389601802265,89.79988840303577,88.80474137319538,506.80658134739906,506.2505353183213,0.064690888450597,8.9
4,5,2,18,confirm,5.136856560498335e-07,92.60386573615165,89.41569311627973,88.75679734055097,506.26988920900544,505.8500851075224,0.06473666529371175,8.9
4,5,3,0,stall,5.560947375184824e-06,1432.6502432816178,1426.8525853229903,1406.7291974546094,2830.036139221112,2635.347288532671,0.4868477407068972,8.7
4,5,3,1,stall,1.5215872645986157e-06,355.2390042799516,363.5101423310516,359.24751242899333,1413.4414626500982,1297.2093773046665,0.20619911978539407,9.2
4,5,3,2,stall,8.493846027614671e-07,313.72946401796753,316.60888347494165,320.80942702955895,1177.4078719149413,1021.2660973370845,0.15847343159286487,9.4
4,5,3,3,stall,5.587083651322253e-07,208.9948937438919,210.48301117411938,214.3843126198135,874.7605782088812,823.0035177467073,0.12055621448095466,9.5
4,5,3,4,stall,3.9217837775447416e-07,192.41341729740924,195.5677458234959,194.6509282853981,759.66145104137,680.2539331455935,0.10402777249891859,9.5
4,5,3,5,stall,3.124397954023011e-07,158.43728359189413,162.92219673073305,157.89231266173687,678.0447254302914,625.5457629077996,0.10878074692013961,9.6
4,5,3,6,stall,2.587262358210268e-07,156.86832539697093,161.268786536084,149.47502821416947,698.799922227931,616.2004822454777,0.10549268907254772,10.2
4,5,3,7,stall,2.2100932154566102e-07,150.0041247887225,154.07066932812086,146.35117963769062,612.8974048572671,531.0957233960347,0.10734768597481237,10.3
4,5,3,8,stall,2.128578655838396e-07,147.0034188328988,148.1403980492928,141.47904477974294,616.3326946711635,529.0443045848642,0.10517056034908823,11.0
4,5,3,9,stall,2.1186711218356743e-07,146.88638270834707,147.67540031448334,140.42079941484076,622.9739049496571,532.3385517110411,0.10513797690966942,11.0
4,5,3,10,stall,2.1114376101642567e-07,145.99279847696778,147.3259306528405,140.22230487195486,627.7846931279184,531.6948909284336,0.10493583789716876,11.0
4,5,3,11,stall,2.1057198288444372e-07,145.58499856557327,146.73162330529976,140.35294407310062,630.8646183661933,528.9953624315474,0.10537059014444072,10.8
4,5,3,12,stall,2.1008759482724438e-07,144.9215271444757,146.44911327820864,139.9036783755605,633.0642412713497,529.5452850827162,0.1051517126390289,10.7
4,5,3,13,stall,2.096740108435093e-07,144.39263030618577,146.06084385707163,139.50194160224783,634.2809346871467,530.9722283176009,0.10493707716599521,10.6
4,5,3,14,stall,2.0930979758697532e-07,143.75630825770713,145.46389705833462,139.18385430793023,633.1977532810181,531.9519796942736,0.10469077031463603,10.4
4,5,3,15,stall,2.0898620996792563e-07,143.48277266657306,145.0676379187712,138.70820430098263,631.3705164423601,532.69742971343,0.10444341012794123,10.3
4,5,3,16,stall,2.086971009398204e-07,143.06795742835732,144.54269918479667,138.81401320981013,630.6147995981539,532.5202916730951,0.10421000170046657,10.2
4,5,3,17,stall,2.084362221227188e-07,142.91933683099955,144.33364631554468,138.81993068955012,630.6118743419653,532.2545734610138,0.10389262101601071,10.1
4,5,3,18,stall,2.0819800664872672e-07,142.7453377915242,144.22261794676672,138.79533756010431,630.5254844186377,532.1340945824048,0.10356749421483458,10.1
4,5,3,19,stall,2.0798078750409772e-07,142.65616356453847,144.10795778150032,138.430000671093,630.568823583414,531.8577783767638,0.10345176681387375,9.9
4,5,3,20,stall,2.0777890185943307e-07,142.42989420174013,143.9493978475639,138.18294549713528,630.4503837733089,532.4799129839797,0.10325013811779415,9.9
4,5,3,21,stall,2.075927843270659e-07,142.01440548367827,143.5618579516813,138.24703112840098,630.7182319489347,533.7710182492182,0.10308171475661987,9.8
4,5,3,22,confirm,2.0754973318436375e-07,142.08245078228288,144.00431341368858,138.3020333693139,630.8113889033573,533.630250247623,0.10303443785568411,9.0
4,5,3,23,confirm,2.0750871630677094e-07,142.0621292252804,143.86639545409707,138.34575512339597,630.896385803796,533.4837073340886,0.10301398089589131,8.9
