N,q,split,comparator,component,unit,med,p95,mean,bias,qop_max_abs_change,qop_passthrough_max_abs_change
64,16,val,vs_rk6_endpoint,ty,mrad,0.13268017122830197,1.057290528727736,0.2892979657118784,-0.018102933055374942,0.0,0.0
64,16,val,vs_real_scifi_state,x,um,3064.0557854767394,16906.15146706879,5363.294623709563,-85.91561477462268,0.0,0.0
64,16,val,vs_real_scifi_state,y,um,1055.2964925486917,6874.686683799942,2302.488679680576,-132.91657308862744,0.0,0.0
64,16,val,vs_real_scifi_state,tx,mrad,1.462449335774052,7.236716376531755,2.34513558966158,-0.09963978293536656,0.0,0.0
64,16,val,vs_real_scifi_state,ty,mrad,0.29644862726649346,1.9971523558976796,0.6656214455723071,0.0075635378876227986,0.0,0.0
64,16,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
64,16,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
64,16,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
64,16,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
64,16,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
64,16,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
64,16,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
64,16,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
64,16,test,vs_rk6_endpoint,x,um,2247.2954673269214,10083.533022262589,3128.101862383948,3.200265365580271,0.0,0.0
64,16,test,vs_rk6_endpoint,y,um,480.99104019360084,2600.1935305441293,825.0193996064227,47.99647028159969,0.0,0.0
64,16,test,vs_rk6_endpoint,tx,mrad,1.2260349484791466,4.701392975740197,1.6065955033030634,-0.04188298488992166,0.0,0.0
64,16,test,vs_rk6_endpoint,ty,mrad,0.12102360045215116,0.9185223840358915,0.2703173490222827,0.024546952982384473,0.0,0.0
64,16,test,vs_real_scifi_state,x,um,2992.612563412493,16225.79922007596,4891.8992741721795,-35.70269263080297,0.0,0.0
64,16,test,vs_real_scifi_state,y,um,1018.2936721951421,5774.9587839305195,1791.3077278352675,141.51761826287216,0.0,0.0
64,16,test,vs_real_scifi_state,tx,mrad,1.4705542087366656,6.811367205475382,2.1889837753188464,-0.050615960483542714,0.0,0.0
64,16,test,vs_real_scifi_state,ty,mrad,0.2761716891155411,1.9124630574710255,0.5413175262768107,0.07114520269074019,0.0,0.0
64,16,test,straight_line_vs_rk6_endpoint,x,um,450541.20897316607,1251923.9406943007,531992.5955562802,9884.314569471735,0.0,0.0
64,16,test,straight_line_vs_rk6_endpoint,y,um,893.211049591855,24433.496090929446,4831.48761598312,108.52751943555974,0.0,0.0
64,16,test,straight_line_vs_rk6_endpoint,tx,mrad,171.8266523561743,490.8245439316273,205.66065297521143,3.646110771404555,0.0,0.0
64,16,test,straight_line_vs_rk6_endpoint,ty,mrad,0.3084377832926598,11.172864866383968,2.2205866819141415,-0.061154129595571156,0.0,0.0
64,16,test,rk6_truth_vs_real_scifi_state,x,um,1269.9286840310435,12005.702236552635,3296.906744453611,-39.0585677517167,0.0,0.0
64,16,test,rk6_truth_vs_real_scifi_state,y,um,730.3814137381437,4817.166287647019,1460.9300642137061,93.48799953047588,0.0,0.0
64,16,test,rk6_truth_vs_real_scifi_state,tx,mrad,0.34881072371655,4.643161002162138,1.1860690425234515,-0.00872706446494271,0.0,0.0
64,16,test,rk6_truth_vs_real_scifi_state,ty,mrad,0.2251230917004049,1.3826840614363687,0.4282033979880854,0.04661076014106669,0.0,0.0
64,17,val,vs_rk6_endpoint,x,um,2392.8863132526885,10895.888915525844,3519.310276077696,544.4988355363907,0.0,0.0
64,17,val,vs_rk6_endpoint,y,um,431.02656276823836,3136.346359458178,918.3312958145846,458.328120013847,0.0,0.0
64,17,val,vs_rk6_endpoint,tx,mrad,1.2560030374529907,5.305721679868313,1.7448292844332849,-0.12789969992477304,0.0,0.0
64,17,val,vs_rk6_endpoint,ty,mrad,0.101099155474009,1.0629395965302326,0.2585727338436908,-0.03800947758358948,0.0,0.0
64,17,val,vs_real_scifi_state,x,um,3130.8848036482004,17712.264734794844,5599.707379387234,496.95451958808076,0.0,0.0
64,17,val,vs_real_scifi_state,y,um,994.955229069717,6934.502857104392,2314.785082633719,391.9091926105868,0.0,0.0
64,17,val,vs_real_scifi_state,tx,mrad,1.448138327927867,7.43567828702314,2.406112160039352,-0.13881545133894502,0.0,0.0
64,17,val,vs_real_scifi_state,ty,mrad,0.2697923830512483,2.055811285458179,0.6478649746801223,-0.012336733916439238,0.0,0.0
64,17,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
64,17,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
64,17,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
64,17,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
64,17,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
64,17,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
64,17,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
64,17,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
64,17,test,vs_rk6_endpoint,x,um,2443.587846063323,10631.88504767885,3467.861182431892,556.4977618087793,0.0,0.0
64,17,test,vs_rk6_endpoint,y,um,409.28639330178385,2715.8022589766356,841.967846200917,596.5047950006841,0.0,0.0
64,17,test,vs_rk6_endpoint,tx,mrad,1.233093722470352,5.169632883237351,1.7220907604559141,-0.08345610629706317,0.0,0.0
64,17,test,vs_rk6_endpoint,ty,mrad,0.09133740483859704,0.8525153918413146,0.234432793765673,0.015045214747577947,0.0,0.0
64,17,test,vs_real_scifi_state,x,um,3162.2650763018214,16255.83588234336,5093.910916601557,517.4305339155391,0.0,0.0
64,17,test,vs_real_scifi_state,y,um,965.5875423049913,6020.621009578155,1787.6888735456591,690.0293109564568,0.0,0.0
64,17,test,vs_real_scifi_state,tx,mrad,1.3891784983482043,6.754449728253622,2.2591357879328875,-0.09218619108970344,0.0,0.0
64,17,test,vs_real_scifi_state,ty,mrad,0.26723739389973666,1.7918692900132145,0.5165795750450882,0.061647560819742826,0.0,0.0
64,17,test,straight_line_vs_rk6_endpoint,x,um,450541.20897316607,1251923.9406943007,531992.5955562802,9884.314569471735,0.0,0.0
64,17,test,straight_line_vs_rk6_endpoint,y,um,893.211049591855,24433.496090929446,4831.48761598312,108.52751943555974,0.0,0.0
64,17,test,straight_line_vs_rk6_endpoint,tx,mrad,171.8266523561743,490.8245439316273,205.66065297521143,3.646110771404555,0.0,0.0
64,17,test,straight_line_vs_rk6_endpoint,ty,mrad,0.3084377832926598,11.172864866383968,2.2205866819141415,-0.061154129595571156,0.0,0.0
64,17,test,rk6_truth_vs_real_scifi_state,x,um,1269.9286840310435,12005.702236552635,3296.906744453611,-39.0585677517167,0.0,0.0
64,17,test,rk6_truth_vs_real_scifi_state,y,um,730.3814137381437,4817.166287647019,1460.9300642137061,93.48799953047588,0.0,0.0
64,17,test,rk6_truth_vs_real_scifi_state,tx,mrad,0.34881072371655,4.643161002162138,1.1860690425234515,-0.00872706446494271,0.0,0.0
64,17,test,rk6_truth_vs_real_scifi_state,ty,mrad,0.2251230917004049,1.3826840614363687,0.4282033979880854,0.04661076014106669,0.0,0.0
64,18,val,vs_rk6_endpoint,x,um,2480.065471089688,10747.99258391891,3412.5336259354435,-341.54296930834465,0.0,0.0
64,18,val,vs_rk6_endpoint,y,um,487.90620932169304,3271.0140384148476,975.814487197887,-554.9601907347611,0.0,0.0
64,18,val,vs_rk6_endpoint,tx,mrad,1.3095158426023878,5.307397594152752,1.7461090664329602,-0.0869164082455215,0.0,0.0
64,18,val,vs_rk6_endpoint,ty,mrad,0.10038250288579853,1.2005909589316561,0.2851432476527858,-0.02331730832013926,0.0,0.0
64,18,val,vs_real_scifi_state,x,um,3279.9003392078703,17053.410455867226,5640.286530323302,-389.05669664704703,0.0,0.0
64,18,val,vs_real_scifi_state,y,um,1019.173758422184,7604.89079958643,2378.338315207378,-621.4440105223077,0.0,0.0
64,18,val,vs_real_scifi_state,tx,mrad,1.5109441616563968,7.417727614838964,2.437048274641033,-0.09782942860797356,0.0,0.0
