round,source,n_states,per_plane,restarts,loss_first,loss_last,train_end_moved_med_um,val_z1_pos_med_um,val_z1_x_med_um,val_z1_y_med_um,wall_s
26,own,32000,250,25,3.877275181874922e-11,4.65341902934317e-12,96.05260549631112,108.04015723853588,56.05447624455451,77.18790309007773,2901.4
27,own,32000,250,25,2.1897285585748412e-11,4.424639989280636e-12,107.11898228061045,96.35629063078,51.126852362642694,68.54941581166062,2923.0
28,own,32000,250,25,3.034752374989616e-11,5.2771861028937236e-12,103.15160888910668,110.56511978893013,54.598853075845,87.250904051416,2817.3
29,own,32000,250,25,5.5011025305979934e-11,6.0552472204740135e-12,97.26200614730374,95.81307750863743,46.53555425227296,68.39278922529957,2759.0
30,own,32000,250,25,6.796915784023309e-11,5.52459603800595e-12,95.12559104534546,110.7130666862588,54.858666640029696,72.58435521868023,2989.6
31,own,32000,250,25,3.218809625549337e-11,5.656689140477516e-12,87.13280946017221,110.54962861658169,55.12144572367106,75.46752700670822,3012.8
32,own,32000,250,25,4.975095345162207e-11,5.3039426622757715e-12,101.43645121752343,106.50727872945254,52.74001223142477,78.59711425619764,2995.1
33,own,32000,250,25,3.7306240953657283e-11,4.634707874474066e-12,100.73836534957081,115.44435873939562,57.763053633323125,78.6272515971973,2974.7
34,own,32000,250,25,3.031538479600452e-11,3.817298911977157e-12,98.154103333286,107.57898617509909,54.82263352993755,77.85312634359798,2972.3
35,own,32000,250,25,2.2367300552599515e-11,3.858534585101685e-12,84.01570820768711,100.35304737118622,43.55968083905282,72.65392747473243,2969.1
36,own,32000,250,25,3.448101389530195e-11,5.722459644695266e-12,87.12545034694585,109.16995571642474,52.85986767739814,78.56592520636241,2959.5
37,own,32000,250,25,3.3700621585877003e-11,4.4424809295171045e-12,95.2518391642343,110.12174569011535,50.52466458191418,79.34441346620247,2948.1
38,own,32000,250,25,3.687119094749471e-11,4.64046898410794e-12,94.73648284006231,95.67788744759298,52.47485857262291,62.967268016677735,2926.4
39,own,32000,250,25,2.1648328171352456e-11,3.56246394447977e-12,77.26458238983014,92.35749729887743,41.775483447054285,67.91345090664436,2924.5
40,own,32000,250,25,2.8712340261592463e-11,4.424375630994111e-12,70.39444664297889,101.90615765409206,54.87675359012201,66.34617341367743,2924.0
