network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
w100_data_s0,data,0,100,4,True,462,4,0,25.00000000000003,5.051624298095703,116.84038196523616,0.06054473806153815
w100_data_s0,data,0,100,4,True,462,4,1,50.00000000000003,5.051624298095703,218.23506431078954,0.11864449284473833
w100_data_s0,data,0,100,4,True,462,4,2,76.28200000000001,5.051624298095703,302.6858243938406,0.17493472666369608
w100_data_s0,data,0,100,4,True,462,4,3,151.28200000000004,5.051624298095703,296.8869606092461,0.24993385164777393
w100_data_s0,data,0,100,4,True,480,4,0,69.78099999999995,3.3874197006225586,446.12914658924296,0.31498485090004913
w100_data_s0,data,0,100,4,True,480,4,1,139.96299999999974,3.3874197006225586,867.527581102479,0.6037582370251732
w100_data_s0,data,0,100,4,True,480,4,2,751.5980000000009,3.3874197006225586,392.5520454109801,0.8907346202391836
w100_data_s0,data,0,100,4,True,480,4,3,821.7789999999995,3.3874197006225586,509.3935912252334,0.867659492472847
w100_data_s0,data,0,100,4,True,493,4,0,69.80299999999988,2.341461420059204,273.45143061893395,0.16184196258446637
w100_data_s0,data,0,100,4,True,493,4,1,139.58599999999933,2.341461420059204,688.7264043830328,0.31769240320302095
w100_data_s0,data,0,100,4,True,493,4,2,1436.4789999999994,2.341461420059204,2555.611472500459,2.7900190646271694
w100_data_s0,data,0,100,4,True,493,4,3,1506.262999999999,2.341461420059204,2930.014465017962,2.4448697907631933
w100_data_s0,data,0,100,4,True,575,4,0,69.77099999999973,10.33133602142334,831.3899646965979,0.11255175959901109
w100_data_s0,data,0,100,4,True,575,4,1,139.942,10.33133602142334,1580.7341143803626,0.22359500378113517
w100_data_s0,data,0,100,4,True,575,4,2,751.4839999999995,10.33133602142334,3689.45126602685,0.11234369129486943
w100_data_s0,data,0,100,4,True,575,4,3,821.6549999999997,10.33133602142334,3982.197623772663,0.06907617884731321
w100_data_s0,data,0,100,4,True,576,4,0,25.0,1.6114542484283447,74.27992498164038,0.20465181235271301
w100_data_s0,data,0,100,4,True,576,4,1,50.0,1.6114542484283447,163.06165280051576,0.41618923498737415
w100_data_s0,data,0,100,4,True,576,4,2,175.00000000000003,1.6114542484283447,238.7235867039763,0.609031991886666
w100_data_s0,data,0,100,4,True,576,4,3,2156.205,1.6114542484283447,732.7268015343407,1.8241195493967215
w100_data_s0,data,0,100,4,True,583,4,0,25.00000000000003,13.340882301330566,91.5964367050357,0.047821702935393895
w100_data_s0,data,0,100,4,True,583,4,1,50.00000000000003,13.340882301330566,166.94983557009735,0.0798773599575836
w100_data_s0,data,0,100,4,True,583,4,2,201.282,13.340882301330566,764.7190489537543,0.10131718726991146
w100_data_s0,data,0,100,4,True,583,4,3,226.282,13.340882301330566,915.4852060547487,0.06922303466735946
w100_data_s0,data,0,100,4,True,584,4,0,24.99999999999997,2.1365115642547607,63.36531411496704,0.09518609134429208
w100_data_s0,data,0,100,4,True,584,4,1,2127.487,2.1365115642547607,436.8178727378478,0.3248608306974142
w100_data_s0,data,0,100,4,True,584,4,2,2352.487,2.1365115642547607,129.19768863454806,0.7695722111075317
w100_data_s0,data,0,100,4,True,584,4,3,2407.487,2.1365115642547607,669.3833167268473,0.6933910340828557
w100_data_s0,data,0,100,4,True,596,4,0,24.99999999999997,2.95096755027771,69.18795816318735,0.03770269898733733
w100_data_s0,data,0,100,4,True,596,4,1,49.99999999999997,2.95096755027771,132.57726094197508,0.06690833645833782
w100_data_s0,data,0,100,4,True,596,4,2,123.71799999999999,2.95096755027771,83.88972891679103,0.13673479048834264
w100_data_s0,data,0,100,4,True,596,4,3,198.718,2.95096755027771,66.2575913134498,0.18195174329492697
w100_data_s0,data,0,100,4,True,612,4,0,23.71799999999996,2.5503299236297607,173.94696960310085,0.0810162146029289
w100_data_s0,data,0,100,4,True,612,4,1,148.718,2.5503299236297607,524.7411325838414,0.15396184925089984
w100_data_s0,data,0,100,4,True,612,4,2,223.718,2.5503299236297607,793.4678052177197,0.15098122755863308
w100_data_s0,data,0,100,4,True,612,4,3,248.718,2.5503299236297607,946.3508112296335,0.10760000227031524
w100_data_s0,data,0,100,4,True,617,4,0,75.0,5.380112648010254,282.7486809412143,0.08865966251822566
