network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w100_physics_s4,physics,4,100,4,True,val,2,4551,1526.2003609386738,28752.240159462417,0.8971080119964947,821.8929999999991
w100_physics_s4,physics,4,100,4,True,val,3,4551,2373.514557066528,38742.90494653402,1.4324242150349238,2099.987
w100_physics_s4,physics,4,100,4,True,val,4,2932,6061.932659155019,61335.631192878405,2.1558445563056097,6281.1775
w100_physics_s4,physics,4,100,4,True,val,5,1524,12804.810245126588,84012.47852420626,3.498770984967247,7759.312
w100_physics_s4,physics,4,100,4,True,val,6,856,15302.336819553148,89568.79041293162,3.6813435163110566,8181.928
w100_physics_s4,physics,4,100,4,True,test,0,4563,239.25532432920704,4116.644455711715,0.13121506056244098,69.21399999999994
w100_physics_s4,physics,4,100,4,True,test,1,4563,846.8697348359644,9601.255883746233,0.5171959315568523,335.087
w100_physics_s4,physics,4,100,4,True,test,2,4563,1449.2503562516958,29090.059310017,0.8790941209179531,752.393
w100_physics_s4,physics,4,100,4,True,test,3,4563,2186.584840176124,38256.34034204054,1.3858163602053497,1994.9869999999999
w100_physics_s4,physics,4,100,4,True,test,4,2914,5930.366267361016,64443.78970777062,2.0854031530148918,6269.4015
w100_physics_s4,physics,4,100,4,True,test,5,1481,13458.453618288104,87024.00807776167,3.5194269996201566,7783.540000000001
w100_physics_s4,physics,4,100,4,True,test,6,853,15520.330398608166,81223.96236537915,3.472818333689745,8330.801
w100_physics_s5,physics,5,100,4,True,val,0,4551,242.2443503971703,4859.404972665445,0.19690978065750597,55.0
w100_physics_s5,physics,5,100,4,True,val,1,4551,783.3803779451412,11830.445038360536,0.5630581950289149,373.71799999999996
w100_physics_s5,physics,5,100,4,True,val,2,4551,1359.3244482038074,26608.52255036187,0.9016250562584593,821.8929999999991
w100_physics_s5,physics,5,100,4,True,val,3,4551,2208.8727669079162,33996.26792881962,1.2795328441515403,2099.987
w100_physics_s5,physics,5,100,4,True,val,4,2932,4660.760162337056,60214.137957907435,1.9313922293133086,6281.1775
w100_physics_s5,physics,5,100,4,True,val,5,1524,8263.684241113991,103888.08763075715,2.8600194338524108,7759.312
w100_physics_s5,physics,5,100,4,True,val,6,856,9262.284700431082,96576.67834729762,2.8674721014507387,8181.928
