arm,network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
residual,residual_w100_data_s0,data,0,100,4,True,372,4,3,63.78200000000001,44.894039154052734,0.05036369350186476,0.00023215860802013044
residual,residual_w100_data_s0,data,0,100,4,True,404,4,0,69.7510000000002,4.347618103027344,0.279317603826712,0.007074508954346692
residual,residual_w100_data_s0,data,0,100,4,True,404,4,1,139.90099999999984,4.347618103027344,0.9418679683221853,0.011467203995307873
residual,residual_w100_data_s0,data,0,100,4,True,404,4,2,1435.795,4.347618103027344,566.3844480366151,1.8681968682165984
residual,residual_w100_data_s0,data,0,100,4,True,404,4,3,1505.946,4.347618103027344,697.7247181475832,1.8755613724219522
residual,residual_w100_data_s0,data,0,100,4,True,432,4,0,69.81900000000041,4.439187049865723,0.28309133836046385,0.010793879394984177
residual,residual_w100_data_s0,data,0,100,4,True,432,4,1,209.79600000000028,4.439187049865723,3.0078986412718223,0.036276686948832904
residual,residual_w100_data_s0,data,0,100,4,True,432,4,2,681.9810000000007,4.439187049865723,112.8981688652857,0.4149739197466529
residual,residual_w100_data_s0,data,0,100,4,True,432,4,3,751.8380000000006,4.439187049865723,141.97656524038393,0.4161386499307307
residual,residual_w100_data_s0,data,0,100,4,True,455,4,0,475.2220000000016,1.0120398998260498,24.419360672084167,0.11406820634210502
residual,residual_w100_data_s0,data,0,100,4,True,455,4,1,545.0250000000015,1.0120398998260498,32.17838016030328,0.11014565240433094
residual,residual_w100_data_s0,data,0,100,4,True,455,4,2,615.228000000001,1.0120398998260498,39.71309402851375,0.10589432638874463
residual,residual_w100_data_s0,data,0,100,4,True,455,4,3,685.0310000000009,1.0120398998260498,46.90394276809684,0.10130842887401403
residual,residual_w100_data_s0,data,0,100,4,True,461,4,0,24.99999999999997,3.3726966381073,0.00022707602287397322,8.838492698143297e-06
residual,residual_w100_data_s0,data,0,100,4,True,461,4,1,49.99999999999997,3.3726966381073,0.0005868390071661622,1.0494388920367914e-05
residual,residual_w100_data_s0,data,0,100,4,True,461,4,2,74.99999999999997,3.3726966381073,0.0012124119752598972,1.551160699886367e-05
residual,residual_w100_data_s0,data,0,100,4,True,461,4,3,150.0,3.3726966381073,0.0024436431262930824,8.147329544350157e-05
residual,residual_w100_data_s0,data,0,100,4,True,462,4,0,25.00000000000003,5.051624298095703,0.0009034697612264608,7.259325092434654e-06
residual,residual_w100_data_s0,data,0,100,4,True,462,4,1,50.00000000000003,5.051624298095703,0.0018478615828598777,1.1310177919221509e-05
residual,residual_w100_data_s0,data,0,100,4,True,462,4,2,76.28200000000001,5.051624298095703,0.0028701378038675784,1.6920738865611185e-05
residual,residual_w100_data_s0,data,0,100,4,True,462,4,3,151.28200000000004,5.051624298095703,0.0057728100637532975,2.5917376300643724e-05
residual,residual_w100_data_s0,data,0,100,4,True,480,4,0,69.78099999999995,3.3874197006225586,0.09388341098315323,0.006503327771592571
residual,residual_w100_data_s0,data,0,100,4,True,480,4,1,139.96299999999974,3.3874197006225586,0.7745927248379303,0.011962281430202837
residual,residual_w100_data_s0,data,0,100,4,True,480,4,2,751.5980000000009,3.3874197006225586,46.862614951521664,0.12613826088718472
residual,residual_w100_data_s0,data,0,100,4,True,480,4,3,821.7789999999995,3.3874197006225586,55.76981366115774,0.12743239214851876
residual,residual_w100_data_s0,data,0,100,4,True,493,4,0,69.80299999999988,2.341461420059204,0.42232492603488936,0.012640251768142319
residual,residual_w100_data_s0,data,0,100,4,True,493,4,1,139.58599999999933,2.341461420059204,1.514716390488502,0.018998515642715263
residual,residual_w100_data_s0,data,0,100,4,True,493,4,2,1436.4789999999994,2.341461420059204,3594.227176304912,3.2670458450202444
residual,residual_w100_data_s0,data,0,100,4,True,493,4,3,1506.262999999999,2.341461420059204,3821.9462867652965,3.2600969137839275
residual,residual_w100_data_s0,data,0,100,4,True,575,4,0,69.77099999999973,10.33133602142334,0.177047181296075,0.0034470913336595577
residual,residual_w100_data_s0,data,0,100,4,True,575,4,1,139.942,10.33133602142334,0.5117852391549604,0.006019844013969294
residual,residual_w100_data_s0,data,0,100,4,True,575,4,2,751.4839999999995,10.33133602142334,77.09740974604529,0.25847673280041117
residual,residual_w100_data_s0,data,0,100,4,True,575,4,3,821.6549999999997,10.33133602142334,95.23446443932926,0.25860994180611563
residual,residual_w100_data_s0,data,0,100,4,True,576,4,0,25.0,1.6114542484283447,0.0011092565808112909,6.0872936524791754e-05
residual,residual_w100_data_s0,data,0,100,4,True,576,4,1,50.0,1.6114542484283447,0.0026959519061620085,0.00010260855765054089
residual,residual_w100_data_s0,data,0,100,4,True,576,4,2,175.00000000000003,1.6114542484283447,0.26809217274603725,0.003317146515136038
residual,residual_w100_data_s0,data,0,100,4,True,576,4,3,2156.205,1.6114542484283447,665.0044010213492,0.2615721873572424
residual,residual_w100_data_s0,data,0,100,4,True,583,4,0,25.00000000000003,13.340882301330566,0.0008224532326295275,6.1173233839584285e-06
residual,residual_w100_data_s0,data,0,100,4,True,583,4,1,50.00000000000003,13.340882301330566,0.001488164244278778,1.2340839794511282e-05
residual,residual_w100_data_s0,data,0,100,4,True,583,4,2,201.282,13.340882301330566,0.020975556852320665,0.0007142718105590529
residual,residual_w100_data_s0,data,0,100,4,True,583,4,3,226.282,13.340882301330566,0.04064746166676514,0.0007293077854686469
residual,residual_w100_data_s0,data,0,100,4,True,584,4,0,24.99999999999997,2.1365115642547607,0.004910509227684656,6.79379321896767e-05
residual,residual_w100_data_s0,data,0,100,4,True,584,4,1,2127.487,2.1365115642547607,100.90171606681153,0.12950901689438854
residual,residual_w100_data_s0,data,0,100,4,True,584,4,2,2352.487,2.1365115642547607,89.43634628420938,0.12160085495317718
residual,residual_w100_data_s0,data,0,100,4,True,584,4,3,2407.487,2.1365115642547607,86.1053154796636,0.12133989770992532
residual,residual_w100_data_s0,data,0,100,4,True,596,4,0,24.99999999999997,2.95096755027771,0.00033306669422472623,4.618595729824482e-06
residual,residual_w100_data_s0,data,0,100,4,True,596,4,1,49.99999999999997,2.95096755027771,0.0008623665692653049,1.228048269151516e-05
residual,residual_w100_data_s0,data,0,100,4,True,596,4,2,123.71799999999999,2.95096755027771,0.0016945722158823173,2.321335003385716e-05
residual,residual_w100_data_s0,data,0,100,4,True,596,4,3,198.718,2.95096755027771,0.008956322467446043,0.00011406351696149897
residual,residual_w100_data_s0,data,0,100,4,True,612,4,0,23.71799999999996,2.5503299236297607,0.0004972277807269165,1.6349604628485004e-05
residual,residual_w100_data_s0,data,0,100,4,True,612,4,1,148.718,2.5503299236297607,0.06831525551298512,0.0009538643233608646
residual,residual_w100_data_s0,data,0,100,4,True,612,4,2,223.718,2.5503299236297607,0.13543780671998462,0.0008213253863756376
residual,residual_w100_data_s0,data,0,100,4,True,612,4,3,248.718,2.5503299236297607,0.15522608958251638,0.0007576837946984827
residual,residual_w100_data_s0,data,0,100,4,True,617,4,0,75.0,5.380112648010254,0.0003108118100669799,1.0910588585377745e-05
residual,residual_w100_data_s0,data,0,100,4,True,617,4,1,148.71800000000002,5.380112648010254,0.0054270815130763594,7.249598719949457e-05
residual,residual_w100_data_s0,data,0,100,4,True,617,4,2,173.71800000000002,5.380112648010254,0.004072416061262629,7.336217573705728e-05
residual,residual_w100_data_s0,data,0,100,4,True,617,4,3,198.71800000000002,5.380112648010254,0.003107420314840681,7.025470073751539e-05
residual,residual_w100_data_s0,data,0,100,4,True,629,4,0,50.0,6.891643047332764,0.00846546675958848,4.446200874141937e-05
residual,residual_w100_data_s0,data,0,100,4,True,629,4,1,1678.795,6.891643047332764,3.206730527423929,0.010996394955635133
residual,residual_w100_data_s0,data,0,100,4,True,629,4,2,1733.795,6.891643047332764,3.5726868880416873,0.011081181922365652
residual,residual_w100_data_s0,data,0,100,4,True,629,4,3,1958.795,6.891643047332764,5.075543121961346,0.01048449204776869
residual,residual_w100_data_s0,data,0,100,4,True,730,4,0,70.21000000000004,1.3225312232971191,0.6088117429499107,0.02547891465287666
residual,residual_w100_data_s0,data,0,100,4,True,730,4,1,140.02100000000064,1.3225312232971191,2.4267602252621145,0.0292650247420978
residual,residual_w100_data_s0,data,0,100,4,True,730,4,2,612.2800000000007,1.3225312232971191,219.50137532763847,0.7007990526942398
residual,residual_w100_data_s0,data,0,100,4,True,730,4,3,682.0889999999999,1.3225312232971191,268.3888373882155,0.700597515371465
residual,residual_w100_data_s0,data,0,100,4,True,748,4,0,24.99999999999997,12.29899787902832,0.0007335324561097423,3.110615334755984e-06
residual,residual_w100_data_s0,data,0,100,4,True,748,4,1,49.99999999999997,12.29899787902832,0.0010900601630225992,4.3038614269685915e-06
residual,residual_w100_data_s0,data,0,100,4,True,748,4,2,74.99999999999997,12.29899787902832,0.0010741720810614197,4.598011582590544e-06
residual,residual_w100_data_s0,data,0,100,4,True,748,4,3,150.0,12.29899787902832,0.001440087425308434,2.0583307294708142e-05
residual,residual_w100_data_s0,data,0,100,4,True,801,4,0,25.000000000000007,1.9107964038848877,0.0008957980064394633,4.385420085406544e-05
residual,residual_w100_data_s0,data,0,100,4,True,801,4,1,2256.205,1.9107964038848877,163.51199288203588,0.43574847669997085
residual,residual_w100_data_s0,data,0,100,4,True,801,4,2,2311.205,1.9107964038848877,160.75387607361336,0.3891193132616044
residual,residual_w100_data_s0,data,0,100,4,True,801,4,3,2557.513,1.9107964038848877,173.87560575491534,0.4574935908868982
residual,residual_w100_data_s0,data,0,100,4,True,879,4,0,69.80699999999979,3.069265604019165,0.10072800972693585,0.0026906336449625257
residual,residual_w100_data_s0,data,0,100,4,True,879,4,1,1297.081000000001,3.069265604019165,589.2249403161713,1.0948351876129414
residual,residual_w100_data_s0,data,0,100,4,True,879,4,2,1367.129,3.069265604019165,665.9019920780338,1.0944641370582708
residual,residual_w100_data_s0,data,0,100,4,True,879,4,3,1436.9350000000004,3.069265604019165,742.2872370722189,1.0941214250577147
residual,residual_w100_data_s0,data,0,100,4,True,883,4,0,25.0,21.365854263305664,0.0005867247891977456,7.505298348087219e-06
residual,residual_w100_data_s0,data,0,100,4,True,883,4,1,50.0,21.365854263305664,0.0016121850903161317,1.4561629062270764e-05
residual,residual_w100_data_s0,data,0,100,4,True,883,4,2,500.0,21.365854263305664,3.5647935845890544,0.0160509176545115
residual,residual_w100_data_s0,data,0,100,4,True,883,4,3,548.7180000000001,21.365854263305664,4.342832572129751,0.015988376734943355
residual,residual_w100_data_s0,data,0,100,4,True,894,4,0,70.19599999999991,9.722777366638184,0.02895973369732019,0.00048821103859619797
residual,residual_w100_data_s0,data,0,100,4,True,894,4,1,139.99099999999999,9.722777366638184,0.07493164321203949,0.0008434194109230297
