restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
265,11,15,train,9.66474081164418e-10,9.32785584335624e-10,0.03485711358985008,444708306.6212779,0,200,214,0,87.5
266,11,16,train,9.32785584335624e-10,9.010790114591128e-10,0.03399127667597283,444708306.6212779,0,200,218,0,89.06
267,11,17,train,9.010790114591128e-10,8.72135787107428e-10,0.03212062869472142,444708306.6212779,0,200,215,0,87.59
268,11,18,train,8.72135787107428e-10,8.441793403552824e-10,0.03205515375635193,444708306.6212779,0,200,212,0,86.84
269,11,19,train,8.441793403552824e-10,8.190982145184328e-10,0.029710660564488442,444708306.6212779,0,200,220,0,89.88
270,11,20,train,8.190982145184328e-10,7.938452418272192e-10,0.0308302133292531,444708306.6212779,0,200,222,0,90.63
271,11,21,train,7.938452418272192e-10,7.704564011180614e-10,0.029462720788403257,444708306.6212779,0,200,218,0,89.03
272,11,22,train,7.704564011180614e-10,7.499881390818593e-10,0.026566411813178814,444708306.6212779,0,200,219,0,89.69
273,11,23,train,7.499881390818593e-10,7.298516832881597e-10,0.026849032330498932,444708306.6212779,0,200,215,0,87.93
274,11,24,train,7.298516832881597e-10,7.118453661585013e-10,0.024671200384899544,444708306.6212779,0,200,216,0,88.16
275,12,0,train,1.9985564950717553e-08,5.04772259307623e-09,0.7474315784655865,50036113.68834967,1,200,217,0,88.18
276,12,1,train,5.04772259307623e-09,3.2114389716976856e-09,0.36378457562174776,50036113.68834967,0,200,210,0,85.68
277,12,2,train,3.2114389716976856e-09,2.511667822927147e-09,0.21789956307362543,50036113.68834967,0,200,210,0,85.74
278,12,3,train,2.511667822927147e-09,2.1733213516258095e-09,0.13470988010947316,50036113.68834967,0,200,210,0,85.57
279,12,4,train,2.1733213516258095e-09,1.910475657987284e-09,0.12094193683869936,50036113.68834967,0,200,220,0,89.49
280,12,5,train,1.910475657987284e-09,1.7580530718741485e-09,0.07978253241588815,523429856.7580367,1,200,213,0,86.26
281,12,6,train,1.7580530718741485e-09,1.6023725954712117e-09,0.08855277402801937,523429856.7580367,0,200,210,0,85.54
282,12,7,train,1.6023725954712117e-09,1.4530447714248144e-09,0.09319169865263721,523429856.7580367,0,200,214,0,87.16
283,12,8,train,1.4530447714248144e-09,1.3490600385530676e-09,0.07156333715015699,523429856.7580367,0,200,217,0,88.18
284,12,9,train,1.3490600385530676e-09,1.267485155311686e-09,0.06046794131480959,523429856.7580367,0,200,213,0,86.87
285,12,10,train,1.267485155311686e-09,1.2009995641481772e-09,0.052454729654927895,523429856.7580367,0,200,210,0,85.73
286,12,11,train,1.2009995641481772e-09,1.1427358322589212e-09,0.04851270027777251,523429856.7580367,0,200,213,0,94.89
287,12,12,train,1.1427358322589212e-09,1.084559561425196e-09,0.05090964087362556,523429856.7580367,0,200,211,0,101.76
288,12,13,train,1.084559561425196e-09,1.035253103695919e-09,0.04546219450085752,523429856.7580367,0,200,219,0,105.92
289,12,14,train,1.035253103695919e-09,9.90195617411758e-10,0.043523159817925615,523429856.7580367,0,200,221,0,106.89
290,12,15,train,9.90195617411758e-10,9.453312023873074e-10,0.04530863824839001,523429856.7580367,0,200,213,0,102.74
291,12,16,train,9.453312023873074e-10,9.109570219793743e-10,0.036362049957862054,523429856.7580367,0,200,220,0,107.05
292,12,17,train,9.109570219793743e-10,8.773440335644036e-10,0.03689854472161011,523429856.7580367,0,200,218,0,103.25
293,12,18,train,8.773440335644036e-10,8.513291725228977e-10,0.02965183559272048,523429856.7580367,0,200,216,0,102.13
294,12,19,train,8.513291725228977e-10,8.273960173971016e-10,0.02811269236184009,523429856.7580367,0,200,222,0,104.92
295,12,20,train,8.273960173971016e-10,8.04691624722695e-10,0.027440780710828363,523429856.7580367,0,200,217,0,102.93
296,12,21,train,8.04691624722695e-10,7.811507102912959e-10,0.02925457865864024,523429856.7580367,0,200,212,0,100.39
297,12,22,train,7.811507102912959e-10,7.591486919272127e-10,0.028166163167000755,523429856.7580367,0,200,220,0,104.11
298,12,23,train,7.591486919272127e-10,7.373696740204364e-10,0.02868873797501649,523429856.7580367,0,200,211,0,100.0
299,12,24,train,7.373696740204364e-10,7.189004023168565e-10,0.02504750650088172,523429856.7580367,0,200,213,0,100.92
300,13,0,train,9.639476111629915e-08,4.130576146727476e-09,0.9571493709938864,10374007.76162007,1,200,211,0,84.69
301,13,1,train,4.130576146727476e-09,2.9258388837711874e-09,0.2916632499102489,242096977.38952667,1,200,212,0,83.05
302,13,2,train,2.9258388837711874e-09,2.345542642734931e-09,0.19833499522307865,242096977.38952667,0,200,213,0,83.88
303,13,3,train,2.345542642734931e-09,1.9938589317006593e-09,0.14993703573182723,242096977.38952667,0,200,212,0,83.48
304,13,4,train,1.9938589317006593e-09,1.7736378158316767e-09,0.11044969750249346,242096977.38952667,0,200,218,0,85.66
305,13,5,train,1.7736378158316767e-09,1.6000277714873734e-09,0.09788359426859412,242096977.38952667,0,200,220,0,86.5
306,13,6,train,1.6000277714873734e-09,1.4571163205620092e-09,0.08931810651793551,242096977.38952667,0,200,217,0,95.99
307,13,7,train,1.4571163205620092e-09,1.3423141421797714e-09,0.07878724351804575,242096977.38952667,0,200,216,0,97.87
308,13,8,train,1.3423141421797714e-09,1.2489745427496015e-09,0.06953633020553336,242096977.38952667,0,200,219,0,99.27
309,13,9,train,1.2489745427496015e-09,1.177379102791962e-09,0.057323378105067706,242096977.38952667,0,200,224,0,101.15
