window,p_lo,p_hi,role,kind,lo,hi,n_states,share_of_loss_pct,share_of_loss_trimmed_pct,share_of_states_pct
4-6 GeV,4.0,6.0,narrow reference,momentum band [GeV],100.0,200.0,22,0.038731236681669744,0.6911316846673694,0.27499999999999997
10-50 GeV,10.0,50.0,baseline,quarter of z,1,1,2000,6.592477775845806,33.145019177576565,25.0
10-50 GeV,10.0,50.0,baseline,quarter of z,2,2,2000,85.08591960794207,29.354463625676686,25.0
10-50 GeV,10.0,50.0,baseline,quarter of z,3,3,2000,7.016085097663148,24.08906497794184,25.0
10-50 GeV,10.0,50.0,baseline,quarter of z,4,4,2000,1.3055175185489223,13.411452218804918,25.0
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],1.0,2.0,66,0.13780887814499107,2.455651390761221,0.8250000000000001
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],2.0,3.0,868,5.125225961153017,18.81770305395187,10.85
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],3.0,5.0,1985,16.415556615312596,24.1250897339091,24.8125
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],5.0,8.0,1687,73.30537132885756,24.537794755811564,21.087500000000002
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],8.0,10.0,640,1.2739328939285774,8.295433618784518,8.0
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],10.0,20.0,1678,3.1000749827664853,14.064076013724453,20.974999999999998
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],20.0,50.0,918,0.5154189566095724,6.718026930057172,11.475
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],50.0,100.0,136,0.03341860634517176,0.5954946317934713,1.7000000000000002
10-50 GeV,10.0,50.0,baseline,momentum band [GeV],100.0,200.0,22,0.09319177688202723,0.3907298712066321,0.27499999999999997
