leg,q,p_GeV,dz_mm,converged,n_evals,residual,err_x_mm,err_y_mm,err_tx,err_ty,wall_s
A,4,18.49923324584961,-647.6951904296875,1,47,7.113356221262013e-16,5.007193870132376e-05,7.297480632071501e-05,1.7631161599966638e-07,1.8662807318992058e-07,0.018141508102416992
A,4,2.3891072273254395,-7862.165752410889,1,30,1.1368683772161603e-13,87.70553883334111,1.4028454902093017,0.030367865591192672,0.00039377357422878956,0.011633872985839844
A,4,15.220085144042969,-606.4361910820007,1,47,4.440892098500626e-16,1.8442780472804898e-06,7.324983686690656e-05,7.060009107884291e-08,1.9426316073996308e-07,0.0181734561920166
A,4,1.348832368850708,-2242.0462646484375,1,25,1.4210854715202004e-14,0.07435300600053196,0.007027293071552698,3.214525004423263e-05,2.585578796385213e-06,0.009873151779174805
A,4,1.4721050262451172,-15.454002380371094,1,23,2.0755695339519376e-14,3.151245930865798e-11,6.5723121389638095e-12,1.0648837367455144e-10,2.2191942727900482e-11,0.00896763801574707
A,4,1.7380659580230713,-323.7021026611328,1,49,1.4365678785432934e-15,5.289300499866645e-05,9.528264442698609e-06,4.5704479319924607e-07,2.6670528213007527e-08,0.01892542839050293
A,4,6.239363670349121,-49.51180171966553,1,23,1.3251393708430101e-14,2.3809799132301634e-08,2.1488463231023047e-09,3.92543691996039e-10,2.0652646259833318e-11,0.008983850479125977
A,4,10.724223136901855,-157.31089401245117,1,24,2.3552942238487897e-15,7.266971870922845e-07,1.173694441636286e-08,8.426019702280352e-09,3.8059313339777745e-10,0.009190797805786133
A,4,43.24116897583008,-194.49989318847656,1,25,1.4485322189232604e-15,4.715734674975991e-08,1.8279829108736045e-09,1.1178212210027905e-09,7.753209706196085e-11,0.009851932525634766
A,4,1.6027175188064575,-20.224000930786133,1,23,3.774717626144064e-14,1.3705703238997557e-13,2.0503043707265078e-13,0.0,5.551115123125783e-17,0.008911848068237305
A,4,2.5881831645965576,-2367.2904357910156,1,25,2.2737367544323206e-13,0.7686439976998827,0.0020101253247020168,0.0006142563939049994,5.262742251536945e-06,0.009761571884155273
A,4,1.2273989915847778,-24.018701553344727,1,23,2.230068343531122e-14,7.323253115032458e-12,7.635891918766902e-12,2.3441820706793237e-10,1.61646362961676e-10,0.008970975875854492
A,4,12.66734504699707,-99.77239990234375,1,23,4.8128412062989345e-15,2.1946395867278312e-07,1.5283197540849613e-08,4.332393962677705e-09,3.019101912915545e-10,0.008901119232177734
A,8,8.055789947509766,-105.38589859008789,1,39,3.3354569276098246e-15,2.1481956330449137e-07,1.1043458508774862e-09,2.6099887077968287e-09,1.352021272715831e-11,0.015240907669067383
A,8,3.6785106658935547,-7827.635303914547,1,45,7.216449660063518e-13,0.5249544619918574,0.013893508282194489,0.00047449377432626574,6.706912279323685e-06,0.017740249633789062
A,8,1.1132805347442627,-19.135299682617188,1,39,2.6961905744051634e-14,8.467448964211144e-12,1.9681589691344925e-11,2.8083091407893335e-13,1.1243783681891273e-12,0.015164613723754883
A,8,4.457874298095703,-282.16429138183594,1,80,1.7309118277141627e-15,2.909424121233517e-06,2.923467156967785e-07,9.634360718935309e-09,1.5501738538648002e-09,0.031107425689697266
A,8,2.029374837875366,-36.79439830780029,1,39,1.1329912702473521e-14,7.998712803214403e-12,1.6572299088579712e-12,9.927253463715147e-12,3.922966118619087e-12,0.015323638916015625
A,8,199.90037536621094,-398.76099395751953,1,42,1.2963136154206397e-15,8.457788608362549e-08,6.825486116579516e-08,6.477553996658836e-11,2.607027267675921e-10,0.016414165496826172
A,8,7.07179069519043,-2293.2232627868652,1,40,2.842170943040401e-14,0.0042393030083749395,0.00046535717405760124,3.4740604743649373e-06,5.127263707771501e-07,0.01572871208190918
A,8,1.0006492137908936,-45.39060020446777,1,40,1.3823577699190182e-14,1.6708856520608606e-14,2.200323256928982e-14,0.0,0.0,0.01562643051147461
A,8,3.069549083709717,-9143.742893218994,1,46,1.1368683772161603e-13,1.3724697273869424,1.0656970452810768,0.0011331945700796542,0.0002615978410190085,0.017989397048950195
A,8,2.82137393951416,-2272.0743370056152,1,79,2.042810365310288e-14,0.04957060179512229,0.03704103723276431,4.680272571805366e-05,4.102894880009256e-05,0.030683279037475586
