mode,seed,outer,loss,wall_s
data,2,49,3.163215383092881e-05,35.3
data,2,50,3.063975297681558e-05,23.8
data,2,51,2.9719409846367962e-05,39.9
data,2,52,2.883828828829745e-05,29.4
data,2,53,2.7957145976691486e-05,22.2
data,2,54,2.721680667438345e-05,18.8
data,2,55,2.6534122862949656e-05,36.9
data,2,56,2.583958219196381e-05,18.2
data,2,57,2.5188092777892973e-05,21.9
data,2,58,2.4536241123535672e-05,13.8
data,2,59,2.3863364442021024e-05,21.5
data,2,60,2.313507988530315e-05,13.1
data,2,61,2.2395969998126734e-05,18.0
data,2,62,2.1774381418322187e-05,32.5
data,2,63,2.121201467830377e-05,14.7
data,2,64,2.070318886391554e-05,17.7
data,2,65,2.0173898605047538e-05,22.5
data,2,66,1.9687302404756814e-05,43.6
data,2,67,1.916920713499331e-05,52.9
data,2,68,1.8645821541422936e-05,66.5
data,2,69,1.8154107294620463e-05,30.6
data,2,70,1.7728549808943982e-05,24.1
data,2,71,1.726543475353642e-05,19.4
data,2,72,1.686216920853872e-05,35.2
data,2,73,1.6490073001505424e-05,19.0
data,2,74,1.6121472433128134e-05,12.2
data,2,75,1.5761174589233804e-05,27.0
data,2,76,1.5449286094071923e-05,42.0
data,2,77,1.5108670851303753e-05,34.3
data,2,78,1.4795299119105771e-05,34.2
data,2,79,1.4461359029525191e-05,24.0
data,2,80,1.4148962276968592e-05,15.8
data,2,81,1.3854331521516202e-05,17.8
data,2,82,1.3577417316334201e-05,22.8
data,2,83,1.3300319983430113e-05,22.9
data,2,84,1.30319869038927e-05,42.5
data,2,85,1.2799365591344191e-05,45.0
data,2,86,1.2546511362599588e-05,118.8
data,2,87,1.2318141515945419e-05,42.2
data,2,88,1.2083442119663021e-05,12.0
data,2,89,1.1866389380393644e-05,14.8
data,2,90,1.1669929831624953e-05,9.5
data,2,91,1.1461280748129164e-05,11.8
data,2,92,1.1251870483812261e-05,11.9
data,2,93,1.1061479377299476e-05,15.5
data,2,94,1.0881365485855217e-05,11.5
data,2,95,1.070329522323136e-05,17.6
data,2,96,1.0532535303950818e-05,7.4
data,2,97,1.037118815612167e-05,4.3
data,2,98,1.0220090810147456e-05,5.1
data,2,99,1.0065623995474072e-05,6.2
data,2,100,9.920127129010076e-06,5.7
data,2,101,9.778267149699354e-06,9.4
data,2,102,9.644373719169961e-06,9.2
data,2,103,9.494812338526196e-06,17.6
data,2,104,9.362465237923325e-06,11.9
data,2,105,9.227151206424948e-06,7.7
data,2,106,9.088907853175452e-06,10.2
data,2,107,8.932800344814797e-06,12.3
data,2,108,8.815315485509507e-06,10.9
