width,depth,arch,mode,q,stratum,direction,split,median_um,min_um,max_um,p95_um,slope_mrad,rho,straight_um,n_rows,n_seeds,n_confirmed,pending,abs_dz_mm,n_parameters,multiply_adds
128,4,4x128,data,20,500-2000 mm,all,val,378.311130022297,207.98955464364255,469.3864358139308,6139.137471881599,1.0432541757027305,1.708011360547047e-06,15408.515420144415,2000,3,3,False,998.7157698222834,61396,60800
128,4,4x128,data,20,500-2000 mm,backward,test,403.89178172667783,199.71025551991772,451.7646547942311,5252.968316487286,1.2000462910834175,2.2013545841024294e-06,15658.961022059259,1012,3,3,False,998.7157698222834,61396,60800
128,4,4x128,data,20,500-2000 mm,backward,val,372.8028224037985,197.32529565186496,416.2462912060505,5394.239241774357,1.1131131979932718,1.7246235974182415e-06,14492.363104850454,1025,3,3,False,998.7157698222834,61396,60800
128,4,4x128,data,20,500-2000 mm,forward,test,429.7123368164435,228.49271099522284,573.4804697179401,6950.900886180781,0.9941310850802125,1.9066945542250345e-06,16359.267616175515,988,3,3,False,998.7157698222834,61396,60800
128,4,4x128,data,20,500-2000 mm,forward,val,384.7680037988539,224.96167343666684,498.34404672576136,6266.434279734482,0.9989246283209352,1.707952269659541e-06,16137.757478396765,975,3,3,False,998.7157698222834,61396,60800
128,4,4x128,data,20,all,all,test,0.2215409628072429,0.1152821314391872,0.23093128439555244,13711.707703575697,0.019959603233244555,5.871683431707446e-13,12.07131072872647,12000,3,3,False,nan,61396,60800
128,4,4x128,data,20,all,all,val,0.22484875536576965,0.1149046311326174,0.22904160618963942,13096.589819886793,0.019423112549328547,5.446440205947779e-13,11.660928643891566,12000,3,3,False,nan,61396,60800
128,4,4x128,data,20,all,backward,test,0.2472509149882285,0.13854973478455435,0.2500730722800881,14548.001726956354,0.020235944858370755,7.032217091174282e-13,13.706558166376226,6032,3,3,False,nan,61396,60800
128,4,4x128,data,20,all,backward,val,0.2678571710532651,0.1528484331108082,0.3045599507345287,14197.696977866444,0.020171991630082986,7.945148009396515e-13,16.376053191527795,6016,3,3,False,nan,61396,60800
128,4,4x128,data,20,all,forward,test,0.19983330023709556,0.10087424881533025,0.2084506034094602,12003.791151591333,0.018484583938837423,4.944960652616685e-13,10.075976668844078,5968,3,3,False,nan,61396,60800
128,4,4x128,data,20,all,forward,val,0.18595638337615128,0.09565613238571302,0.19249664045872805,11264.136613879436,0.017361504911397874,3.806328110603004e-13,9.735130103429412,5984,3,3,False,nan,61396,60800
128,4,4x128,data,20,full crossing,all,test,5443.365219444224,1648.184800347753,6327.241225171652,58860.46415354458,1.4672023174525504,0.00037510392606582255,456075.1746171858,2000,3,3,False,5175.042236328125,61396,60800
128,4,4x128,data,20,full crossing,all,val,4981.889415758413,1597.2732820409235,5487.25287148619,56250.11324814085,1.434981789755704,0.00035050128985969145,418003.17999508075,2000,3,3,False,5175.042236328125,61396,60800
128,4,4x128,data,20,full crossing,backward,test,6117.227114906588,1582.3155806907323,7520.862467419981,75537.21370092672,1.7074316094561615,0.0021154756930301,449115.8207340198,999,3,3,False,5175.042236328125,61396,60800
128,4,4x128,data,20,full crossing,backward,val,5775.732345440133,1603.3706864738235,6333.825438342899,66067.67900956178,1.6721122788359923,0.0019010248558069185,412962.7382011377,1007,3,3,False,5175.042236328125,61396,60800
128,4,4x128,data,20,full crossing,forward,test,4899.356819916193,1711.1656479952444,5536.428041301007,45858.08078539731,1.2896143594909975,7.45418297957678e-05,461912.954381598,1001,3,3,False,5175.042236328125,61396,60800
128,4,4x128,data,20,full crossing,forward,val,4311.307058598558,1595.0847155642691,4625.173480995159,47418.40844821642,1.2862331494480073,6.538307478800633e-05,422725.11157961754,993,3,3,False,5175.042236328125,61396,60800
128,4,4x128,physics,2,0.05-0.2 mm,all,test,2.441049673507223e-05,1.106735680878046e-05,3.1494437280343845e-05,0.00020867662158252631,0.0025286294704461587,6.498670185400348e-17,0.0001305794636863311,2000,3,3,False,0.10055355399594301,52108,51584
128,4,4x128,physics,2,0.05-0.2 mm,all,val,2.5444446549727218e-05,1.1425683510424278e-05,3.142936222388926e-05,0.00022681038558403086,0.0024807914312287294,6.384724482964294e-17,0.00013977896173855697,2000,3,3,False,0.10055355399594301,52108,51584
128,4,4x128,physics,2,0.05-0.2 mm,backward,test,2.539684373914497e-05,1.1588895176828373e-05,3.152792693583706e-05,0.00022176492393555233,0.0025063860406016047,6.507718557971659e-17,0.00013178674862501794,983,3,3,False,0.10055355399594301,52108,51584
128,4,4x128,physics,2,0.05-0.2 mm,backward,val,2.5040549189725425e-05,1.1550440603969037e-05,3.158811523462646e-05,0.00021531103584493378,0.0025744278960848632,6.518175556085285e-17,0.0001464744912027527,1017,3,3,False,0.10055355399594301,52108,51584
128,4,4x128,physics,2,0.05-0.2 mm,forward,test,2.381682406848995e-05,1.0606839850879624e-05,3.136412307647163e-05,0.00018859599322240675,0.0026333632373032323,6.042583386410264e-17,0.0001273499492526753,1017,3,3,False,0.10055355399594301,52108,51584
128,4,4x128,physics,2,0.05-0.2 mm,forward,val,2.5672576953184034e-05,1.1257526466579293e-05,3.082368493778631e-05,0.00023485822566726703,0.002420224400091764,5.801647356635948e-17,0.00013516631724996842,983,3,3,False,0.10055355399594301,52108,51584
128,4,4x128,physics,2,0.5-2 mm,all,test,0.002425800154526314,0.0011424939447834959,0.0031312916348724684,0.021953044264932938,0.02514616739626198,6.4406623459557e-15,0.013896570703053612,2000,3,3,False,1.003832351083143,52108,51584
