arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x128,physics,18,0.5-2 mm,0.0012316163200409846,0.0011727626230140231,0.9522142601804732
2x128,physics,18,5-20 mm,0.1274584688246705,0.11199135276740435,0.8786497578396111
2x128,physics,18,50-200 mm,15.389313103760571,11.115437004065143,0.7222828549345031
2x128,physics,18,500-2000 mm,445.21925339680024,443.9780580041699,0.9972121704459979
2x128,physics,18,full crossing,883.4028372061908,902.0143775584409,1.0210680106157572
2x128,physics,20,0.05-0.2 mm,1.2977920960111078e-05,1.2659796766456566e-05,0.9754872760720074
2x128,physics,20,0.5-2 mm,0.0013091231423345562,0.0013107024159353386,1.001206359852417
2x128,physics,20,5-20 mm,0.1287922778203665,0.13188213068815458,1.0239909792735995
2x128,physics,20,50-200 mm,12.500468255838726,19.368237149805623,1.5494009307018635
2x128,physics,20,500-2000 mm,443.214400672602,482.31831939401815,1.0882279967935922
2x128,physics,20,full crossing,931.2104953381777,942.0402742418901,1.0116297861309858
2x128,data,2,0.05-0.2 mm,1.1588099368964322e-06,1.2049810038661235e-06,1.0398435200627882
2x128,data,2,0.5-2 mm,0.00011809166799991999,0.00012394323789521877,1.04955108175204
2x128,data,2,5-20 mm,0.01274618323066079,0.013070441980289615,1.0254396742743213
2x128,data,2,50-200 mm,2.477701846505198,2.2189053945886883,0.8955498006018995
2x128,data,2,500-2000 mm,365.44775730467194,402.77229105361556,1.102133705852315
2x128,data,2,full crossing,3318.6615575206133,3719.132440986904,1.1206724085976048
2x128,data,4,0.05-0.2 mm,1.045455277903784e-06,1.0178951015404891e-06,0.9736381106434747
2x128,data,4,0.5-2 mm,9.977826209706109e-05,0.00010634173364110211,1.065780575909974
2x128,data,4,5-20 mm,0.012986975157502911,0.01221228476921965,0.9403486663454729
2x128,data,4,50-200 mm,2.3493404678589513,1.8399811630143148,0.7831905116294888
2x128,data,4,500-2000 mm,418.2878050413343,367.77325589196505,0.8792349465115831
2x128,data,4,full crossing,3277.446729837152,3409.3038389872845,1.0402316559258566
2x128,data,6,0.05-0.2 mm,1.2502994195529027e-06,1.001922100840602e-06,0.8013457298083699
