outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
15,stall,1.2023112728762364e-07,34.97148733286437,35.052088657494096,34.86398240029587,206.0425715171777,194.68947872886926,0.023836660938331145,10.2
16,stall,1.1986551280773589e-07,34.782607505056795,34.72411491713956,34.72462900702311,205.80511228085237,194.4379098556895,0.023802220374069538,10.2
17,stall,1.1951972016580775e-07,34.87581842725973,34.53586063270109,34.302944783824785,204.63039850107916,194.1744821662721,0.023926483073744703,10.2
18,stall,1.1919111707099563e-07,34.85512297302762,34.41522196079916,34.23822830357892,202.84144764716524,193.93276170298404,0.023852192591419796,10.2
19,stall,1.1887757907235114e-07,34.79874163203789,34.25027031909167,33.9757210952456,202.12652380038756,193.6338584752208,0.0237876619931382,10.2
20,stall,1.185773678366329e-07,34.62986817297775,34.31093073064062,33.78042704993334,201.8148940216942,193.33690065444114,0.023835216698478434,10.2
21,stall,1.1828904431773829e-07,34.57216242340877,34.01582849224383,33.628257267352524,201.5266932011635,192.96351533817824,0.0237986093835265,10.1
22,stall,1.1801140404078881e-07,34.46435631989431,33.935198747258255,33.4313883684203,201.2400087143638,192.6767908110038,0.023786090544930527,10.2
23,stall,1.1774342934434435e-07,34.37662654236817,33.81088077287586,33.41872977439664,201.05686078940482,192.31686562410184,0.023736969278716213,10.2
24,stall,1.1748425232750518e-07,34.25426337560111,33.77580132125502,33.17094843390578,200.92423666545943,192.1700753094485,0.023627241976749425,10.2
25,stall,1.1723312700224503e-07,34.08535621780118,33.76211952411268,33.04014179218484,200.82439793528027,191.9824552230495,0.023792971625566373,10.2
26,stall,1.1698940691990234e-07,34.00260699559965,33.67088845784849,32.8717539485055,200.7004205564262,191.99850885273693,0.023800875761703644,10.2
27,stall,1.1675252821969848e-07,33.992323362838306,33.6913610942986,32.75272108398042,200.60826318873143,191.8291799108289,0.023718746482631614,10.2
28,stall,1.1652199552248552e-07,33.85736341238044,33.633201379387856,32.63686711510161,200.49211875796024,191.85433908228902,0.02375107995382028,10.2
29,stall,1.1629737125170084e-07,33.77098508823906,33.5287125513446,32.506045398108085,200.12265968027145,191.66535473841293,0.023818478848858238,10.2
30,stall,1.1607826639596014e-07,33.64471857314477,33.30901162263444,32.42856414706807,199.05175703037725,191.64308370750123,0.023635788534363822,10.2
31,stall,1.1586433358678992e-07,33.5993169935378,33.225703045729915,32.43357031124816,197.92688337278094,191.45933712767948,0.023748979395138425,10.2
32,stall,1.1565526083687905e-07,33.521820177178085,33.1650420466616,32.47206248436285,196.94808426880812,191.73429375184134,0.02362563138738616,10.2
33,stall,1.1545076694378529e-07,33.43429344317883,33.141180182411745,32.43373796016158,195.9113625085931,191.83811927607053,0.023603518463415074,10.2
34,stall,1.1525059710616926e-07,33.32600209846248,33.00913711927933,32.41203478922128,195.01396959817032,191.9935481928406,0.02361044382853672,10.2
35,stall,1.150545198117248e-07,33.2250823979372,32.927275435440606,32.32634716838945,194.19688298575008,191.47805627847,0.023653887028421416,10.2
36,stall,1.1486232367184411e-07,33.14829562398103,32.76141244315056,32.27880219294832,194.24301098750047,191.31592309447828,0.02367214602643289,10.2
37,stall,1.1467381528268558e-07,33.14493904743543,32.68195723072154,32.171627403911884,194.51907656589069,191.2917850789523,0.023733687760096878,10.2
38,stall,1.1448881687203233e-07,33.02750433537405,32.64776424342131,32.099172506597995,194.76111109932071,190.9754133256822,0.023781242640123768,10.1
39,stall,1.1430716481290173e-07,33.07068323364604,32.59164558558325,32.03508697597712,194.42254396549288,190.86870068740507,0.023788381128458935,10.2
40,stall,1.1412870782558538e-07,32.99812867114582,32.6057500935093,31.952668482265523,194.44389463338882,190.44470602042242,0.02374678229289523,10.1
41,stall,1.1395330593963868e-07,32.924798913754216,32.50342238231951,31.966924849989642,194.44054117757028,190.34073913806515,0.02379175607136047,10.2
42,stall,1.1378082908303164e-07,32.89244095020649,32.569839581356064,31.910725880693658,194.49329243820983,189.83509164842846,0.023755875884268196,10.2
43,stall,1.1361115635859752e-07,32.73143943281731,32.539568443723965,31.859231688876832,194.54910651426727,189.65332703065218,0.023765113586891873,10.2
44,stall,1.1344417490931911e-07,32.725372148837195,32.511779232663685,31.908401959647392,194.66043251828148,189.4942479940573,0.02378190063834912,10.2
45,stall,1.1327977941957838e-07,32.65802942786422,32.33553072061568,31.84373054509848,194.73368132510237,189.07960974222834,0.02373874186845787,10.2
46,stall,1.1311787118071768e-07,32.62708452255225,32.408073631806644,31.775537640250207,194.85792785363782,188.97206873085833,0.023755032867368853,10.2
