N,q,plane,z_mm,step_med_um,step_p95_um,straight_line_med_um
256,16,19,3032.4898437499996,0.05747716968273185,1.0070757445205498,3.2576405013625367
256,16,20,3052.715625,0.058562419355790526,1.026362841311508,3.349193484536519
256,16,21,3072.94140625,0.05959725551498227,1.045630360389251,3.449412553513219
256,16,22,3093.1671874999997,0.0607268481602767,1.0639629120688656,3.5475520226573978
256,16,23,3113.39296875,0.06229529871722876,1.0810328989025744,3.644329878075397
256,16,24,3133.6187499999996,0.06329493274205023,1.0979997582385892,3.754997622337852
256,16,25,3153.84453125,0.0647025672767384,1.1145657269006315,3.8579863233805334
256,16,26,3174.0703125,0.0657497457422308,1.1311154042666283,3.9618446203581232
256,16,27,3194.2960937499997,0.06610392625599903,1.1467635918201333,4.066623548542782
256,16,28,3214.521875,0.06700231843219676,1.156417742283268,4.181102501244683
256,16,29,3234.7476562499996,0.06799788951629376,1.1652063018727137,4.285375883152
256,16,30,3254.9734375,0.06910901258517971,1.1744198957956973,4.389705553568981
256,16,31,3275.19921875,0.06993382948490867,1.1844728832330391,4.496639635150418
256,16,32,3295.4249999999997,0.0706328552424774,1.1942437022377117,4.608358026577724
256,16,33,3315.65078125,0.07206503168874312,1.1968201196965984,4.717657910111683
256,16,34,3335.8765624999996,0.07321988942063332,1.200101558129047,4.836614409926451
256,16,35,3356.10234375,0.07347470627093815,1.2061877712991127,4.947148223914715
256,16,36,3376.328125,0.07324100523014461,1.2144770368190159,5.057768640245184
256,16,37,3396.5539062499997,0.07359370152766119,1.2169905298342418,5.168774821487572
256,16,38,3416.7796875,0.07362680866695967,1.2179949676759865,5.280668934928347
256,16,39,3437.0054687499996,0.07445697977541443,1.218816597584007,5.395853770430934
256,16,40,3457.23125,0.075499759749866,1.219719659440859,5.508408812902889
256,16,41,3477.45703125,0.07625552567517715,1.2186033471469817,5.625893547803713
256,16,42,3497.6828124999997,0.07770190133633864,1.216336737342765,5.753845393729531
256,16,43,3517.90859375,0.07743714133094612,1.2094861967262402,5.867076880698281
256,16,44,3538.1343749999996,0.0784802525968786,1.2028821019329385,5.978383972259541
256,16,45,3558.36015625,0.07969506426139528,1.2020554686420584,6.100580223828095
256,16,46,3578.5859375,0.07905316072234113,1.2099118610677275,6.212089382520231
256,16,47,3598.8117187499997,0.07841854849747053,1.2160039503346196,6.360417661297023
256,16,48,3619.0375,0.07898979183205129,1.2144459721856402,6.469666292850714
256,16,49,3639.2632812499996,0.07984825739574025,1.203630010283718,6.589554305524548
256,16,50,3659.4890625,0.0792124007889656,1.2050027702569068,6.711680637994162
256,16,51,3679.71484375,0.0797237321486108,1.1921850652035597,6.827087246734434
256,16,52,3699.940625,0.08094809965981142,1.1676191435456755,6.956525723499149
256,16,53,3720.16640625,0.08195293582796698,1.1460643274510762,7.084792462613166
256,16,54,3740.3921874999996,0.08246026686699598,1.123852059200575,7.201046230732102
256,16,55,3760.61796875,0.08240907147238648,1.097340790655771,7.307779463186815
256,16,56,3780.84375,0.08158370873391756,1.0827817240256492,7.41190748964488
256,16,57,3801.06953125,0.08167812308963382,1.065497120260578,7.513000390342081
256,16,58,3821.2953125,0.08156193198373665,1.0472145990106023,7.609069029321116
256,16,59,3841.5210937499996,0.08143714202106958,1.0311140378101107,7.705326994687372
256,16,60,3861.746875,0.08145236177966744,1.0175741676697192,7.8018466070588754
256,16,61,3881.97265625,0.08128263934498273,0.9947586477166007,7.898466353189757
256,16,62,3902.1984375,0.08199764791822592,0.9758896020052084,8.030994980184989
256,16,63,3922.42421875,0.08227080585750497,0.9652755241764689,8.116886463731099
256,16,64,3942.6499999999996,0.08220657885465038,0.9498505775735153,8.20357008205914
256,16,65,3962.87578125,0.08188991360098162,0.9473874158996093,8.291060929975938
256,16,66,3983.1015625,0.08197671065406939,0.9424683416674627,8.378643976902012
