N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
64,2,ty,mrad,50.0,100.0,24,0.004929894001830769,0.012166023013482349,0.0005276260634326693
64,2,ty,mrad,100.0,200.0,6,0.004422038254854599,0.005712854194336956,0.0040627607974817155
128,8,x,µm,1.0,2.0,5,2419.1232238889597,2921.0939993800594,-275.5310450973752
128,8,x,µm,2.0,3.0,159,416.90627362618216,1954.1751843985821,-107.18151641100832
128,8,x,µm,3.0,5.0,341,159.38256670324336,1049.3521890959983,-9.789616509940801
128,8,x,µm,5.0,7.0,233,82.81224299139467,658.9142767556033,20.059848910772022
128,8,x,µm,7.0,10.0,197,45.75134192373298,209.26435751259754,10.259957233876396
128,8,x,µm,10.0,15.0,208,20.039467107423548,137.48777599399764,-13.201769475249499
128,8,x,µm,15.0,20.0,109,9.551421611831756,91.8933286776677,17.854662167845753
128,8,x,µm,20.0,30.0,115,9.14905328659188,35.3105089383547,2.601373551328069
128,8,x,µm,30.0,50.0,55,16.184305409012723,58.785570212145814,0.530341302606791
128,8,x,µm,50.0,100.0,24,23.294391553438487,50.11650247400324,7.652381434262168
128,8,x,µm,100.0,200.0,6,54.6958306113936,76.25179470403509,44.90449312744878
128,8,y,µm,1.0,2.0,5,598.1788747592418,1542.270496669198,-218.4966888104725
128,8,y,µm,2.0,3.0,159,533.8227221040306,3145.4807796616697,108.43505091191189
128,8,y,µm,3.0,5.0,341,221.25749953517015,1474.3083059343007,-51.96094463576788
128,8,y,µm,5.0,7.0,233,93.95943230174453,909.7471646053683,43.95679741541127
128,8,y,µm,7.0,10.0,197,47.36686433216164,345.80787430545485,-2.167354779092298
128,8,y,µm,10.0,15.0,208,20.50973079657581,122.371746153655,8.24388371550099
128,8,y,µm,15.0,20.0,109,19.63638699277226,140.59172414852125,9.240835389965032
128,8,y,µm,20.0,30.0,115,12.600665206548456,48.52963104486995,3.6868556123916276
128,8,y,µm,30.0,50.0,55,11.125360169813803,42.05465374238883,-4.1673413762659095
128,8,y,µm,50.0,100.0,24,13.975031994959863,32.66341473597549,-10.739782802625895
128,8,y,µm,100.0,200.0,6,9.495903253821325,18.154205341282648,-0.1093685991880496
128,8,tx,mrad,1.0,2.0,5,1.6003696233977127,3.8137757141648354,-0.5993956423746227
128,8,tx,mrad,2.0,3.0,159,0.26270594467020514,1.7275062663600904,-0.11690397725535714
128,8,tx,mrad,3.0,5.0,341,0.12038745935827322,1.1818997097005068,-0.006281503082500477
128,8,tx,mrad,5.0,7.0,233,0.06205366799172385,0.3460564563162121,0.013960306717395165
128,8,tx,mrad,7.0,10.0,197,0.032792530206146586,0.14665947280436678,0.007816766796368481
128,8,tx,mrad,10.0,15.0,208,0.01886414171266282,0.06441948447141735,0.0036836084232556385
128,8,tx,mrad,15.0,20.0,109,0.008078168496683524,0.1235709299890946,0.013676159791681668
128,8,tx,mrad,20.0,30.0,115,0.010004871226224066,0.028871285671195047,0.007472632529909768
128,8,tx,mrad,30.0,50.0,55,0.008266862749212178,0.034542944056417314,0.009727849009322475
128,8,tx,mrad,50.0,100.0,24,0.00891903036158697,0.01542788951876036,0.003538340060538066
128,8,tx,mrad,100.0,200.0,6,0.02095075948285556,0.032234152389835034,0.017931029704778677
128,8,ty,mrad,1.0,2.0,5,0.48680551071489386,0.8067865127845908,-0.13473762050586843
128,8,ty,mrad,2.0,3.0,159,0.30215353515160304,1.5466560505136462,-0.016137224571134406
128,8,ty,mrad,3.0,5.0,341,0.13668023838121768,1.2505189636383973,0.040341863553689884
128,8,ty,mrad,5.0,7.0,233,0.05485356947793757,0.5796988983518209,0.019970729974015406
128,8,ty,mrad,7.0,10.0,197,0.028365860124890396,0.14282676924535356,0.011443529492288324
128,8,ty,mrad,10.0,15.0,208,0.016922359918235784,0.07354195995880305,0.006193274253982969
128,8,ty,mrad,15.0,20.0,109,0.010427079011728069,0.05734591070387651,0.004338313609157776
128,8,ty,mrad,20.0,30.0,115,0.007125390611739104,0.03151515600188017,0.0007163235772887638
128,8,ty,mrad,30.0,50.0,55,0.006217985823141203,0.02270499702183362,-0.0022454393231222123
128,8,ty,mrad,50.0,100.0,24,0.006676845543566751,0.020310749909964617,-0.004578359226173874
128,8,ty,mrad,100.0,200.0,6,0.0022465901903115718,0.006716910343004465,0.0016414078830191692
256,16,x,µm,1.0,2.0,5,1577.0809808882404,3455.8963455151115,1218.3256751349518
256,16,x,µm,2.0,3.0,159,312.79078527052206,1690.9053056794162,282.5975269238694
256,16,x,µm,3.0,5.0,341,129.44384619402172,1080.8676587630544,-2.433781389937832
256,16,x,µm,5.0,7.0,233,54.47376486040412,427.6648937362082,-10.922984105411466
