step,z_mm,lever_mm,local_pos_med_um,local_tx_med_mrad,local_tx_bias_mrad,local_ty_med_mrad,carried_to_end_um
26,4751.68125,2993.4156249999996,0.4062657521877341,0.0015859088531647303,0.00024505535353030756,0.0012202806969141902,4.747284340889134
27,4832.584375,2912.5125000000007,0.377679627311451,0.001577164324566109,0.00020497615710324268,0.0010218393874557308,4.593510809852851
28,4913.487499999999,2831.609375,0.34535382796426056,0.0014131931394267827,9.863510204953518e-05,0.0008769707464592602,4.00161094228656
29,4994.390625,2750.70625,0.3459534873104763,0.001316428602977232,-8.233161534476618e-05,0.0007558390718344354,3.621108385888241
30,5075.29375,2669.8031250000004,0.36504336159186357,0.001252236697193293,-0.00024759474016172733,0.0007077768742636686,3.3432254474063328
31,5156.196875,2588.8999999999996,0.3712216962803701,0.00126251922226428,-0.0002990067422548037,0.000613765731851193,3.268536014519994
32,5237.1,2507.9968750000007,0.38345495638386307,0.0012186344306329075,-0.00022097901777873297,0.000594041912616635,3.056331343794737
33,5318.003124999999,2427.09375,0.403851534641172,0.0011509501006215506,-0.00013605655717341403,0.0005830156758375449,2.7934637957804362
34,5398.90625,2346.190625,0.4171571718904954,0.0011280849845710095,-0.00010286035857093312,0.0006024130425165766,2.646702415003772
35,5479.809375,2265.2875000000004,0.4535196259892642,0.0011140651120407352,-3.493291598696824e-05,0.0006472869065882181,2.5236777724919772
36,5560.7125,2184.3843749999996,0.4882145496414577,0.0011317929705656482,5.100153285808595e-08,0.0006900986989971311,2.4722708806384364
37,5641.615625,2103.4812500000007,0.49632373793796714,0.0011285670455940533,5.710227436728221e-05,0.0006842858193845808,2.3739196197749868
38,5722.518749999999,2022.578125,0.499173575712787,0.0011739976176899924,7.188568207361357e-05,0.0006827698285972496,2.3745019003418917
39,5803.421875,1941.6750000000002,0.503281628208159,0.001243233091332424,8.603249947169989e-05,0.0007168059038362845,2.413954612612885
40,5884.325,1860.7718750000004,0.5056224877888515,0.0013146466298109838,0.00010833945273888701,0.0007930745572377884,2.4462574743158156
41,5965.228125,1779.8687499999996,0.5217237841180733,0.0014068525478619712,0.00012486001214895293,0.0008119355546440388,2.504012885797401
42,6046.13125,1698.9656250000007,0.5414893784159701,0.0014552005482004748,0.00011186067674223699,0.0007034349669299972,2.4723357088737634
43,6127.034374999999,1618.0625,0.5305234410600644,0.0014665782074297327,0.0001120473966109703,0.0007212065719491845,2.373015200759272
44,6207.9375,1537.1593750000002,0.5435599102179767,0.0015483053360590415,7.568692329817939e-05,0.0007366310959856792,2.3799920626856816
45,6288.840625,1456.2562500000004,0.5421542272619847,0.0015187998962107319,8.964612753514789e-05,0.0006981569183186565,2.2117618413562306
46,6369.74375,1375.3531249999996,0.5348947152134726,0.0014624038270835693,0.00010622656335806946,0.0007057392047808697,2.011321673591346
47,6450.646875,1294.4499999999998,0.532545942316808,0.0013929280241707642,0.00016979621073227869,0.0007250992658802691,1.8030756808878454
48,6531.55,1213.546875,0.5193967527695977,0.0013257814721612249,0.00018221834091267097,0.0007138063613824561,1.608897962474154
