arm,tag,mode,seed,width,depth,restarts,final_loss,converged,wall_s,train_endpoint_med_um,train_endpoint_p95_um,train_stage_med_um,train_slope_med_mrad,train_rho_mean,train_rho_median,train_straight_med_um,train_n,val_endpoint_med_um,val_endpoint_p95_um,val_stage_med_um,val_slope_med_mrad,val_rho_mean,val_rho_median,val_straight_med_um,val_n,test_endpoint_med_um,test_endpoint_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_mean,test_rho_median,test_straight_med_um,test_n
residual,residual_w50_data_s2,data,2,50,4,111,9.768486464567386e-06,True,1597.1,0.03212165904642461,2455.3414669214126,0.032801310091201685,0.0007918141283896896,3.4797249076747716e-06,3.1346997869574615e-13,15.41536337163052,7935,0.05923660160078725,4159.892065344839,0.05770347132738607,0.0013732157079990315,0.0005896449406414072,9.899749739448705e-13,17.28391489552905,3969,0.05609108106030547,3564.127834205692,0.055406640399269236,0.0012647649745812454,0.00033177528578361696,1.050852340987525e-12,16.11289863009624,3961
residual,residual_w50_physics_s0,physics,0,50,4,64,1.098531698374987e-06,True,1676.6,1.8754335749235906,2409.0765814684605,2.0220117596920772,0.05501815862219567,0.00038370708503874596,2.907122353170062e-09,15.41536337163052,7935,2.0156824436865506,4416.086869556037,2.21018847474852,0.05891736277960358,0.0008549600770187128,3.5526449524449682e-09,17.28391489552905,3969,1.9718657370049186,3965.948461608832,2.139674381851364,0.05951322521047936,0.0006994565871379172,3.194131964644291e-09,16.11289863009624,3961
residual,residual_w50_physics_s1,physics,1,50,4,54,1.368314990693158e-06,True,1466.0,2.030217004140411,2795.4401894277757,2.3129511094737154,0.0638247266414177,0.0005004646188052297,4.415509774088939e-09,15.41536337163052,7935,2.423124998175652,5045.758351558651,2.576792033198494,0.0680755452074494,0.0006655587221844067,5.234373374470271e-09,17.28391489552905,3969,2.203922289604421,4637.972914536817,2.440054546011261,0.06715436714743728,0.00042226001586404205,4.364313828863985e-09,16.11289863009624,3961
residual,residual_w50_physics_s2,physics,2,50,4,61,1.2229265837699988e-06,True,1012.3,2.605062172207795,2467.070241071556,2.6317346273874165,0.05708554789624065,0.00029330743075830086,2.7422088544774015e-09,15.41536337163052,7935,2.902713067894691,5199.003727675288,2.9590997403374786,0.06129298827954599,0.0008302543392546922,3.0479536777307523e-09,17.28391489552905,3969,2.7100593693516473,3888.229799713031,2.716977418458555,0.05921688828761096,0.000480509428880026,3.237517389755109e-09,16.11289863009624,3961
residual,residual_w50_physics_s3,physics,3,50,4,50,2.0622212102141265e-06,True,806.8,1.9889727714257344,3198.4582897689706,2.4095081065524937,0.06184146603652185,0.0005916176698940384,3.861555754916692e-09,15.41536337163052,7935,2.1454671227729705,5927.694271171453,2.7140106749357074,0.06687432950583383,0.0008270119896900641,4.562894943410282e-09,17.28391489552905,3969,1.987689321302888,4925.429557576819,2.5257149226831643,0.06602672839851886,0.0008053186595400688,4.097689103811963e-09,16.11289863009624,3961
residual,residual_w50_physics_s4,physics,4,50,4,58,1.125862167592535e-06,True,1531.0,1.8925871503259195,2513.945992239055,1.9860432641394254,0.05677550163116999,0.0003187666186381043,3.247801061468238e-09,15.41536337163052,7935,2.0553372471567855,4631.894695915065,2.1570220199773615,0.06036518171470551,0.0007591227261804754,3.7212764026817575e-09,17.28391489552905,3969,2.013144372227771,3726.371747974099,2.069683107436049,0.05906881615141968,0.0006623328971344745,3.431529898425747e-09,16.11289863009624,3961
residual,residual_w50_physics_s5,physics,5,50,4,48,2.0442999805000446e-06,True,1181.7,2.3391077324035336,3001.546202924575,2.5567210862789125,0.060258466642357233,0.00047800904569158414,3.5097824420605747e-09,15.41536337163052,7935,2.6399526510749727,5156.774852045531,2.8730979926621103,0.06434485685816171,0.000638558398987416,3.790549926610881e-09,17.28391489552905,3969,2.508645966770473,4906.64327063871,2.7764676203059224,0.062386052214424836,0.0008353588427974009,3.77451159521337e-09,16.11289863009624,3961
residual,residual_w50_physics_s6,physics,6,50,4,59,1.1989561765224484e-06,True,1539.4,1.6828384010523223,2542.0119927588526,1.917748818129894,0.055387035372334026,0.0005392931341978356,2.4529555543823396e-09,15.41536337163052,7935,1.9740248328616872,4785.688648861513,2.233763962294688,0.05736744212127276,0.000592146313674157,3.018375912542738e-09,17.28391489552905,3969,1.8904466743889792,4287.097988021742,2.2440558939393895,0.0572025830646028,0.0010191185192750928,2.7159773981610898e-09,16.11289863009624,3961
residual,residual_w50_physics_s7,physics,7,50,4,58,1.5251314004348894e-06,True,1467.0,2.005110637788743,3011.0012252889346,2.113545857494792,0.057121154323247145,0.0004299534797509686,2.892236259186546e-09,15.41536337163052,7935,2.1364004475117326,5031.0352375750535,2.249963658128351,0.06023815763335147,0.0006144056592741292,3.3668404013742763e-09,17.28391489552905,3969,2.1236946741964857,4117.018191136367,2.2369535005992702,0.05852490655403053,0.0007061693722134958,3.1706281425447966e-09,16.11289863009624,3961
residual,residual_w50_physics_s8,physics,8,50,4,52,1.4480040930331263e-06,True,828.9,2.580145546744461,3007.748105878975,2.6676491754358267,0.05938277178835216,0.0006075445528322728,2.734226386762298e-09,15.41536337163052,7935,2.756119984212546,5174.345161598102,2.8105638126021404,0.0619042265571218,0.0008585365478079531,3.2136361615123127e-09,17.28391489552905,3969,2.6943750395957977,4206.646077044297,2.7845752233872645,0.060071779834691696,0.0008214232917739405,2.983597131782462e-09,16.11289863009624,3961
residual,residual_w50_physics_s9,physics,9,50,4,56,1.3945271599534689e-06,True,937.3,2.095558866869851,2557.5771838276355,2.405015709655345,0.06368242559774695,0.00027416488131342743,4.121144026518433e-09,15.41536337163052,7935,2.29302931086961,5274.64804173387,2.615308328934418,0.06551581947657203,0.0009526221433214869,4.549410196522819e-09,17.28391489552905,3969,2.1142936360831754,4124.1530815646,2.5021623841894325,0.0663227081708779,0.0008176986555432508,4.468032630501655e-09,16.11289863009624,3961
wave1,w100_data_s0,data,0,100,4,154,5.722711697477841e-06,True,5825.4,294.1716846453879,2687.0520639742376,450.64835911333034,0.13206284196101703,0.012383134900865988,1.062540314005447e-05,15.41536337163052,7935,315.5524619463108,4779.723572145039,466.7204449047233,0.1398179925312902,0.01377428666231343,1.4956021427126092e-05,17.28391489552905,3969,320.55774502496706,4780.843271241565,472.25446944409356,0.14249809269761826,0.012249294516265516,1.3929206495672553e-05,16.11289863009624,3961
wave1,w100_data_s1,data,1,100,4,133,7.260368165462107e-06,True,4943.9,334.52363759332115,3064.935580312861,544.1062361022375,0.13496933003162223,0.014064886127868813,1.2478270337822808e-05,15.41536337163052,7935,348.01431114014747,5661.731306703922,567.1470501448823,0.13988168511613885,0.014462218599553711,1.564379586198852e-05,17.28391489552905,3969,338.47731474480725,5080.857002152726,561.9693841284175,0.14099951586876713,0.013910042367898107,1.4722150977642366e-05,16.11289863009624,3961
wave1,w100_data_s2,data,2,100,4,154,5.1406581408633976e-06,True,5678.2,227.1343973734954,2593.1924070760238,448.41677614567743,0.17170040936720365,0.00833761656119643,8.556430745761671e-06,15.41536337163052,7935,245.91763866103202,4901.226644014879,484.0243851735977,0.17515920759153536,0.009972670109382447,1.213466838525615e-05,17.28391489552905,3969,248.32220585798837,4586.206612093065,482.25338880565795,0.17842555188157805,0.010767353937547963,1.0753243757759678e-05,16.11289863009624,3961
wave1,w100_physics_s0,physics,0,100,4,121,1.8072437716316872e-05,True,3662.7,325.52203213681355,6818.681511731956,561.2963428106781,0.18934474364842163,0.011966682376043645,3.070913578176844e-05,15.41536337163052,7935,351.80645524816237,10691.602684610005,616.5255297689214,0.20303470053648076,0.013268609042427878,3.3737456972028854e-05,17.28391489552905,3969,342.1397773986712,9770.00728713756,627.1889970455238,0.20389152571682717,0.01229763927616182,3.295083489220588e-05,16.11289863009624,3961
wave1,w100_physics_s1,physics,1,100,4,96,2.3121837879707247e-05,True,2563.9,316.8169432841572,7884.102052331398,643.2640449316125,0.19079595689475148,0.010610708834211374,2.5377912946555177e-05,15.41536337163052,7935,338.6893948707268,11710.601952143856,681.6928475836903,0.19956800598350255,0.012151793609894579,2.898690404025802e-05,17.28391489552905,3969,349.867154105424,11131.59998660979,680.9424259715797,0.20839696244799588,0.012498321718710547,2.784781269400807e-05,16.11289863009624,3961
wave1,w100_physics_s2,physics,2,100,4,99,2.376909376674545e-05,True,4738.4,386.8076692827458,7528.871135684531,648.2348729837142,0.1988377540699804,0.013401029400158134,2.7545064674497167e-05,15.41536337163052,7935,389.95248591685794,11513.26446555816,694.7244847923457,0.2140854002993381,0.013485113602668207,3.2566237959473475e-05,17.28391489552905,3969,411.361370459872,10452.20193357411,688.0151125424163,0.21445366857372056,0.013982635325939482,3.160222983094671e-05,16.11289863009624,3961
wave1,w100_physics_s3,physics,3,100,4,94,2.9352543607771237e-05,True,4380.1,407.8680159324506,8532.59680526937,815.7189468469275,0.19721561467504928,0.02095963431535307,4.059681801263614e-05,15.41536337163052,7935,431.78472918595645,12585.034849446174,840.4545712087365,0.22028728494730837,0.020304142418440883,4.294690152193964e-05,17.28391489552905,3969,426.6424474208943,11581.812187769174,857.0339409383223,0.21218241007361915,0.01995608335447452,4.161453638773037e-05,16.11289863009624,3961
wave1,w100_physics_s4,physics,4,100,4,102,2.7754773342545447e-05,True,2746.1,392.0708267954751,7810.0665264356985,646.6125591489487,0.21128826751615204,0.012059159246212103,3.402723668005325e-05,15.41536337163052,7935,413.01221634856586,11606.681849748198,688.5002108513802,0.22114586616042708,0.013335808786798693,3.461914295276175e-05,17.28391489552905,3969,421.629248549408,10797.424718540355,694.8766391890962,0.22777631878440063,0.014645971396060718,3.4608277931885654e-05,16.11289863009624,3961
wave1,w100_physics_s5,physics,5,100,4,97,2.414213214564339e-05,True,2581.7,351.1154047463023,8104.486890350074,660.6686293368753,0.23476133914894504,0.01416722874791629,3.4059409960896075e-05,15.41536337163052,7935,373.125351716169,11864.076768004634,675.4737749962487,0.24537789792482279,0.01333688615548186,3.778287023617983e-05,17.28391489552905,3969,365.15403454927764,10802.45618293202,686.7145718476335,0.24590778369552868,0.014590712096099216,3.523429180472983e-05,16.11289863009624,3961
wave1,w100_physics_s6,physics,6,100,4,95,2.6336586251391867e-05,True,2653.5,382.88871151303283,7757.821218397052,684.1659849477896,0.2512171420006545,0.014797755422475085,4.0861226809134266e-05,15.41536337163052,7935,391.9573599051205,11200.020621784517,726.321511318929,0.2586836742373283,0.013489290395535947,4.577743203476519e-05,17.28391489552905,3969,381.7415754066005,10301.173011151433,725.711185543048,0.26615517216235784,0.016006968066251598,4.021400179857036e-05,16.11289863009624,3961
wave1,w100_physics_s7,physics,7,100,4,89,2.804392932426217e-05,True,4080.8,417.6747809056129,7611.668180307587,782.1289766675,0.24918324420679372,0.016252869101428077,3.559404447018068e-05,15.41536337163052,7935,426.98545990685943,10672.51709146615,814.3458529186773,0.25769060684652234,0.015956754553069583,4.1241326871628696e-05,17.28391489552905,3969,438.07541708147824,10280.253883803198,829.0112812005752,0.2664403655377734,0.0159898638041982,3.9889171710718564e-05,16.11289863009624,3961
wave1,w100_physics_s8,physics,8,100,4,108,2.3232214692857642e-05,True,3053.8,356.24763962241036,7481.6734233103225,609.549785107987,0.20947162672468878,0.014675892562512456,3.06631492323213e-05,15.41536337163052,7935,389.1918471612197,9796.364611609779,643.7920281066027,0.21749867441818188,0.013629288005807812,3.552735877684582e-05,17.28391489552905,3969,381.66233935788796,10667.905945403505,643.1610477002962,0.23046172445426172,0.015492248829904512,3.125086257976944e-05,16.11289863009624,3961
wave1,w100_physics_s9,physics,9,100,4,84,2.7080660373248843e-05,True,3880.5,387.76593143563787,7819.90984104086,697.005490516836,0.23644917475358976,0.013750194009761841,4.6488793943474074e-05,15.41536337163052,7935,415.8280837610118,10070.780719693252,732.5125796347365,0.24419775781930886,0.015262077805629897,5.226591538141116e-05,17.28391489552905,3969,428.8225288829608,10152.72905878635,742.0098894553853,0.25785562322824807,0.014191077626830396,5.1461047175465846e-05,16.11289863009624,3961
wave1,w200_data_s0,data,0,200,4,95,3.2059765401730674e-06,True,6026.3,214.5550507655649,2049.2623263444157,375.5914593095966,0.10433146672889082,0.005873577511890659,7.843397377255609e-06,15.41536337163052,7935,219.401009078271,4811.223025538084,401.11235852088356,0.10716544155137814,0.007166776685758909,9.960164774022127e-06,17.28391489552905,3969,236.49549856396845,4847.192215865107,399.2925137896677,0.11299740471391873,0.008086200515921127,1.1010636459553625e-05,16.11289863009624,3961
wave1,w200_data_s1,data,1,200,4,99,2.952042578670645e-06,True,11071.9,233.01404913820178,1854.01220283127,384.3562552131843,0.10745501938153046,0.006637277382596953,6.457444442135097e-06,15.41536337163052,7935,243.56559297928015,4579.569990612706,398.6501954435937,0.12232691885356514,0.009265717694509836,9.900963631199153e-06,17.28391489552905,3969,244.59449291293467,4675.812533598332,400.6075436355445,0.11534407834434823,0.008855156517281793,9.26880430441567e-06,16.11289863009624,3961
wave1,w200_data_s2,data,2,200,4,109,2.485485604002222e-06,True,6519.8,212.0385954774876,1755.1282644346754,358.0570067065878,0.09517166191215856,0.00547074647188357,5.936388383672495e-06,15.41536337163052,7935,220.56014786085143,4225.732055999237,367.93633847871024,0.10288626974513937,0.005764269609760119,8.92422458992246e-06,17.28391489552905,3969,226.73730041157114,3965.044590048283,378.4852975118156,0.10727144231953423,0.007630200968346105,9.20265985210285e-06,16.11289863009624,3961
wave1,w200_physics_s0,physics,0,200,4,115,7.374759771726208e-06,True,7377.6,261.77663175996344,4558.81766209793,495.0479514028344,0.1372198059409382,0.006644286141249169,1.627156943180364e-05,15.41536337163052,7935,279.62847523307846,8213.783329465185,539.4876575505236,0.1424508211780584,0.008492746363084763,1.8664188122214956e-05,17.28391489552905,3969,276.16734750597516,8902.496115363647,540.0878816203854,0.14476493855727912,0.009597309173406924,1.9043610237456992e-05,16.11289863009624,3961
wave1,w200_physics_s1,physics,1,200,4,113,6.427908355299295e-06,True,13186.0,271.1889907730267,4600.295678496832,445.8911121098623,0.1384324652206545,0.006164873416036803,1.986613046632762e-05,15.41536337163052,7935,282.3642624837639,8074.777772723908,477.0852569307973,0.14924154609408102,0.008476359705618755,2.3356860399641695e-05,17.28391489552905,3969,292.8647155791273,7579.466653371909,476.8424704813299,0.15375896738240025,0.007889840062382135,2.3611468229105368e-05,16.11289863009624,3961
wave1,w200_physics_s2,physics,2,200,4,124,5.671436678659895e-06,True,15534.2,222.4979834563161,4355.113691481073,459.07450608939325,0.14941385582371847,0.006024067489119155,1.5091127850918151e-05,15.41536337163052,7935,234.57413245429848,7899.582137722298,480.59812059907614,0.15313001158692718,0.007903300337924034,1.8221579833742293e-05,17.28391489552905,3969,230.89756084966328,7070.09540095629,480.3303950124871,0.15568504007076878,0.0070399276688266794,1.834941282013035e-05,16.11289863009624,3961
wave1,w200_physics_s3,physics,3,200,4,131,5.922417321550252e-06,True,8330.9,246.95900305306395,4090.84693440918,455.38399308659905,0.12437700875722602,0.006028259523478141,1.4766351774710571e-05,15.41536337163052,7935,258.6781910030993,7498.9239817661855,480.5404600008387,0.13743230102330334,0.0075716843294010685,1.8555398922941417e-05,17.28391489552905,3969,269.61867887636083,6420.7969700155445,486.13209097447907,0.13376195914141867,0.008992428849623937,1.6321474825988005e-05,16.11289863009624,3961
wave1,w200_physics_s4,physics,4,200,4,115,7.069509144742635e-06,True,13278.3,248.2647857943636,4508.686907894262,441.4748026920847,0.13530607698217234,0.006811503759731684,1.4155887826302648e-05,15.41536337163052,7935,269.71666895400756,8127.596020913822,463.9647250137955,0.13899601242206572,0.008019223773551498,1.6494023932895875e-05,17.28391489552905,3969,271.6128166733256,7574.497066388972,470.43834479745783,0.14427663206896535,0.009460604869969172,1.6492085541821145e-05,16.11289863009624,3961
wave1,w200_physics_s5,physics,5,200,4,111,7.83852947436626e-06,False,12694.8,303.21595734605467,5036.811456269937,473.16340516225,0.13734455873816095,0.00824838593137289,1.953700813069193e-05,15.41536337163052,7935,324.6222657834108,8282.998858537101,500.25397780854064,0.14631403049118752,0.010268188608889018,2.315155274761186e-05,17.28391489552905,3969,323.73213668887854,8048.435357189305,501.26749199566234,0.1467594296450936,0.011363389184221593,2.06875396398445e-05,16.11289863009624,3961
wave1,w200_physics_s6,physics,6,200,4,120,6.101230196298541e-06,True,13512.1,252.06210550189388,4736.675655428644,436.9056938594369,0.14729031366334575,0.00815523658028169,1.283444434965419e-05,15.41536337163052,7935,275.4229104276966,8317.665550542191,458.07615570065917,0.15085114869330812,0.008938553605029983,1.5262820248257094e-05,17.28391489552905,3969,272.7629180859594,8322.450893884365,475.82810198269954,0.15421484496891402,0.009091715869234551,1.6042350857315735e-05,16.11289863009624,3961
wave1,w200_physics_s7,physics,7,200,4,101,9.280169623889478e-06,True,11610.5,257.80129234051066,5144.9773818674485,486.9491211888253,0.15257958967832344,0.007358816663245014,1.3090111143340708e-05,15.41536337163052,7935,278.6536112330484,8091.02602860321,505.1475724110519,0.1591124758509102,0.008449282110478672,1.568215442714232e-05,17.28391489552905,3969,290.18057850903745,7693.122901315008,510.2359805305241,0.162706637158061,0.008759294631031225,1.49435731611903e-05,16.11289863009624,3961
wave1,w200_physics_s8,physics,8,200,4,130,6.8880282739145825e-06,True,14679.7,244.52604739571981,4632.85138135683,445.9772706874503,0.14325994949089538,0.00704589740939496,1.2473383015014442e-05,15.41536337163052,7935,258.25684677515073,7769.989852203523,465.6323331163108,0.15217858530966466,0.007775790133227632,1.5409596845100267e-05,17.28391489552905,3969,266.9675443675885,7090.643938898438,473.3962710706692,0.15284391724300003,0.008739560730722651,1.543123263368004e-05,16.11289863009624,3961
wave1,w200_physics_s9,physics,9,200,4,112,6.070820042395008e-06,True,7524.1,258.4266478643542,4200.9983933938975,463.72508518813936,0.12262207754545895,0.006915406834902806,1.4321059237310746e-05,15.41536337163052,7935,278.8259846193597,7640.973369029915,476.53003461339694,0.13521194321178265,0.00809376530556465,2.0364427347804313e-05,17.28391489552905,3969,277.1923180573026,7006.343002860035,487.9098007099856,0.13468412038666888,0.009080040550587441,1.83942325961348e-05,16.11289863009624,3961
wave1,w50_data_s0,data,0,50,4,114,5.41997258276014e-05,True,1650.3,574.7070370280962,7062.4291734301205,1033.850397104322,0.3321545488371713,0.02811577774058614,5.427951007626165e-05,15.41536337163052,7935,594.239448308084,10236.265851841688,1070.328519410367,0.3359409874863495,0.02798498892161814,6.0111879666676796e-05,17.28391489552905,3969,607.3559709082588,8621.803910532322,1067.2662721370846,0.33580323218782016,0.02909038478376068,5.398434424872051e-05,16.11289863009624,3961
wave1,w50_data_s1,data,1,50,4,107,5.8675562058253946e-05,True,1561.8,576.2305424487353,7358.4750484214865,1043.3678454694473,0.3018497213216065,0.023383264842224603,5.4664172003889224e-05,15.41536337163052,7935,645.556675372172,10512.031621994985,1125.2158519749696,0.3338206408853017,0.022805905832679996,6.091857157845717e-05,17.28391489552905,3969,636.5985436812025,9223.778118951486,1117.6027277633266,0.33010236684137206,0.025412156565539627,5.778533312683667e-05,16.11289863009624,3961
wave1,w50_data_s2,data,2,50,4,117,5.4905399148585004e-05,True,1718.3,605.1766542964731,7617.445941372613,1015.5415152544074,0.31434997380369417,0.025062643835396973,5.33467812054171e-05,15.41536337163052,7935,633.5177311462985,11016.09218705888,1056.6304539830521,0.31732976342013774,0.023339593165705604,6.12429647206465e-05,17.28391489552905,3969,645.1070248929831,8859.683572260763,1048.4250174120007,0.3386273373533477,0.026473472963390643,5.473564069978664e-05,16.11289863009624,3961
wave1,w50_physics_s0,physics,0,50,4,88,7.954270386492975e-05,True,1360.8,790.7445389359964,16196.538977591501,1311.561550798217,0.38452153928746413,0.0580755100405392,0.00013337290258033053,15.41536337163052,7935,854.3494305449262,20338.273620785912,1407.327206217377,0.40766101554667866,0.05786910920296198,0.00014164261038641002,17.28391489552905,3969,841.8209653319195,18567.857696869738,1426.602538348675,0.42417351254200875,0.05631373890418406,0.0001280350140459489,16.11289863009624,3961
