tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
w100_physics_s1,physics,1,100,4,C,6,0.8983332387068134,False,283.7273353808065,2526.2961589653405,2793
w100_physics_s1,physics,1,100,4,C,7,0.9801449282487681,False,227.83404836940235,2833.161053809457,2793
w100_physics_s1,physics,1,100,4,C,8,1.0,True,252.27336502595676,2903.138156183788,2793
w100_physics_s2,physics,2,100,4,A,0,0.019855071751231912,False,366.59257936400365,7474.568828311153,604
w100_physics_s2,physics,2,100,4,A,1,0.10166676129318664,False,330.44042210112764,7510.967643243554,604
w100_physics_s2,physics,2,100,4,A,2,0.2372337950418355,False,337.0074031506194,9439.572352273495,604
w100_physics_s2,physics,2,100,4,A,3,0.4082826787521751,False,305.1674391300718,14069.213392978168,604
w100_physics_s2,physics,2,100,4,A,4,0.5917173212478248,False,376.57893727557257,21636.116643198002,604
w100_physics_s2,physics,2,100,4,A,5,0.7627662049581645,False,462.1714505449908,27515.97975820628,604
w100_physics_s2,physics,2,100,4,A,6,0.8983332387068134,False,382.91701758200037,27359.297671287753,604
w100_physics_s2,physics,2,100,4,A,7,0.9801449282487681,False,389.7921053494957,29473.66281114319,604
w100_physics_s2,physics,2,100,4,A,8,1.0,True,385.6425107545245,30679.6845021881,604
w100_physics_s2,physics,2,100,4,B,0,0.019855071751231912,False,827.2309731816279,8044.661002358971,564
w100_physics_s2,physics,2,100,4,B,1,0.10166676129318664,False,788.8003495992066,7960.420490535695,564
w100_physics_s2,physics,2,100,4,B,2,0.2372337950418355,False,1212.1125030319781,8487.18801527793,564
w100_physics_s2,physics,2,100,4,B,3,0.4082826787521751,False,1450.5453755128847,14039.185077341353,564
w100_physics_s2,physics,2,100,4,B,4,0.5917173212478248,False,1866.5711208299813,24192.668795543315,564
w100_physics_s2,physics,2,100,4,B,5,0.7627662049581645,False,2453.2437282775845,38966.1061602417,564
w100_physics_s2,physics,2,100,4,B,6,0.8983332387068134,False,2595.5143440524325,37865.04519820232,564
w100_physics_s2,physics,2,100,4,B,7,0.9801449282487681,False,2281.3760722108755,39669.47686020363,564
w100_physics_s2,physics,2,100,4,B,8,1.0,True,2371.4967122422477,39563.450346576894,564
w100_physics_s2,physics,2,100,4,C,0,0.019855071751231912,False,309.11510662792807,2481.6356566460977,2793
w100_physics_s2,physics,2,100,4,C,1,0.10166676129318664,False,227.11805092579596,2172.0737067073064,2793
w100_physics_s2,physics,2,100,4,C,2,0.2372337950418355,False,235.5195226845268,1992.1299824739442,2793
w100_physics_s2,physics,2,100,4,C,3,0.4082826787521751,False,205.24751307544875,2076.058511673458,2793
w100_physics_s2,physics,2,100,4,C,4,0.5917173212478248,False,227.65817242341944,2425.523774165214,2793
w100_physics_s2,physics,2,100,4,C,5,0.7627662049581645,False,299.99192231822036,2785.3506356647836,2793
w100_physics_s2,physics,2,100,4,C,6,0.8983332387068134,False,237.92517972026417,2402.063631786291,2793
w100_physics_s2,physics,2,100,4,C,7,0.9801449282487681,False,286.9970990282411,2640.9190305667153,2793
w100_physics_s2,physics,2,100,4,C,8,1.0,True,319.5847627756123,2748.3941172825826,2793
w100_physics_s3,physics,3,100,4,A,0,0.019855071751231912,False,516.2918189746277,8180.3063112714835,604
w100_physics_s3,physics,3,100,4,A,1,0.10166676129318664,False,393.05342794783365,6418.578128025396,604
w100_physics_s3,physics,3,100,4,A,2,0.2372337950418355,False,380.24091192057335,7107.006350879087,604
w100_physics_s3,physics,3,100,4,A,3,0.4082826787521751,False,372.78089910476456,11766.355006386095,604
w100_physics_s3,physics,3,100,4,A,4,0.5917173212478248,False,301.50734408029433,20122.906779381105,604
w100_physics_s3,physics,3,100,4,A,5,0.7627662049581645,False,565.882717054419,25920.02837532012,604
w100_physics_s3,physics,3,100,4,A,6,0.8983332387068134,False,427.30866526119604,31713.1939988912,604
