arm,tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
wave1,w50_physics_s3,physics,3,50,4,True,test,C,20-200GeV,161.1752620660738,1489.0859755922463,572.9263038801413,0.10317357566634426,0.0017323325243104295,7.041855616795338e-05,0.7430259263347949,311,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
wave1,w50_physics_s3,physics,3,50,4,True,test,C,all,607.7879656547793,6271.968509740582,1327.20095664612,0.37012050899173576,0.0038381113124693104,6.172140532544507e-05,6.63368461363234,2793,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
wave1,w50_physics_s4,physics,4,50,4,True,val,A,1-5GeV,925.3094949278694,101845.26878882872,1853.5843969964044,0.5180861987030472,0.17920762730053388,0.037767920601121524,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
wave1,w50_physics_s4,physics,4,50,4,True,val,A,5-20GeV,369.27743833531446,23257.55463199346,610.5907175432425,0.20823550622833809,0.09496895066568727,0.05934078060015592,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
wave1,w50_physics_s4,physics,4,50,4,True,val,A,20-200GeV,344.1107480051776,14079.222117934005,1076.7497613339103,0.38665736375598486,0.1228467894611515,0.04730638762165073,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
wave1,w50_physics_s4,physics,4,50,4,True,val,A,all,609.7499651063629,58093.01069307669,1273.8979270699272,0.3925307822391644,0.14594294595706672,0.04721588256521744,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
wave1,w50_physics_s4,physics,4,50,4,True,val,B,1-5GeV,15558.790676624085,131792.6768052592,18561.82231158607,3.9866238684485094,0.0005580758542591339,0.00011123176323094475,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
wave1,w50_physics_s4,physics,4,50,4,True,val,B,5-20GeV,3580.8196803576493,66928.44356072377,5001.946836520688,1.1671672928600159,0.0021428115392350833,4.857248767149737e-05,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
wave1,w50_physics_s4,physics,4,50,4,True,val,B,20-200GeV,3326.6400205476857,21409.368148434005,5327.46858538755,0.9830745068227855,0.007323264168084645,0.0002650088259377464,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
wave1,w50_physics_s4,physics,4,50,4,True,val,B,all,6388.648448950931,91647.78708867833,7993.134050823073,1.5460222374160393,0.0023836126271905497,8.435903221815186e-05,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
