tag,mode,seed,width,depth,restarts,final_loss,converged,wall_s,train_endpoint_med_um,train_endpoint_p95_um,train_stage_med_um,train_slope_med_mrad,train_rho_mean,train_rho_median,train_straight_med_um,train_n,val_endpoint_med_um,val_endpoint_p95_um,val_stage_med_um,val_slope_med_mrad,val_rho_mean,val_rho_median,val_straight_med_um,val_n,test_endpoint_med_um,test_endpoint_p95_um,test_stage_med_um,test_slope_med_mrad,test_rho_mean,test_rho_median,test_straight_med_um,test_n
w100_physics_s8,physics,8,100,4,108,2.3232214692857642e-05,True,3053.8,356.24763962241036,7481.6734233103225,609.549785107987,0.20947162672468878,0.014675892562512456,3.06631492323213e-05,15.41536337163052,7935,389.1918471612197,9796.364611609779,643.7920281066027,0.21749867441818188,0.013629288005807812,3.552735877684582e-05,17.28391489552905,3969,381.66233935788796,10667.905945403505,643.1610477002962,0.23046172445426172,0.015492248829904512,3.125086257976944e-05,16.11289863009624,3961
w100_physics_s9,physics,9,100,4,84,2.7080660373248843e-05,True,3880.5,387.76593143563787,7819.90984104086,697.005490516836,0.23644917475358976,0.013750194009761841,4.6488793943474074e-05,15.41536337163052,7935,415.8280837610118,10070.780719693252,732.5125796347365,0.24419775781930886,0.015262077805629897,5.226591538141116e-05,17.28391489552905,3969,428.8225288829608,10152.72905878635,742.0098894553853,0.25785562322824807,0.014191077626830396,5.1461047175465846e-05,16.11289863009624,3961
w50_data_s0,data,0,50,4,114,5.41997258276014e-05,True,1650.3,574.7070370280962,7062.4291734301205,1033.850397104322,0.3321545488371713,0.02811577774058614,5.427951007626165e-05,15.41536337163052,7935,594.239448308084,10236.265851841688,1070.328519410367,0.3359409874863495,0.02798498892161814,6.0111879666676796e-05,17.28391489552905,3969,607.3559709082588,8621.803910532322,1067.2662721370846,0.33580323218782016,0.02909038478376068,5.398434424872051e-05,16.11289863009624,3961
w50_data_s1,data,1,50,4,107,5.8675562058253946e-05,True,1561.8,576.2305424487353,7358.4750484214865,1043.3678454694473,0.3018497213216065,0.023383264842224603,5.4664172003889224e-05,15.41536337163052,7935,645.556675372172,10512.031621994985,1125.2158519749696,0.3338206408853017,0.022805905832679996,6.091857157845717e-05,17.28391489552905,3969,636.5985436812025,9223.778118951486,1117.6027277633266,0.33010236684137206,0.025412156565539627,5.778533312683667e-05,16.11289863009624,3961
w50_data_s2,data,2,50,4,117,5.4905399148585004e-05,True,1718.3,605.1766542964731,7617.445941372613,1015.5415152544074,0.31434997380369417,0.025062643835396973,5.33467812054171e-05,15.41536337163052,7935,633.5177311462985,11016.09218705888,1056.6304539830521,0.31732976342013774,0.023339593165705604,6.12429647206465e-05,17.28391489552905,3969,645.1070248929831,8859.683572260763,1048.4250174120007,0.3386273373533477,0.026473472963390643,5.473564069978664e-05,16.11289863009624,3961
w50_physics_s0,physics,0,50,4,88,7.954270386492975e-05,True,1360.8,790.7445389359964,16196.538977591501,1311.561550798217,0.38452153928746413,0.0580755100405392,0.00013337290258033053,15.41536337163052,7935,854.3494305449262,20338.273620785912,1407.327206217377,0.40766101554667866,0.05786910920296198,0.00014164261038641002,17.28391489552905,3969,841.8209653319195,18567.857696869738,1426.602538348675,0.42417351254200875,0.05631373890418406,0.0001280350140459489,16.11289863009624,3961
w50_physics_s1,physics,1,50,4,93,7.33468219314139e-05,True,2315.9,673.248652389117,16008.087943646573,1299.1136848942224,0.3222227681588252,0.0398456282467767,0.00013159658200245867,15.41536337163052,7935,724.725816311199,20997.878699210574,1380.2818695956917,0.34393380262187634,0.03916952161856497,0.00014322427406748568,17.28391489552905,3969,716.661251042737,17598.10991969198,1346.2154667066259,0.3499520085662594,0.041089934103007125,0.00011968791641494086,16.11289863009624,3961
w50_physics_s2,physics,2,50,4,55,0.00013915089770081122,True,786.9,1138.8596821749388,25914.457146326,1682.3441338634254,0.43322047282184917,0.045001578457219124,0.00019862340507157073,15.41536337163052,7935,1246.3746058163565,31303.642925797412,1791.2660500607558,0.4711413579652629,0.04791441885796115,0.00020775957459363413,17.28391489552905,3969,1178.50841999919,27301.712662172577,1756.209174251552,0.4831764284258244,0.04540610625995478,0.00021427942413613786,16.11289863009624,3961
w50_physics_s3,physics,3,50,4,59,0.0001459108281003471,True,1436.2,850.6068904873132,24570.84943427644,1570.2421183446252,0.49859326123669057,0.04675110100567046,0.0001844186093807787,15.41536337163052,7935,884.7104968166803,30874.37048396182,1660.4410867702768,0.522608936230462,0.044289069750049176,0.0002005064268718218,17.28391489552905,3969,935.452886758519,27260.2917692177,1658.783722557473,0.5329698256655024,0.044577981466774066,0.00019135114445031432,16.11289863009624,3961
w50_physics_s4,physics,4,50,4,82,7.204102196734474e-05,True,1301.3,615.7665688157197,17694.045687295737,1174.0609969952231,0.2893656267756173,0.027178662703432714,9.75815592019025e-05,15.41536337163052,7935,650.2971732208209,20836.06123823508,1225.0462171036816,0.3084732972147633,0.024834347033035054,0.00010288976713691035,17.28391489552905,3969,649.4034510538995,19633.311974828124,1229.9880730346615,0.30602421346098696,0.026466831218199323,9.960181127176646e-05,16.11289863009624,3961
w50_physics_s5,physics,5,50,4,68,0.00010429396586109632,True,1720.3,687.783377899252,20070.93187335685,1194.696605236885,0.37543099988956996,0.03582208028831287,0.00016934166173820914,15.41536337163052,7935,737.3753168035364,26219.873468159112,1292.8698226287452,0.3946941086308553,0.036721585850354885,0.00018447168198043647,17.28391489552905,3969,717.7428493087064,22662.37113151016,1249.787008063393,0.40197312115060335,0.03610908938042521,0.00017848240960822797,16.11289863009624,3961
w50_physics_s6,physics,6,50,4,65,0.00010376626456171372,True,1093.8,637.5551619542537,19347.32352089,1281.3997740441891,0.42250279857757034,0.025937575160876882,0.00012915349508988818,15.41536337163052,7935,661.2406165528455,21684.839312046897,1392.7956320920885,0.4378650313708876,0.026228897823733298,0.00013254468340493698,17.28391489552905,3969,671.9400010046961,19610.705138129106,1332.7089997484532,0.47502346531122963,0.026485052704876534,0.00012850821896259607,16.11289863009624,3961
w50_physics_s7,physics,7,50,4,76,8.798181733493886e-05,True,2088.3,674.1790882131227,17071.076405320167,1383.2695036850282,0.38269668201923457,0.03771006651359577,0.00010159356887089321,15.41536337163052,7935,736.3388294947981,21828.750555716942,1476.7431021822608,0.38870869669137276,0.03724220439124039,0.00011187650505911311,17.28391489552905,3969,723.7619519041623,20354.18940362206,1470.0333535517746,0.40968857786752993,0.03772900086390332,0.00010563300393384085,16.11289863009624,3961
w50_physics_s8,physics,8,50,4,79,7.50507118125281e-05,True,2062.9,724.7236342063843,16232.891110596236,1442.893944839284,0.4076829100710666,0.03619314062483127,0.00016738994512204862,15.41536337163052,7935,782.0737660607198,22013.459592867475,1498.429850330707,0.4291568281746096,0.03491055311101311,0.00017965210221749226,17.28391489552905,3969,778.6371310013394,17683.401422677434,1516.5744052515038,0.43048403970517674,0.035206590631938275,0.00015899407316332062,16.11289863009624,3961
w50_physics_s9,physics,9,50,4,91,8.060154358436243e-05,True,1483.3,612.4272707367737,15921.191118606888,1310.478072526422,0.3555158690206478,0.027931862465452248,9.71156847505663e-05,15.41536337163052,7935,639.8297591035771,21432.645329520936,1362.6411115588612,0.37414213654285433,0.026323777784459778,0.00010500071129252544,17.28391489552905,3969,646.6958859164151,18977.204740386922,1402.2426382307458,0.3844426863048971,0.029810465263341152,9.75050839060876e-05,16.11289863009624,3961
