restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
681,28,6,train,1.5966751003275408e-09,1.4703637322167764e-09,0.07910899849622068,254351587.7203075,0,200,217,0,79.42
682,28,7,train,1.4703637322167764e-09,1.359799836898085e-09,0.07519492823180629,254351587.7203075,0,200,213,0,78.62
683,28,8,train,1.359799836898085e-09,1.2608817049718814e-09,0.07274462699734638,254351587.7203075,0,200,216,0,82.62
684,28,9,train,1.2608817049718814e-09,1.1755646362659516e-09,0.06766460990710654,254351587.7203075,0,200,217,0,76.87
685,28,10,train,1.1755646362659516e-09,1.1003588335813069e-09,0.0639741961986263,254351587.7203075,0,200,216,0,76.2
686,28,11,train,1.1003588335813069e-09,1.027675282796379e-09,0.0660544074957501,254351587.7203075,0,200,222,0,78.12
687,28,12,train,1.027675282796379e-09,9.649936736479796e-10,0.0609935941806814,254351587.7203075,0,200,216,0,76.33
688,28,13,train,9.649936736479796e-10,9.115653883867751e-10,0.05536646168801168,254351587.7203075,0,200,223,0,81.15
689,28,14,train,9.115653883867751e-10,8.654850656798441e-10,0.05055075948910336,254351587.7203075,0,200,222,0,79.4
690,28,15,train,8.654850656798441e-10,8.248934348634181e-10,0.04690044048829545,254351587.7203075,0,200,222,0,79.0
691,28,16,train,8.248934348634181e-10,7.924000759976007e-10,0.03939097766149337,254351587.7203075,0,200,214,0,77.33
692,28,17,train,7.924000759976007e-10,7.60366285675572e-10,0.04042628375785986,254351587.7203075,0,200,213,0,78.38
693,28,18,train,7.60366285675572e-10,7.326644154247696e-10,0.036432270568374496,254351587.7203075,0,200,216,0,79.17
694,28,19,train,7.326644154247696e-10,7.060982823720465e-10,0.0362596196750202,254351587.7203075,0,200,220,0,77.72
695,28,20,train,7.060982823720465e-10,6.820518832202574e-10,0.03405531461004024,254351587.7203075,0,200,222,0,78.35
696,28,21,train,6.820518832202574e-10,6.594280248012483e-10,0.03317028949790771,254351587.7203075,0,200,221,0,78.06
697,28,22,train,6.594280248012483e-10,6.387992012193599e-10,0.03128290398046991,254351587.7203075,0,200,217,0,79.29
698,28,23,train,6.387992012193599e-10,6.195921356012831e-10,0.0300674540315858,254351587.7203075,0,200,223,0,79.03
699,28,24,train,6.195921356012831e-10,6.008639172780511e-10,0.03022668824719222,254351587.7203075,0,200,219,0,77.19
700,29,0,train,2.3135447473437305e-08,3.329091609417296e-09,0.8561042913373709,43223715.51914603,1,200,212,0,74.48
