q,stratum,direction,n,n_converged,converged_frac,median_abs_dz_mm,endpoint_med_um,endpoint_p95_um,endpoint_mean_um,slope_err_med_mrad,median_n_eval,wall_s
6,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,0.8106546194497355,14.849522504132286,8.914730578368264,0.0013565903625029074,32.0,13.161732905777171
6,full crossing,both,2000,2000,1.0,5174.685791015625,232.62049032087617,2682.0447195458582,951.8732364058203,0.02489922102021612,34.0,26.852568271104246
6,full crossing,+1,1001,1001,1.0,5174.714111328125,220.20024447078868,3432.929237094413,1140.8668928742663,0.025928215828363577,34.0,13.431232049828395
6,full crossing,-1,999,999,1.0,5174.636474609375,238.58682209851167,1146.1307372826577,762.5012142587588,0.02383168446405074,34.0,13.421336221275851
8,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,37.0,29.354426675708964
8,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,37.0,14.910992775345221
8,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,37.0,14.443433900363743
8,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3447910280083306e-10,1.5077716852829314e-09,4.3689962585247155e-10,6.938893903907228e-14,37.0,30.133297299034894
8,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.241132965654426e-10,6.938893903907228e-14,37.0,15.01904184743762
8,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5077716852829314e-09,4.496859551395005e-10,6.938893903907228e-14,37.0,15.114255451597273
8,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.04822833641083e-09,4.314372858971178e-07,2.2540353418476489e-07,9.43689570931383e-13,74.0,49.27716247434728
8,5-20 mm,+1,994,994,1.0,10.361438283999162,3.183231456205249e-09,5.245917478191579e-07,1.8965233008563714e-07,9.992007221626409e-13,73.5,24.282668800326064
8,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.8990143619012088e-09,4.0039083160081645e-07,2.607282825689925e-07,8.777700788442644e-13,74.0,24.994493674021214
8,50-200 mm,both,2000,2000,1.0,101.91578686308067,0.00020070312167774773,0.009132940408562717,0.001877793205311229,4.230909199376409e-06,38.0,37.00193087360822
8,50-200 mm,+1,968,968,1.0,103.91280090297384,0.00022022115331310488,0.009627269766099286,0.0022048887818174527,4.578917377207059e-06,38.0,17.5920748047065
8,50-200 mm,-1,1032,1032,1.0,99.8375629761332,0.00017786832984256762,0.008018297944190067,0.0015709826257976393,3.853442509527127e-06,38.0,19.409856068901718
8,500-2000 mm,both,2000,2000,1.0,997.8958374614399,0.6958437800790307,11.632978850353481,5.350469839837629,0.0012946249010117872,40.0,32.5938514850568
8,500-2000 mm,+1,988,988,1.0,994.6021274047333,0.7589490076185257,11.92148978794165,6.1103906945726845,0.0013307005186022347,40.0,16.06586864287965
8,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,0.6524815668313977,11.242054842216831,4.608570823554789,0.0012174288427195534,40.0,16.527982842177153
8,full crossing,both,2000,2000,1.0,5174.685791015625,32.62632016858902,666.9194525158695,249.90656573985802,0.012080976101362748,42.0,35.64736206503585
8,full crossing,+1,1001,1001,1.0,5174.714111328125,25.046638605118687,1067.3442702811826,305.392338734658,0.012291004820134954,42.0,17.70035943482071
8,full crossing,-1,999,999,1.0,5174.636474609375,39.190121013120915,398.1201334465923,194.30971011643993,0.011750321405084446,42.0,17.947002630215138
10,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,45.0,35.831738585140556
10,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,45.0,18.179287135833874
10,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,45.0,17.65245144930668
10,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3092638912203256e-10,1.5077716852829314e-09,4.3896375249985464e-10,6.938893903907228e-14,45.0,36.80613330891356
10,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.2434067024088584e-10,6.938893903907228e-14,45.0,18.338674019556493
10,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5077716852829314e-09,4.5358683475882344e-10,6.938893903907228e-14,45.0,18.467459289357066
10,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.0375701953744283e-09,2.83017342894709e-07,1.624163843139126e-07,9.43689570931383e-13,90.0,60.063593465369195
10,5-20 mm,+1,994,994,1.0,10.361438283999162,3.183231456205249e-09,3.225707700948976e-07,1.7658507894243637e-07,9.992007221626409e-13,90.0,29.593918516067788
10,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.9132252166164108e-09,1.7887913372760522e-07,1.484166999592877e-07,8.777700788442644e-13,90.0,30.469674949301407
10,50-200 mm,both,2000,2000,1.0,101.91578686308067,0.00013703584045288153,0.005366882247770376,0.0012811570802430672,2.773832330493775e-06,46.0,45.184770453488454
10,50-200 mm,+1,968,968,1.0,103.91280090297384,0.00013860137393351124,0.005761605635257183,0.0015268202707547588,2.9086732987460007e-06,46.0,21.56027688179165
10,50-200 mm,-1,1032,1032,1.0,99.8375629761332,0.00013663252218520938,0.004715653695086529,0.0010507288162747363,2.6387650346043623e-06,46.0,23.624493571696803
10,500-2000 mm,both,2000,2000,1.0,997.8958374614399,0.5044162440235311,9.12951050356696,5.33221789162803,0.0009583136513520831,48.0,39.03236682200804
10,500-2000 mm,+1,988,988,1.0,994.6021274047333,0.5089279819969761,9.688259516384075,7.066369917780946,0.0009786598040972122,48.0,19.228667218005285
