tag,width,depth,q,mode,seed,n_train,n_parameters,converged,restarts,final_loss,wall_s,val_median_um,val_p95_um,val_stage_um,val_slope_mrad,val_rho,val_straight_um,test_median_um,test_p95_um,test_stage_um,test_slope_mrad,test_rho,test_straight_um
w128_d8_q20_data_s1,128,8,20,data,1,4002,127444,True,147,0.0014165402905874586,5474.1,0.34088197895698613,18781.054862789428,0.3909948230216287,0.02767444464643956,1.2658110546847322e-12,11.660928643891566,0.3393977468419962,18314.710632166905,0.3861968534621951,0.02914235735120181,1.4154891619973173e-12,12.07131072872647
w128_d8_q20_data_s2,128,8,20,data,2,4002,127444,True,60,0.00430399095943065,2312.5,0.30528028373311145,21246.97507901182,0.4420110831020452,0.025601425172355752,1.0447265267077295e-12,11.660928643891566,0.3012222855502955,23820.178430207197,0.43324404681754913,0.028351587168323755,1.1307939702563296e-12,12.07131072872647
w128_d8_q20_physics_s0,128,8,20,physics,0,4002,127444,True,32,6.463660719831421e-07,1874.5,2.747390563172303,1723.2884475039316,3.056400545915494,0.08095722547479703,7.779673001153155e-11,11.660928643891566,2.6162460732166437,1747.3551409496663,3.019150373020807,0.08361225654725767,7.29705372629811e-11,12.07131072872647
w128_d8_q20_physics_s1,128,8,20,physics,1,4002,127444,True,30,5.012941377380249e-07,2130.6,0.9263339659213443,1674.493138343555,1.1231590307119177,0.08011422288126298,1.6605851661910024e-11,11.660928643891566,0.9155414609409718,1606.1403136999634,1.0567808807593337,0.0834319512756157,1.7724952076387364e-11,12.07131072872647
w128_d8_q20_physics_s2,128,8,20,physics,2,4002,127444,True,31,6.322260235205163e-07,1594.6,3.476957000103198,1799.8929409765562,3.6632273318559783,0.06999149205999619,1.2649296791840293e-10,11.660928643891566,3.3960933471348653,1696.8277158598416,3.629667919440749,0.07224347129060511,1.1533186446809366e-10,12.07131072872647
w256_d2_q02_data_s0,256,2,2,data,0,4002,70924,True,168,1.6439963351470827e-05,3570.4,0.1049360024580892,5048.915769149043,0.06887392123644531,0.24174902262144582,2.631295389063986e-12,11.660928643891566,0.10070257256700188,5233.929113849197,0.06868816553406987,0.25395413459972704,2.902841068340868e-12,12.07131072872647
w256_d2_q02_data_s1,256,2,2,data,1,4002,70924,True,175,1.4633249051056147e-05,3700.3,0.10518844972295938,5882.785021911729,0.06675799961897155,0.21381503776257432,2.2656479873745563e-12,11.660928643891566,0.11040785572902223,5716.872770088183,0.06983680107452983,0.22867843779917144,2.3524800044843494e-12,12.07131072872647
w256_d2_q02_data_s2,256,2,2,data,2,4002,70924,True,163,1.4841851801159693e-05,3465.6,0.09707948072446015,5577.558070573375,0.06328972958158374,0.2328697541562237,2.7086512092385925e-12,11.660928643891566,0.09939538843184437,5503.64722369948,0.06598598515950016,0.2343901579540998,2.836345171789859e-12,12.07131072872647
w256_d2_q02_physics_s0,256,2,2,physics,0,4002,70924,True,55,1.5351680382288925e-06,1304.2,0.7476084830528862,21213.196976814055,0.877237772400008,0.28022841887619804,1.4505060458157365e-11,11.660928643891566,0.7242846001531689,22714.634655296006,0.8576183352744238,0.2824844708431591,1.536508123061823e-11,12.07131072872647
w256_d2_q02_physics_s1,256,2,2,physics,1,4002,70924,True,47,1.6822206450237042e-06,1115.5,0.7131876761121703,20598.42746626987,0.9870883079443615,0.26629545822376766,1.4144508098036335e-11,11.660928643891566,0.7208163048630922,22424.797102037388,0.9293510854462284,0.279964287973806,1.574084249109319e-11,12.07131072872647
