width,depth,q,mode,seed,split,stratum,direction,converged,median,p95,slope,rho,straight_line,n,tag
64,8,4,physics,1,val,5-20 mm,all,True,0.2265951225979279,2.233126094402848,0.12040397028777053,1.3729574870208997e-12,1.3815279362461297,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,val,5-20 mm,forward,True,0.3128875924858221,2.9499830972554215,0.1106569330070451,2.405595526664045e-12,1.3562850019077644,1030,w64_d8_q04_physics_s1
64,8,4,physics,1,val,5-20 mm,backward,True,0.1612961484305231,1.3045165588096095,0.13152902997936103,6.662671878409419e-13,1.4107756143744155,970,w64_d8_q04_physics_s1
64,8,4,physics,1,val,50-200 mm,all,True,10.304871992317999,60.28361292332675,0.07342647026627527,1.1724096923062147e-09,129.96536147640825,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,val,50-200 mm,forward,True,18.23100823790469,76.43639750906446,0.07538392954381523,4.20234577572278e-09,124.33531501326911,989,w64_d8_q04_physics_s1
64,8,4,physics,1,val,50-200 mm,backward,True,3.95604186979881,40.9512229685447,0.07059204909015682,2.5846240083656063e-10,134.8384062812329,1011,w64_d8_q04_physics_s1
64,8,4,physics,1,val,500-2000 mm,all,True,203.34869030638458,3101.1880770617686,0.2586923776722039,5.775287046995238e-07,15408.515420144415,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,val,500-2000 mm,forward,True,199.16289529490427,3374.882299444617,0.2583008272654952,5.519543717399909e-07,16137.757478396765,975,w64_d8_q04_physics_s1
64,8,4,physics,1,val,500-2000 mm,backward,True,208.1631575760312,2898.7348689817027,0.26213509111811667,6.206752617472288e-07,14492.363104850454,1025,w64_d8_q04_physics_s1
64,8,4,physics,1,val,full crossing,all,True,3103.0709463686608,30269.05915440603,1.3356632423269859,0.00013439343618278012,418003.17999508075,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,val,full crossing,forward,True,4153.512188036075,37685.78093714918,1.400764739564131,5.538377609922352e-05,422725.11157961754,993,w64_d8_q04_physics_s1
64,8,4,physics,1,val,full crossing,backward,True,2387.8715424970665,21797.490192438287,1.2842136916720452,0.00033926476884418687,412962.7382011377,1007,w64_d8_q04_physics_s1
64,8,4,physics,1,test,all,all,True,1.3755958692911463,7223.711289468609,0.09212960223144509,2.6166786354493477e-11,12.07131072872647,12000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,all,forward,True,2.796337414835648,9223.917988658057,0.08958531290890678,8.249928021942116e-11,10.075976668844078,5968,w64_d8_q04_physics_s1
64,8,4,physics,1,test,all,backward,True,0.7763601846555446,5241.001770581926,0.09499377964095057,1.1645431894560773e-11,13.706558166376226,6032,w64_d8_q04_physics_s1
