arch,mode,q,slope_strata_0_4,slope_all_six
4x64,data,4,2.08637064622156,2.033380352050225
4x64,data,6,2.071775750185073,2.028924685008001
4x64,data,8,2.089642529369695,2.037945647061594
4x64,data,10,2.068548961844141,2.0317051400922557
4x64,data,12,2.0709458843783244,2.0163146019820326
4x64,data,14,2.040468312035527,2.0158489005799067
4x64,data,16,2.0822981127325098,2.03601229129131
4x64,data,18,2.0608420533569416,2.02165163632638
4x64,data,20,2.048370062277783,2.013960856703922
8x128,physics,2,1.794596607416101,1.7962493735397134
8x128,physics,4,1.726504631505081,1.6623564857098365
8x128,physics,6,1.8237065123734422,1.6659696065046279
8x128,physics,8,1.7655210439662024,1.6039882041178977
8x128,physics,10,1.7361946325804527,1.576785800827647
8x128,physics,12,1.8435724185710967,1.685092102320305
8x128,physics,14,1.8185223040048175,1.6633456277841152
8x128,physics,16,1.7300798729914844,1.5641221741136446
8x128,physics,18,1.7266420561402502,1.565820602702063
8x128,physics,20,1.7171917261938776,1.5580644689509076
8x128,data,2,2.054805178881944,2.0107649604703184
8x128,data,4,2.0695020600259593,2.014352915013523
8x128,data,6,2.0321791905655293,1.9805887816991343
8x128,data,8,2.0624368197482346,2.0032415484494264
8x128,data,10,2.0557175457727674,2.007642912544212
8x128,data,12,2.0833846155299396,2.026904016597601
8x128,data,14,2.0512901291695997,1.9964417154120337
8x128,data,16,2.057251065215934,2.0108667891680776
8x128,data,18,2.0778912137758576,2.014285783982299
8x128,data,20,2.0726858197341147,2.025296484617489
8x256,physics,2,1.8229808063014508,1.8249869916209835
8x256,physics,4,1.7363097432195196,1.673548286613721
8x256,physics,6,1.7624296876168886,1.6138755300208378
8x256,physics,8,1.7498040313584355,1.5913904771136482
8x256,physics,10,1.7848647603455838,1.6367147639023474
8x256,physics,12,1.7797517344828155,1.6128460826666873
8x256,physics,14,1.8014977466250168,1.6328283803129535
8x256,physics,16,1.7294993495537458,1.5726339415550357
8x256,physics,18,1.7714099303191777,1.595631168948511
8x256,physics,20,1.7582170707632454,1.594580853496624
8x256,data,2,2.0493567408920916,1.997048601257577
8x256,data,4,2.061024477966083,2.0007607926751967
8x256,data,6,2.04838459672485,2.0004143016930134
8x256,data,8,2.0694767220426753,2.0121793471023692
8x256,data,10,2.067601161131568,2.01200105611419
8x256,data,12,2.060937326865744,1.9968829559472308
8x256,data,14,2.0462169974880435,2.00707702863216
8x256,data,16,2.0429377261583275,2.0011624613872816
8x256,data,18,2.04516974334036,2.0017465827286705
8x256,data,20,2.0951520749491688,2.034020312097767
8x32,physics,2,1.760883651943096,1.7804487033493928
8x32,physics,4,1.7472262446874478,1.6904576979012664
8x32,physics,6,1.7404542121258781,1.6199449905538796
8x32,physics,8,1.7871923791557656,1.6450901337534316
8x32,physics,10,1.7618803398594272,1.6177526157685675
8x32,physics,12,1.7385253122210915,1.5987887284328353
8x32,physics,14,1.7816414293889988,1.6424796562480735
8x32,physics,16,1.7218003109319866,1.5825341023433732
8x32,physics,18,1.8000877113353204,1.6638253689358213
8x32,physics,20,1.8077003499107862,1.6499282675567368
8x32,data,2,2.1035298945482217,2.0439300572045815
8x32,data,4,2.099964725632888,2.0381333374515807
8x32,data,6,2.1015200236718536,2.0481835952507366
8x32,data,8,2.1150732078293886,2.0648936280587216
8x32,data,10,2.0913559563527575,2.0458267166239428
8x32,data,12,2.0936119934435653,2.034177133102184
8x32,data,14,2.0920501173556065,2.0492752765924522
8x32,data,16,2.0887974841143784,2.037750591805376
8x32,data,18,2.085809120530857,2.0395670499590652
8x32,data,20,2.109668347549661,2.0570014996071584
8x64,physics,2,1.7406180665130422,1.758170490608096
8x64,physics,4,1.713777166622243,1.6722934807588061
8x64,physics,6,1.7698814765393491,1.6238638180459457
8x64,physics,8,1.8123777083029227,1.66871279623082
8x64,physics,10,1.707772799068501,1.568906572622228
8x64,physics,12,1.7140846172406903,1.5659882800331555
8x64,physics,14,1.8090554043090286,1.6560152885432733
8x64,physics,16,1.7669346876581498,1.6307103349473195
8x64,physics,18,1.7471626225672454,1.6055368417835625
8x64,physics,20,1.8222460434142456,1.6631097453241206
8x64,data,2,2.071856714791873,2.0133984633503776
8x64,data,4,2.1120003720949088,2.0534800474258237
8x64,data,6,2.0856068387797424,2.0145179098561363
8x64,data,8,2.074302411938994,2.023293919290566
8x64,data,10,2.1051549728504013,2.0449682259535837
8x64,data,12,2.0900717914980236,2.027096781772202
8x64,data,14,2.0802075980286965,2.015934740184558
8x64,data,16,2.093202752591413,2.046432258907841
8x64,data,18,2.092398190305711,2.0342463140396267
8x64,data,20,2.0763460837982284,2.0192976403894622
