tag,width,depth,q,mode,seed,wall_s,host,created
w128_d4_q14_data_s1,128,4,14,data,1,621.6,wn-lot-038.nikhef.nl,2026-09-08 13:37:24
w128_d4_q14_data_s2,128,4,14,data,2,632.8,wn-lot-049.nikhef.nl,2026-09-08 13:37:36
w128_d4_q14_physics_s0,128,4,14,physics,0,603.9,wn-lot-046.nikhef.nl,2026-09-08 13:37:06
w128_d4_q14_physics_s1,128,4,14,physics,1,611.8,wn-lot-055.nikhef.nl,2026-09-08 13:37:13
w128_d4_q14_physics_s2,128,4,14,physics,2,614.4,wn-lot-059.nikhef.nl,2026-09-08 13:37:16
w128_d4_q16_data_s0,128,4,16,data,0,626.2,wn-lot-059.nikhef.nl,2026-09-08 13:37:31
w128_d4_q16_data_s1,128,4,16,data,1,626.1,wn-lot-037.nikhef.nl,2026-09-08 13:37:32
w128_d4_q16_data_s2,128,4,16,data,2,553.5,wn-lot-061.nikhef.nl,2026-09-08 13:36:26
w128_d4_q16_physics_s0,128,4,16,physics,0,620.9,wn-lot-045.nikhef.nl,2026-09-08 13:37:22
w128_d4_q16_physics_s1,128,4,16,physics,1,626.2,wn-lot-045.nikhef.nl,2026-09-08 13:37:30
w128_d4_q16_physics_s2,128,4,16,physics,2,622.1,wn-lot-049.nikhef.nl,2026-09-08 13:37:26
w128_d4_q18_data_s0,128,4,18,data,0,583.1,wn-lot-050.nikhef.nl,2026-09-08 13:37:17
w128_d4_q18_data_s1,128,4,18,data,1,593.4,wn-knek-007.nikhef.nl,2026-09-08 13:37:30
w128_d4_q18_data_s2,128,4,18,data,2,629.6,wn-lot-053.nikhef.nl,2026-09-08 13:38:07
w128_d4_q18_physics_s0,128,4,18,physics,0,584.8,wn-knek-014.nikhef.nl,2026-09-08 13:37:16
w128_d4_q18_physics_s1,128,4,18,physics,1,594.3,wn-knek-015.nikhef.nl,2026-09-08 13:37:27
w128_d4_q18_physics_s2,128,4,18,physics,2,637.6,wn-lot-038.nikhef.nl,2026-09-08 13:38:11
w128_d4_q20_data_s0,128,4,20,data,0,638.4,wn-lot-049.nikhef.nl,2026-09-08 13:38:16
w128_d4_q20_data_s1,128,4,20,data,1,622.9,wn-lot-045.nikhef.nl,2026-09-08 13:38:03
w128_d4_q20_data_s2,128,4,20,data,2,620.3,wn-lot-044.nikhef.nl,2026-09-08 13:38:02
w128_d4_q20_physics_s0,128,4,20,physics,0,601.7,wn-knek-013.nikhef.nl,2026-09-08 13:37:39
w128_d4_q20_physics_s1,128,4,20,physics,1,603.4,wn-knek-017.nikhef.nl,2026-09-08 13:37:42
w128_d4_q20_physics_s2,128,4,20,physics,2,631.5,wn-lot-059.nikhef.nl,2026-09-08 13:38:09
w128_d8_q02_data_s0,128,8,2,data,0,885.1,wn-knek-008.nikhef.nl,2026-09-08 13:42:28
w128_d8_q02_data_s1,128,8,2,data,1,895.6,wn-lot-045.nikhef.nl,2026-09-08 13:42:37
w128_d8_q02_data_s2,128,8,2,data,2,879.9,wn-knek-013.nikhef.nl,2026-09-08 13:42:23
w128_d8_q02_physics_s0,128,8,2,physics,0,924.9,wn-lot-055.nikhef.nl,2026-09-08 13:43:06
w128_d8_q02_physics_s1,128,8,2,physics,1,906.6,wn-lot-059.nikhef.nl,2026-09-08 13:42:47
w128_d8_q02_physics_s2,128,8,2,physics,2,904.6,wn-lot-046.nikhef.nl,2026-09-08 13:42:46
w128_d8_q04_data_s0,128,8,4,data,0,928.6,wn-lot-038.nikhef.nl,2026-09-08 13:43:12
w128_d8_q04_data_s1,128,8,4,data,1,917.8,wn-lot-044.nikhef.nl,2026-09-08 13:43:01
w128_d8_q04_data_s2,128,8,4,data,2,921.4,wn-lot-048.nikhef.nl,2026-09-08 13:43:06
w128_d8_q04_physics_s0,128,8,4,physics,0,895.8,wn-knek-017.nikhef.nl,2026-09-08 13:42:39
w128_d8_q04_physics_s1,128,8,4,physics,1,1023.5,wn-lot-003.nikhef.nl,2026-09-08 13:44:48
w128_d8_q04_physics_s2,128,8,4,physics,2,906.3,wn-lot-047.nikhef.nl,2026-09-08 13:42:51
w128_d8_q06_data_s0,128,8,6,data,0,960.5,wn-lot-064.nikhef.nl,2026-09-08 13:43:47
w128_d8_q06_data_s1,128,8,6,data,1,936.4,wn-lot-055.nikhef.nl,2026-09-08 13:43:22
w128_d8_q06_data_s2,128,8,6,data,2,925.8,wn-lot-044.nikhef.nl,2026-09-08 13:43:12
w128_d8_q06_physics_s0,128,8,6,physics,0,903.9,wn-lot-045.nikhef.nl,2026-09-08 13:42:48
w128_d8_q06_physics_s1,128,8,6,physics,1,904.4,wn-knek-013.nikhef.nl,2026-09-08 13:42:50
w128_d8_q06_physics_s2,128,8,6,physics,2,916.8,wn-lot-047.nikhef.nl,2026-09-08 13:43:02
w128_d8_q08_data_s0,128,8,8,data,0,916.5,wn-lot-051.nikhef.nl,2026-09-08 13:43:06
w128_d8_q08_data_s1,128,8,8,data,1,904,wn-lot-051.nikhef.nl,2026-09-08 13:42:54
w128_d8_q08_data_s2,128,8,8,data,2,950.7,wn-lot-057.nikhef.nl,2026-09-08 13:43:40
w128_d8_q08_physics_s0,128,8,8,physics,0,949.2,wn-lot-057.nikhef.nl,2026-09-08 13:43:36
w128_d8_q08_physics_s1,128,8,8,physics,1,928.5,wn-lot-059.nikhef.nl,2026-09-08 13:43:16
w128_d8_q08_physics_s2,128,8,8,physics,2,934.9,wn-lot-057.nikhef.nl,2026-09-08 13:43:22
