arch,mode,column,component,unit,median_abs,p95_abs,bias_over_rms,bias_over_median,p95_over_median,n_cells
2x32,data,0.1 mm,ty,mrad,0.486455,11.7965,0.0265841,0.369982,24.3076,30
2x32,data,0.1 mm,x,um,18645.6,528936,0.0951747,1.57972,23.9991,30
2x32,data,0.1 mm,y,um,1702.44,41745.7,0.0435364,0.688246,24.9495,30
2x32,data,1 mm,max_xy,um,8749.01,139021,nan,nan,15.8246,30
2x32,data,1 mm,tx,mrad,2.94518,48.5268,0.056355,0.892694,16.9833,30
2x32,data,1 mm,ty,mrad,0.392799,11.4131,0.0333129,0.486082,29.1173,30
2x32,data,1 mm,x,um,7888.39,136828,0.0542448,0.830834,17.3043,30
2x32,data,1 mm,y,um,1551.57,42618.6,0.0234159,0.375198,27.4606,30
2x32,data,10 mm,max_xy,um,8224.99,129265,nan,nan,15.5192,30
2x32,data,10 mm,tx,mrad,2.74117,46.9502,0.0406522,0.37562,17.5529,30
2x32,data,10 mm,ty,mrad,0.39248,11.5449,0.0356983,0.808919,29.4861,30
2x32,data,10 mm,x,um,7122.41,125574,0.0672958,0.78524,16.8875,30
2x32,data,10 mm,y,um,1545.62,42511.5,0.0246776,0.381091,27.7559,30
2x32,data,100 mm,max_xy,um,8144.95,135002,nan,nan,16.3661,30
2x32,data,100 mm,tx,mrad,2.74374,47.2587,0.032777,0.268655,17.3595,30
2x32,data,100 mm,ty,mrad,0.397117,11.31,0.0434511,0.650595,28.3925,30
2x32,data,100 mm,x,um,7402.29,132802,0.0495843,0.595353,17.8622,30
2x32,data,100 mm,y,um,1582.3,41947.1,0.01661,0.250097,26.6266,30
2x32,data,1000 mm,max_xy,um,8132.93,139836,nan,nan,17.0091,30
2x32,data,1000 mm,tx,mrad,2.70182,49.2911,0.0405426,0.665992,17.9138,30
2x32,data,1000 mm,ty,mrad,0.391072,12.1614,0.035509,0.77615,30.9672,30
2x32,data,1000 mm,x,um,7361.05,138560,0.0543909,0.668159,18.6938,30
2x32,data,1000 mm,y,um,1578.69,42955.4,0.0231036,0.354071,27.2418,30
2x32,data,full crossing,max_xy,um,10324.5,125620,nan,nan,12.3897,30
2x32,data,full crossing,tx,mrad,2.62169,48.0936,0.029747,1.05197,18.0629,30
2x32,data,full crossing,ty,mrad,0.378334,11.5257,0.030997,0.956771,29.9007,30
2x32,data,full crossing,x,um,9352.49,124520,0.0476149,0.52917,13.5963,30
2x32,data,full crossing,y,um,1538.24,42809.8,0.024477,0.587512,27.6289,30
2x32,physics,0.1 mm,max_xy,um,365712,1.20806e+06,nan,nan,3.51362,30
2x32,physics,0.1 mm,tx,mrad,124.02,459.674,0.0522716,0.0965231,3.72489,30
2x32,physics,0.1 mm,ty,mrad,2.39114,23.4779,0.14958,0.782006,10.7513,30
2x32,physics,0.1 mm,x,um,365712,1.20806e+06,0.156885,0.25963,3.51362,30
2x32,physics,0.1 mm,y,um,6393.26,69943.1,0.106687,0.521151,11.3274,30
2x32,physics,1 mm,max_xy,um,355014,1.24992e+06,nan,nan,3.55764,30
2x32,physics,1 mm,tx,mrad,121.091,460.564,0.0507998,0.092609,3.7735,30
2x32,physics,1 mm,ty,mrad,2.31449,23.5034,0.161628,0.843434,11.0091,30
2x32,physics,1 mm,x,um,355014,1.24992e+06,0.199046,0.303551,3.55764,30
2x32,physics,1 mm,y,um,6400.34,68923.6,0.129403,0.600215,11.6903,30
2x32,physics,10 mm,max_xy,um,303402,1.06968e+06,nan,nan,3.70827,30
2x32,physics,10 mm,tx,mrad,106.108,426.798,0.0461132,0.0897898,4.1099,30
2x32,physics,10 mm,ty,mrad,2.18788,22.0837,0.132768,0.583266,10.5206,30
2x32,physics,10 mm,x,um,303402,1.06968e+06,0.216184,0.305541,3.70827,30
2x32,physics,10 mm,y,um,5924.63,65208.7,0.114625,0.580643,11.3746,30
2x32,physics,100 mm,max_xy,um,46109.4,152562,nan,nan,3.52543,30
2x32,physics,100 mm,tx,mrad,16.6382,49.2864,0.0479765,0.144186,3.59176,30
2x32,physics,100 mm,ty,mrad,1.62055,12.6249,0.0782777,0.351617,7.96957,30
2x32,physics,100 mm,x,um,45041.2,152246,0.112468,0.343944,3.58909,30
