example,evt,mckey,N,q,plane,z_mm,dx_um,dy_um,dtx_mrad,dty_mrad
p25,0,7004,128,7,36,4104.45625,-107.31581123667411,44.16673926854742,0.18141899943382306,0.10680656359440821
p25,0,7004,128,7,37,4144.9078125,-108.09636879551476,47.96588780394018,0.19836296464304826,0.10853942919668638
p25,0,7004,128,7,38,4185.359375,-108.86479482667255,51.82073124515796,0.21561936317877028,0.11080645625703364
p25,0,7004,128,7,39,4225.8109375,-108.56374364232124,55.938080526317435,0.2329756673754707,0.11429749309611534
p25,0,7004,128,7,40,4266.2625,-108.41815087414375,60.23736081992581,0.25111411289299723,0.11626914549450404
p25,0,7004,128,7,41,4306.7140625,-107.66206560319347,65.1669162325419,0.2687740302113068,0.11633904324106006
p25,0,7004,128,7,42,4347.165625,-106.02357544138385,70.16627470390802,0.286693936331274,0.11709336598357892
p25,0,7004,128,7,43,4387.6171875,-103.5068660449383,75.35760262996405,0.3050543303862556,0.11862135286409489
p25,0,7004,128,7,44,4428.06875,-99.92261947681413,80.8555444090473,0.32414592821021493,0.12142858620846006
p25,0,7004,128,7,45,4468.5203125,-96.51035502517402,86.342078963213,0.3439044447181225,0.12295243011707993
p25,0,7004,128,7,46,4508.971875,-92.3076410006729,91.95010713176544,0.36489821550595053,0.12421130854456744
p25,0,7004,128,7,47,4549.4234375,-87.7790506330598,97.52561394068948,0.3852946877554867,0.12529250626597266
p25,0,7004,128,7,48,4589.875,-81.41743910545074,103.57156173779458,0.409398842983931,0.1268425222688309
p25,0,7004,128,7,49,4630.3265625,-74.68720947591123,109.66140355488108,0.43361965314520773,0.12821080890029063
p25,0,7004,128,7,50,4670.778125,-67.87880550547243,115.62448715760354,0.4552931573803404,0.13011983357034615
p25,0,7004,128,7,51,4711.229687499999,-60.137724669090176,121.69247796323646,0.47375383980729874,0.13233825967831278
p25,0,7004,128,7,52,4751.68125,-49.70952705721743,127.97729008899239,0.49472468644310874,0.1343286357749357
p25,0,7004,128,7,53,4792.1328125,-39.67183947463582,134.570146696106,0.5153528240968458,0.13609239118985914
p25,0,7004,128,7,54,4832.584375,-29.379190295713897,141.07078816557816,0.5337565837900335,0.13708397358377228
p25,0,7004,128,7,55,4873.0359375,-18.831117743189907,147.34964109779014,0.5505693557099332,0.13768331801994327
p25,0,7004,128,7,56,4913.487499999999,-6.819656754402104,153.942958896522,0.5689549113267005,0.13761591609822224
p25,0,7004,128,7,57,4953.9390625,5.775272731852965,160.3946965246621,0.5854705367412337,0.13769477991460236
p25,0,7004,128,7,58,4994.390625,18.400053098929448,166.36730516486864,0.601506960732798,0.13857544695854151
p25,0,7004,128,7,59,5034.8421875,32.34090608856377,172.39834444902158,0.6188167668919912,0.14022489351925294
p25,0,7004,128,7,60,5075.29375,47.07014982210467,178.61333365638643,0.6356914513846534,0.14238635042782347
p25,0,7004,128,7,61,5115.745312499999,62.37235605860292,184.86780677011438,0.6497829472263718,0.1448152023650548
p25,0,7004,128,7,62,5156.196875,78.24404069415891,191.0193683659429,0.6647352517532802,0.14756120710531298
p25,0,7004,128,7,63,5196.6484375,95.45288046382439,197.47593217402937,0.6815960026535055,0.14964606884780574
p25,0,7004,128,7,64,5237.1,113.1484616271905,203.98533695731658,0.6969433074614818,0.15136533036737287
p25,0,7004,128,7,65,5277.5515625,131.17459272626775,210.36519209221183,0.712361792426685,0.1526322158801885
p25,0,7004,128,7,66,5318.003124999999,149.01158873001918,216.5839746578797,0.7283729505781766,0.1539460771290864
p25,0,7004,128,7,67,5358.4546875,167.57540936660575,222.88833039715428,0.7458171937838823,0.15525390425862387
p25,0,7004,128,7,68,5398.90625,187.38209102761516,229.35899117698,0.7623083015177862,0.1567019767050662
p25,0,7004,128,7,69,5439.3578125,208.09878897003387,236.0255582202342,0.7801174832566729,0.15773555491292723
p25,0,7004,128,7,70,5479.809375,231.86710236112162,243.2652340061452,0.7993103607348389,0.15803991833588174
p25,0,7004,128,7,71,5520.260937499999,254.86414728626983,250.0409647781794,0.8159077475658489,0.15899128763979808
p25,0,7004,128,7,72,5560.7125,277.85157284620254,256.35071426938794,0.8343641049536159,0.16003774378017116
p25,0,7004,128,7,73,5601.1640625,301.11224343468734,262.7524567468811,0.8536592547547586,0.16076860819307787
p25,0,7004,128,7,74,5641.615625,326.559391062176,269.42303726059436,0.8724642849948262,0.16137825510587414
p25,0,7004,128,7,75,5682.0671875,351.7721967484704,275.6901240980767,0.8916303838650483,0.16231273285852513
p25,0,7004,128,7,76,5722.518749999999,378.9859016143282,282.5717188993053,0.9105831807350896,0.161943527944821
p25,0,7004,128,7,77,5762.9703125,406.98927889738457,289.40850359603587,0.9294104014037698,0.1614337703509279
p25,0,7004,128,7,78,5803.421875,435.0749967702541,295.9761500701745,0.9486957058976002,0.16128758842225144
p25,0,7004,128,7,79,5843.8734375,464.77721484319545,302.63246077927874,0.9685757376036337,0.16136885871825477
p25,0,7004,128,7,80,5884.325,495.63425089823454,309.5098238378,0.9887640337749443,0.16164783701425392
p25,0,7004,128,7,81,5924.776562499999,527.2949594879321,316.13804933513734,1.0091804334525258,0.16214919876434558
p25,0,7004,128,7,82,5965.228125,559.0662946014504,322.4605098261861,1.0301060394535995,0.16306673959435788
p25,0,7004,128,7,83,6005.6796875,591.7543645148555,328.7507438896853,1.050413189455708,0.16414097355523655
p25,0,7004,128,7,84,6046.13125,624.969509812118,334.89097648907773,1.0718283879600081,0.16506748999120177
p25,0,7004,128,7,85,6086.5828125,658.9706785671581,340.7741037331107,1.0935911394987925,0.16577838066367256
p25,0,7004,128,7,86,6127.034374999999,694.7654675382324,347.1237265542584,1.1146671299491726,0.16677686379589982
p25,0,7004,128,7,87,6167.4859375,731.3008532886158,353.4752216678214,1.1352496331590924,0.16713829446602518
p25,0,7004,128,7,88,6207.9375,768.8788466375343,359.6331645253201,1.157409506955337,0.16728333471356313
p25,0,7004,128,7,89,6248.3890625,807.0942444733902,365.8099045347285,1.1797162515891495,0.16721944276373163
p25,0,7004,128,7,90,6288.840625,847.8339580839815,372.5883084902648,1.2003685019951644,0.16752982704709013
p25,0,7004,128,7,91,6329.292187499999,887.9071232797315,378.7673280058357,1.222582064078794,0.16732032023297413
p25,0,7004,128,7,92,6369.74375,931.0042317516007,385.6738760057681,1.242105794683087,0.16805399928045833
p25,0,7004,128,7,93,6410.1953125,972.25611966212,391.3165741216744,1.2624161407552155,0.166253676763619
p25,0,7004,128,7,94,6450.646875,1015.0702588402112,397.19944696011567,1.2839335367798368,0.165525325412922
p25,0,7004,128,7,95,6491.0984375,1058.4610429364432,402.84273726007314,1.3041482210011945,0.1639204607762658
p25,0,7004,128,7,96,6531.55,1103.0676111783464,408.4408872330698,1.3264248941981318,0.16274892150703116
p25,0,7004,128,7,97,6572.0015625,1150.3315331017488,414.939192074371,1.3458480337693244,0.16344607717937512
p25,0,7004,128,7,98,6612.453125,1196.6252284354227,420.5243288910765,1.362492967587975,0.1610168714895957
p25,0,7004,128,7,99,6652.9046875,1243.7895242595403,426.0652735935082,1.3784031858956185,0.15913492535283083
p25,0,7004,128,7,100,6693.35625,1291.7065379412804,431.6859113829423,1.3925602076421821,0.15726719798072122
p25,0,7004,128,7,101,6733.8078125,1340.8357402425536,437.5214441355979,1.4126186652804602,0.15881397401152839
p25,0,7004,128,7,102,6774.259375,1392.2100977585642,444.38351181059943,1.4285998013509604,0.16200341560597756
p25,0,7004,128,7,103,6814.7109375,1442.888167928544,450.4938760159405,1.447945088582661,0.16583082438756044
p25,0,7004,128,7,104,6855.1625,1494.5325328101403,456.82308921780646,1.4673395682285804,0.16943310860192962
p25,0,7004,128,7,105,6895.6140625,1547.17676804907,463.56683535520915,1.4853301236275458,0.17366457171028374
p25,0,7004,128,7,106,6936.065625,1600.4835904112724,470.34677849561035,1.5037090785796903,0.17743335027027227
p25,0,7004,128,7,107,6976.5171875,1654.1717331212594,477.2362103727801,1.519720288993144,0.181470853125653
p25,0,7004,128,7,108,7016.96875,1709.0886383782758,484.5297580047543,1.5359864747480911,0.18487613822426585
p25,0,7004,128,7,109,7057.4203125,1764.4587246796561,491.80223550197866,1.5506051408034072,0.18863970571600733
p25,0,7004,128,7,110,7097.871875,1820.3472242340554,499.17209817209596,1.562228518445799,0.1930150963941786
p25,0,7004,128,7,111,7138.3234375,1876.967810653227,506.71492766133497,1.5722991315237842,0.19783411763613784
p25,0,7004,128,7,112,7178.775,1933.9897843579195,514.5544789834844,1.5814774330877024,0.2025566474525356
p25,0,7004,128,7,113,7219.2265625,1991.6090562493168,522.667065662688,1.5901236109645902,0.20702346344159475
p25,0,7004,128,7,114,7259.678125,2050.244970255193,531.2750771861658,1.5979493916423795,0.2095978865402047
p25,0,7004,128,7,115,7300.1296875,2108.857568119717,539.8814365138662,1.6048271650643402,0.2135138218871263
p25,0,7004,128,7,116,7340.58125,2167.6930172126986,548.5818053529954,1.6081048910039017,0.21872853697157968
p25,0,7004,128,7,117,7381.0328125,2226.9868498060105,557.6010306252783,1.611362968305191,0.2236575352242698
p25,0,7004,128,7,118,7421.484375,2286.4912807188202,566.9766929796651,1.612221558441547,0.22957173234678177
p25,0,7004,128,7,119,7461.9359375,2346.168579037084,576.6067166785547,1.609724959044434,0.23571180093428373
