N,q,variable,lo,hi,n,pos_med_um,pos_p90_um,dx_med_um,dy_med_um,dtx_med_mrad,dty_med_mrad
4,5,p_gev,2,5,500,425.98561773513666,1735.6290214296916,345.5380411753986,191.37958433762492,0.17757578611157787,0.07701806090077995
4,5,p_gev,5,10,430,190.78604158431745,772.7827811548991,170.01947840503817,104.52245316506037,0.08870983090694673,0.03242020711946656
4,5,p_gev,10,25,383,131.19036644121707,297.41134042674855,113.4580798371303,64.70753754405223,0.13222262045266275,0.020481552529951624
4,5,p_gev,25,200,134,177.2081549979436,3128.670290837585,170.53517403675755,35.77193508829879,0.2870499579819812,0.02640053447560374
4,5,eta,2,2.5,158,1346.6802899379218,6243.958371862739,792.0150760950264,977.8713467743501,0.3679277608017312,0.3171250632445083
4,5,eta,2.5,3,255,452.6321492697889,1083.571380249407,356.6816924485465,252.98616052498346,0.13651541520959265,0.09932224950745527
4,5,eta,3,3.5,292,245.68385997986297,571.484448666888,209.1259136601593,124.33916173523585,0.1276460287311966,0.04290671350658942
4,5,eta,3.5,4,302,162.94029735615823,371.3159096655205,149.68558295828416,82.62974428451741,0.12586723159353774,0.026618233686791226
4,5,eta,4,4.5,249,148.90497439654382,396.1936735234223,139.35467696757087,54.04686620701682,0.13022080142456594,0.023094269674547863
4,5,eta,4.5,5,196,126.47628269661482,266.9178615241776,113.83785661929657,32.49137724187534,0.14723319035586657,0.017489939984649018
4,5,r1_mm,0,150,21,154.0749354224067,3219.475335057325,137.58008476688843,29.985111388199925,0.20681888832295436,0.028417077397549506
4,5,r1_mm,150,300,267,140.44218308552558,524.9494980379154,124.09088354007736,55.30379048934897,0.17159525381742202,0.019707402925779865
4,5,r1_mm,300,600,398,160.7093429656885,415.0674329124344,149.17894871578596,64.91992043352468,0.1333756854887888,0.021709665916312508
4,5,r1_mm,600,1000,336,221.38704219554484,701.8954275004887,184.65462836786628,124.02266996212674,0.10443791554792803,0.04863176677219472
4,5,r1_mm,1000,1500,264,413.2920669004534,1421.496755712906,310.5529672351963,184.62542611359822,0.12791370227271948,0.079388170127365
4,5,r1_mm,1500,4000,166,870.9425837644176,3532.385861417566,718.2345811286268,447.59380263519336,0.26973173630556735,0.18764680727232502
4,5,abs_x1_mm,0,150,217,181.25756332196374,1384.161954214824,168.50747113372222,68.13689991761862,0.17669349770686044,0.02846655456033298
