tag,width,depth,q,mode,seed,stratum,direction,component,unit,median_abs,p95_abs,mean,rms,n
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,forward,max_xy,um,365.448,5550.29,1405.87,3870.55,988
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,backward,x,um,215.979,4071.04,-99.6366,2266.25,1012
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,backward,y,um,105.579,1730.65,75.8139,1365.26,1012
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,backward,tx,mrad,0.769917,14.1255,-0.858852,10.7274,1012
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,backward,ty,mrad,0.227633,3.99822,-0.0969677,2.18662,1012
w128_d2_q02_data_s0,128,2,2,data,0,500-2000 mm,backward,max_xy,um,293.426,4631.73,1056.54,2519.66,1012
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,x,um,2648.15,40633,503.115,20939.9,2000
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,y,um,1289.73,22984.2,-187.639,11548.8,2000
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,tx,mrad,0.886178,19.7951,0.483156,15.2575,2000
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,ty,mrad,0.613215,9.35504,-0.247109,5.23277,2000
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,max_xy,um,3464.24,45665.6,10333,22201.2,2000
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,x,um,3307.42,38759.1,1326.88,21215.5,1001
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,y,um,1209.07,20382.9,387.22,9890.04,1001
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,tx,mrad,0.825352,17.7313,1.17391,9.55731,1001
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,ty,mrad,0.701144,9.674,-0.25882,4.57827,1001
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,max_xy,um,4129.43,42603.1,10307.2,22203,1001
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,x,um,2211.75,42087.8,-322.3,20660.1,999
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,y,um,1395.41,25239.1,-763.648,13000.3,999
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,tx,mrad,0.9778,23.8361,-0.208976,19.3526,999
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,ty,mrad,0.531561,9.09917,-0.235375,5.81516,999
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,max_xy,um,2954.55,49899.7,10358.8,22199.5,999
w128_d2_q02_data_s1,128,2,2,data,1,all,all,x,um,0.117161,7576.53,-3.16799,9441.57,12000
w128_d2_q02_data_s1,128,2,2,data,1,all,all,y,um,0.0821771,4375.91,91.3217,4814.27,12000
w128_d2_q02_data_s1,128,2,2,data,1,all,all,tx,mrad,0.118325,6.31754,0.0933837,4.9971,12000
w128_d2_q02_data_s1,128,2,2,data,1,all,all,ty,mrad,0.00761339,2.54279,-0.0450877,1.94172,12000
w128_d2_q02_data_s1,128,2,2,data,1,all,all,max_xy,um,0.181451,9609.15,2083,9881.86,12000
w128_d2_q02_data_s1,128,2,2,data,1,all,forward,x,um,0.10519,7939.37,51.7533,8421.54,5968
w128_d2_q02_data_s1,128,2,2,data,1,all,forward,y,um,0.0679207,4178.15,23.9504,4109.01,5968
w128_d2_q02_data_s1,128,2,2,data,1,all,forward,tx,mrad,0.0820604,6.33072,-0.0673898,5.10784,5968
w128_d2_q02_data_s1,128,2,2,data,1,all,forward,ty,mrad,0.00580458,2.67534,0.0339777,1.92886,5968
w128_d2_q02_data_s1,128,2,2,data,1,all,forward,max_xy,um,0.154957,9908.38,2002.61,8841.99,5968
w128_d2_q02_data_s1,128,2,2,data,1,all,backward,x,um,0.126345,7209.52,-57.5066,10352.3,6032
w128_d2_q02_data_s1,128,2,2,data,1,all,backward,y,um,0.10101,4569.01,157.978,5422.53,6032
w128_d2_q02_data_s1,128,2,2,data,1,all,backward,tx,mrad,0.159783,6.2772,0.252451,4.88506,6032
