predictor,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n
straight line,0.1 mm,forward,ty,hit,mrad,0.643795,11.5898,-0.166689,5.71864,250
straight line,0.1 mm,forward,max_xy,hit,um,494153,1.2554e+06,555346,668051,250
material floor,0.1 mm,forward,x,fine,um,1316.77,13724.4,-972.329,5755.68,250
material floor,0.1 mm,forward,y,fine,um,953.94,5101.47,192.829,5773.42,250
material floor,0.1 mm,forward,tx,fine,mrad,0.394704,4.45097,-0.331272,2.10109,250
material floor,0.1 mm,forward,ty,fine,mrad,0.267946,1.42019,0.0707625,1.34337,250
material floor,0.1 mm,forward,max_xy,fine,um,2165.99,15151.6,4035.73,7914.5,250
reference floor,0.1 mm,forward,x,fine,um,5e-05,nan,nan,nan,250
reference floor,0.1 mm,forward,y,fine,um,5e-05,nan,nan,nan,250
reference floor,0.1 mm,forward,tx,fine,mrad,nan,nan,nan,nan,250
reference floor,0.1 mm,forward,ty,fine,mrad,nan,nan,nan,nan,250
reference floor,0.1 mm,forward,max_xy,fine,um,5e-05,nan,nan,nan,250
straight line,0.1 mm,backward,x,fine,um,483781,1.2911e+06,78584.1,675982,250
straight line,0.1 mm,backward,y,fine,um,2323.17,58180.3,1305.99,23823.4,250
straight line,0.1 mm,backward,tx,fine,mrad,188.371,492.452,-29.9444,259.081,250
straight line,0.1 mm,backward,ty,fine,mrad,0.41887,10.5488,-0.148867,4.95985,250
straight line,0.1 mm,backward,max_xy,fine,um,483781,1.2911e+06,558203,675982,250
straight line,0.1 mm,backward,x,hit,um,484659,1.2958e+06,78913.4,678666,250
straight line,0.1 mm,backward,y,hit,um,2573.11,60427,1198.46,24449.5,250
straight line,0.1 mm,backward,tx,hit,mrad,189.601,494.874,-30.1235,260.26,250
straight line,0.1 mm,backward,ty,hit,mrad,0.655972,10.8682,-0.159076,5.17219,250
straight line,0.1 mm,backward,max_xy,hit,um,484659,1.2958e+06,559857,678666,250
material floor,0.1 mm,backward,x,fine,um,887.946,8347.81,-329.308,3949.21,250
material floor,0.1 mm,backward,y,fine,um,653.377,3367.49,107.533,2089.35,250
material floor,0.1 mm,backward,tx,fine,mrad,0.427172,3.50218,0.179131,1.60206,250
material floor,0.1 mm,backward,ty,fine,mrad,0.276157,1.3771,0.0102092,0.656773,250
material floor,0.1 mm,backward,max_xy,fine,um,1471.61,8755.58,2600.6,4253.69,250
reference floor,0.1 mm,backward,x,fine,um,5e-05,nan,nan,nan,250
reference floor,0.1 mm,backward,y,fine,um,5e-05,nan,nan,nan,250
reference floor,0.1 mm,backward,tx,fine,mrad,nan,nan,nan,nan,250
reference floor,0.1 mm,backward,ty,fine,mrad,nan,nan,nan,nan,250
reference floor,0.1 mm,backward,max_xy,fine,um,5e-05,nan,nan,nan,250
straight line,1 mm,all,x,fine,um,478269,1.29688e+06,109271,675242,1000
straight line,1 mm,all,y,fine,um,1405.47,42085.8,-442.547,18287.7,1000
straight line,1 mm,all,tx,fine,mrad,182.566,501.259,1.17565,260.78,1000
straight line,1 mm,all,ty,fine,mrad,0.328148,10.4892,-0.0688248,4.90997,1000
straight line,1 mm,all,max_xy,fine,um,478269,1.29688e+06,558059,675242,1000
straight line,1 mm,all,x,hit,um,479672,1.30401e+06,109912,678584,1000
straight line,1 mm,all,y,hit,um,2256.21,42200.3,-424.886,19353.3,1000
straight line,1 mm,all,tx,hit,mrad,184.508,504.182,1.23932,262.139,1000
straight line,1 mm,all,ty,hit,mrad,0.639766,11.911,-0.0986291,5.29995,1000
straight line,1 mm,all,max_xy,hit,um,479672,1.30401e+06,560273,678584,1000
material floor,1 mm,all,x,fine,um,1113.76,11519.8,-641.535,4930.75,1000
material floor,1 mm,all,y,fine,um,745.22,4288.08,-17.6615,5433.59,1000
material floor,1 mm,all,tx,fine,mrad,0.398619,4.19693,-0.0636728,1.89889,1000
material floor,1 mm,all,ty,fine,mrad,0.262402,1.40487,0.0298043,1.6688,1000
material floor,1 mm,all,max_xy,fine,um,1643.26,12172.4,3382.84,7160.52,1000
reference floor,1 mm,all,x,fine,um,5e-05,nan,nan,nan,1000
reference floor,1 mm,all,y,fine,um,5e-05,nan,nan,nan,1000
reference floor,1 mm,all,tx,fine,mrad,nan,nan,nan,nan,1000
reference floor,1 mm,all,ty,fine,mrad,nan,nan,nan,nan,1000
reference floor,1 mm,all,max_xy,fine,um,5e-05,nan,nan,nan,1000
straight line,1 mm,forward,x,fine,um,484728,1.26584e+06,111217,671125,500
straight line,1 mm,forward,y,fine,um,1005.03,25094.7,-465.573,11109.1,500
straight line,1 mm,forward,tx,fine,mrad,182.386,503.351,43.605,261.512,500
straight line,1 mm,forward,ty,fine,mrad,0.320463,10.347,-0.294893,5.00625,500
straight line,1 mm,forward,max_xy,fine,um,484728,1.26584e+06,556595,671125,500
straight line,1 mm,forward,x,hit,um,491519,1.28114e+06,112081,675150,500
straight line,1 mm,forward,y,hit,um,1892.98,28366.2,-506.837,13394.4,500
straight line,1 mm,forward,tx,hit,mrad,184.508,510.202,43.9265,263.055,500
straight line,1 mm,forward,ty,hit,mrad,0.627151,11.911,-0.30637,5.42172,500
straight line,1 mm,forward,max_xy,hit,um,491519,1.28114e+06,559338,675150,500
material floor,1 mm,forward,x,fine,um,1577.17,13813.4,-863.238,5716.43,500
material floor,1 mm,forward,y,fine,um,910.626,4979.45,41.2634,7229.71,500
material floor,1 mm,forward,tx,fine,mrad,0.400376,4.88522,-0.321539,2.12584,500
material floor,1 mm,forward,ty,fine,mrad,0.259103,1.44721,0.0114761,1.77626,500
material floor,1 mm,forward,max_xy,fine,um,2079.51,15061.3,4198.27,9016.68,500
reference floor,1 mm,forward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,1 mm,forward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,1 mm,forward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,1 mm,forward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,1 mm,forward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,1 mm,backward,x,fine,um,466149,1.31442e+06,107324,679334,500
straight line,1 mm,backward,y,fine,um,2167.64,60797.1,-419.521,23355.3,500
straight line,1 mm,backward,tx,fine,mrad,182.635,491.601,-41.2537,260.045,500
straight line,1 mm,backward,ty,fine,mrad,0.332125,10.5099,0.157244,4.81175,500
straight line,1 mm,backward,max_xy,fine,um,466149,1.31442e+06,559523,679334,500
straight line,1 mm,backward,x,hit,um,471927,1.32162e+06,107744,682000,500
straight line,1 mm,backward,y,hit,um,2575.01,64410.3,-342.935,23868.2,500
straight line,1 mm,backward,tx,hit,mrad,184.508,494.187,-41.4479,261.22,500
straight line,1 mm,backward,ty,hit,mrad,0.652316,11.911,0.109111,5.17532,500
straight line,1 mm,backward,max_xy,hit,um,471927,1.32162e+06,561207,682000,500
material floor,1 mm,backward,x,fine,um,808.045,9017.08,-419.833,3993.37,500
material floor,1 mm,backward,y,fine,um,592.405,3338.05,-76.5864,2603.7,500
material floor,1 mm,backward,tx,fine,mrad,0.39528,3.66427,0.194194,1.64084,500
material floor,1 mm,backward,ty,fine,mrad,0.265942,1.36488,0.0481325,1.55392,500
material floor,1 mm,backward,max_xy,fine,um,1327.2,9273.71,2567.42,4609.29,500
reference floor,1 mm,backward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,1 mm,backward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,1 mm,backward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,1 mm,backward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,1 mm,backward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,10 mm,all,x,fine,um,478269,1.29688e+06,109271,675242,1000
straight line,10 mm,all,y,fine,um,1405.47,42085.8,-442.547,18287.7,1000
straight line,10 mm,all,tx,fine,mrad,182.566,501.259,1.17565,260.78,1000
straight line,10 mm,all,ty,fine,mrad,0.328148,10.4892,-0.0688248,4.90997,1000
straight line,10 mm,all,max_xy,fine,um,478269,1.29688e+06,558059,675242,1000
straight line,10 mm,all,x,hit,um,479672,1.30401e+06,109912,678584,1000
straight line,10 mm,all,y,hit,um,2256.21,42200.3,-424.886,19353.3,1000
straight line,10 mm,all,tx,hit,mrad,184.508,504.182,1.23932,262.139,1000
straight line,10 mm,all,ty,hit,mrad,0.639766,11.911,-0.0986291,5.29995,1000
straight line,10 mm,all,max_xy,hit,um,479672,1.30401e+06,560273,678584,1000
material floor,10 mm,all,x,fine,um,1113.76,11519.8,-641.535,4930.75,1000
material floor,10 mm,all,y,fine,um,745.22,4288.08,-17.6615,5433.59,1000
material floor,10 mm,all,tx,fine,mrad,0.398619,4.19693,-0.0636728,1.89889,1000
material floor,10 mm,all,ty,fine,mrad,0.262402,1.40487,0.0298043,1.6688,1000
material floor,10 mm,all,max_xy,fine,um,1643.26,12172.4,3382.84,7160.52,1000
reference floor,10 mm,all,x,fine,um,5e-05,nan,nan,nan,1000
reference floor,10 mm,all,y,fine,um,5e-05,nan,nan,nan,1000
reference floor,10 mm,all,tx,fine,mrad,nan,nan,nan,nan,1000
reference floor,10 mm,all,ty,fine,mrad,nan,nan,nan,nan,1000
reference floor,10 mm,all,max_xy,fine,um,5e-05,nan,nan,nan,1000
straight line,10 mm,forward,x,fine,um,484728,1.26584e+06,111217,671125,500
straight line,10 mm,forward,y,fine,um,1005.03,25094.7,-465.573,11109.1,500
straight line,10 mm,forward,tx,fine,mrad,182.386,503.351,43.605,261.512,500
straight line,10 mm,forward,ty,fine,mrad,0.320463,10.347,-0.294893,5.00625,500
straight line,10 mm,forward,max_xy,fine,um,484728,1.26584e+06,556595,671125,500
straight line,10 mm,forward,x,hit,um,491519,1.28114e+06,112081,675150,500
straight line,10 mm,forward,y,hit,um,1892.98,28366.2,-506.837,13394.4,500
straight line,10 mm,forward,tx,hit,mrad,184.508,510.202,43.9265,263.055,500
straight line,10 mm,forward,ty,hit,mrad,0.627151,11.911,-0.30637,5.42172,500
straight line,10 mm,forward,max_xy,hit,um,491519,1.28114e+06,559338,675150,500
material floor,10 mm,forward,x,fine,um,1577.17,13813.4,-863.238,5716.43,500
material floor,10 mm,forward,y,fine,um,910.626,4979.45,41.2634,7229.71,500
material floor,10 mm,forward,tx,fine,mrad,0.400376,4.88522,-0.321539,2.12584,500
material floor,10 mm,forward,ty,fine,mrad,0.259103,1.44721,0.0114761,1.77626,500
material floor,10 mm,forward,max_xy,fine,um,2079.51,15061.3,4198.27,9016.68,500
reference floor,10 mm,forward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,10 mm,forward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,10 mm,forward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,10 mm,forward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,10 mm,forward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,10 mm,backward,x,fine,um,466149,1.31442e+06,107324,679334,500
straight line,10 mm,backward,y,fine,um,2167.64,60797.1,-419.521,23355.3,500
straight line,10 mm,backward,tx,fine,mrad,182.635,491.601,-41.2537,260.045,500
straight line,10 mm,backward,ty,fine,mrad,0.332125,10.5099,0.157244,4.81175,500
straight line,10 mm,backward,max_xy,fine,um,466149,1.31442e+06,559523,679334,500
straight line,10 mm,backward,x,hit,um,471927,1.32162e+06,107744,682000,500
straight line,10 mm,backward,y,hit,um,2575.01,64410.3,-342.935,23868.2,500
straight line,10 mm,backward,tx,hit,mrad,184.508,494.187,-41.4479,261.22,500
straight line,10 mm,backward,ty,hit,mrad,0.652316,11.911,0.109111,5.17532,500
straight line,10 mm,backward,max_xy,hit,um,471927,1.32162e+06,561207,682000,500
material floor,10 mm,backward,x,fine,um,808.045,9017.08,-419.833,3993.37,500
material floor,10 mm,backward,y,fine,um,592.405,3338.05,-76.5864,2603.7,500
material floor,10 mm,backward,tx,fine,mrad,0.39528,3.66427,0.194194,1.64084,500
material floor,10 mm,backward,ty,fine,mrad,0.265942,1.36488,0.0481325,1.55392,500
material floor,10 mm,backward,max_xy,fine,um,1327.2,9273.71,2567.42,4609.29,500
reference floor,10 mm,backward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,10 mm,backward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,10 mm,backward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,10 mm,backward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,10 mm,backward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,100 mm,all,x,fine,um,478269,1.29688e+06,109271,675242,1000
straight line,100 mm,all,y,fine,um,1405.47,42085.8,-442.547,18287.7,1000
straight line,100 mm,all,tx,fine,mrad,182.566,501.259,1.17565,260.78,1000
straight line,100 mm,all,ty,fine,mrad,0.328148,10.4892,-0.0688248,4.90997,1000
straight line,100 mm,all,max_xy,fine,um,478269,1.29688e+06,558059,675242,1000
straight line,100 mm,all,x,hit,um,479672,1.30401e+06,109912,678584,1000
straight line,100 mm,all,y,hit,um,2256.21,42200.3,-424.886,19353.3,1000
straight line,100 mm,all,tx,hit,mrad,184.508,504.182,1.23932,262.139,1000
straight line,100 mm,all,ty,hit,mrad,0.639766,11.911,-0.0986291,5.29995,1000
straight line,100 mm,all,max_xy,hit,um,479672,1.30401e+06,560273,678584,1000
material floor,100 mm,all,x,fine,um,1113.76,11519.8,-641.535,4930.75,1000
material floor,100 mm,all,y,fine,um,745.22,4288.08,-17.6615,5433.59,1000
material floor,100 mm,all,tx,fine,mrad,0.398619,4.19693,-0.0636728,1.89889,1000
material floor,100 mm,all,ty,fine,mrad,0.262402,1.40487,0.0298043,1.6688,1000
material floor,100 mm,all,max_xy,fine,um,1643.26,12172.4,3382.84,7160.52,1000
reference floor,100 mm,all,x,fine,um,5e-05,nan,nan,nan,1000
reference floor,100 mm,all,y,fine,um,5e-05,nan,nan,nan,1000
reference floor,100 mm,all,tx,fine,mrad,nan,nan,nan,nan,1000
reference floor,100 mm,all,ty,fine,mrad,nan,nan,nan,nan,1000
reference floor,100 mm,all,max_xy,fine,um,5e-05,nan,nan,nan,1000
straight line,100 mm,forward,x,fine,um,484728,1.26584e+06,111217,671125,500
straight line,100 mm,forward,y,fine,um,1005.03,25094.7,-465.573,11109.1,500
straight line,100 mm,forward,tx,fine,mrad,182.386,503.351,43.605,261.512,500
straight line,100 mm,forward,ty,fine,mrad,0.320463,10.347,-0.294893,5.00625,500
straight line,100 mm,forward,max_xy,fine,um,484728,1.26584e+06,556595,671125,500
straight line,100 mm,forward,x,hit,um,491519,1.28114e+06,112081,675150,500
straight line,100 mm,forward,y,hit,um,1892.98,28366.2,-506.837,13394.4,500
straight line,100 mm,forward,tx,hit,mrad,184.508,510.202,43.9265,263.055,500
straight line,100 mm,forward,ty,hit,mrad,0.627151,11.911,-0.30637,5.42172,500
straight line,100 mm,forward,max_xy,hit,um,491519,1.28114e+06,559338,675150,500
material floor,100 mm,forward,x,fine,um,1577.17,13813.4,-863.238,5716.43,500
material floor,100 mm,forward,y,fine,um,910.626,4979.45,41.2634,7229.71,500
material floor,100 mm,forward,tx,fine,mrad,0.400376,4.88522,-0.321539,2.12584,500
material floor,100 mm,forward,ty,fine,mrad,0.259103,1.44721,0.0114761,1.77626,500
material floor,100 mm,forward,max_xy,fine,um,2079.51,15061.3,4198.27,9016.68,500
reference floor,100 mm,forward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,100 mm,forward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,100 mm,forward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,100 mm,forward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,100 mm,forward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,100 mm,backward,x,fine,um,466149,1.31442e+06,107324,679334,500
straight line,100 mm,backward,y,fine,um,2167.64,60797.1,-419.521,23355.3,500
straight line,100 mm,backward,tx,fine,mrad,182.635,491.601,-41.2537,260.045,500
straight line,100 mm,backward,ty,fine,mrad,0.332125,10.5099,0.157244,4.81175,500
straight line,100 mm,backward,max_xy,fine,um,466149,1.31442e+06,559523,679334,500
straight line,100 mm,backward,x,hit,um,471927,1.32162e+06,107744,682000,500
straight line,100 mm,backward,y,hit,um,2575.01,64410.3,-342.935,23868.2,500
straight line,100 mm,backward,tx,hit,mrad,184.508,494.187,-41.4479,261.22,500
straight line,100 mm,backward,ty,hit,mrad,0.652316,11.911,0.109111,5.17532,500
straight line,100 mm,backward,max_xy,hit,um,471927,1.32162e+06,561207,682000,500
material floor,100 mm,backward,x,fine,um,808.045,9017.08,-419.833,3993.37,500
material floor,100 mm,backward,y,fine,um,592.405,3338.05,-76.5864,2603.7,500
material floor,100 mm,backward,tx,fine,mrad,0.39528,3.66427,0.194194,1.64084,500
material floor,100 mm,backward,ty,fine,mrad,0.265942,1.36488,0.0481325,1.55392,500
material floor,100 mm,backward,max_xy,fine,um,1327.2,9273.71,2567.42,4609.29,500
reference floor,100 mm,backward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,100 mm,backward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,100 mm,backward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,100 mm,backward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,100 mm,backward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,1000 mm,all,x,fine,um,478269,1.29688e+06,109271,675242,1000
straight line,1000 mm,all,y,fine,um,1405.47,42085.8,-442.547,18287.7,1000
straight line,1000 mm,all,tx,fine,mrad,182.566,501.259,1.17565,260.78,1000
straight line,1000 mm,all,ty,fine,mrad,0.328148,10.4892,-0.0688248,4.90997,1000
straight line,1000 mm,all,max_xy,fine,um,478269,1.29688e+06,558059,675242,1000
straight line,1000 mm,all,x,hit,um,479672,1.30401e+06,109912,678584,1000
straight line,1000 mm,all,y,hit,um,2256.21,42200.3,-424.886,19353.3,1000
straight line,1000 mm,all,tx,hit,mrad,184.508,504.182,1.23932,262.139,1000
straight line,1000 mm,all,ty,hit,mrad,0.639766,11.911,-0.0986291,5.29995,1000
straight line,1000 mm,all,max_xy,hit,um,479672,1.30401e+06,560273,678584,1000
material floor,1000 mm,all,x,fine,um,1113.76,11519.8,-641.535,4930.75,1000
material floor,1000 mm,all,y,fine,um,745.22,4288.08,-17.6615,5433.59,1000
material floor,1000 mm,all,tx,fine,mrad,0.398619,4.19693,-0.0636728,1.89889,1000
material floor,1000 mm,all,ty,fine,mrad,0.262402,1.40487,0.0298043,1.6688,1000
material floor,1000 mm,all,max_xy,fine,um,1643.26,12172.4,3382.84,7160.52,1000
reference floor,1000 mm,all,x,fine,um,5e-05,nan,nan,nan,1000
reference floor,1000 mm,all,y,fine,um,5e-05,nan,nan,nan,1000
reference floor,1000 mm,all,tx,fine,mrad,nan,nan,nan,nan,1000
reference floor,1000 mm,all,ty,fine,mrad,nan,nan,nan,nan,1000
reference floor,1000 mm,all,max_xy,fine,um,5e-05,nan,nan,nan,1000
straight line,1000 mm,forward,x,fine,um,484728,1.26584e+06,111217,671125,500
straight line,1000 mm,forward,y,fine,um,1005.03,25094.7,-465.573,11109.1,500
straight line,1000 mm,forward,tx,fine,mrad,182.386,503.351,43.605,261.512,500
straight line,1000 mm,forward,ty,fine,mrad,0.320463,10.347,-0.294893,5.00625,500
straight line,1000 mm,forward,max_xy,fine,um,484728,1.26584e+06,556595,671125,500
straight line,1000 mm,forward,x,hit,um,491519,1.28114e+06,112081,675150,500
straight line,1000 mm,forward,y,hit,um,1892.98,28366.2,-506.837,13394.4,500
straight line,1000 mm,forward,tx,hit,mrad,184.508,510.202,43.9265,263.055,500
straight line,1000 mm,forward,ty,hit,mrad,0.627151,11.911,-0.30637,5.42172,500
straight line,1000 mm,forward,max_xy,hit,um,491519,1.28114e+06,559338,675150,500
material floor,1000 mm,forward,x,fine,um,1577.17,13813.4,-863.238,5716.43,500
material floor,1000 mm,forward,y,fine,um,910.626,4979.45,41.2634,7229.71,500
material floor,1000 mm,forward,tx,fine,mrad,0.400376,4.88522,-0.321539,2.12584,500
material floor,1000 mm,forward,ty,fine,mrad,0.259103,1.44721,0.0114761,1.77626,500
material floor,1000 mm,forward,max_xy,fine,um,2079.51,15061.3,4198.27,9016.68,500
reference floor,1000 mm,forward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,1000 mm,forward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,1000 mm,forward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,1000 mm,forward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,1000 mm,forward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,1000 mm,backward,x,fine,um,466149,1.31442e+06,107324,679334,500
straight line,1000 mm,backward,y,fine,um,2167.64,60797.1,-419.521,23355.3,500
straight line,1000 mm,backward,tx,fine,mrad,182.635,491.601,-41.2537,260.045,500
straight line,1000 mm,backward,ty,fine,mrad,0.332125,10.5099,0.157244,4.81175,500
straight line,1000 mm,backward,max_xy,fine,um,466149,1.31442e+06,559523,679334,500
straight line,1000 mm,backward,x,hit,um,471927,1.32162e+06,107744,682000,500
straight line,1000 mm,backward,y,hit,um,2575.01,64410.3,-342.935,23868.2,500
straight line,1000 mm,backward,tx,hit,mrad,184.508,494.187,-41.4479,261.22,500
straight line,1000 mm,backward,ty,hit,mrad,0.652316,11.911,0.109111,5.17532,500
straight line,1000 mm,backward,max_xy,hit,um,471927,1.32162e+06,561207,682000,500
material floor,1000 mm,backward,x,fine,um,808.045,9017.08,-419.833,3993.37,500
material floor,1000 mm,backward,y,fine,um,592.405,3338.05,-76.5864,2603.7,500
material floor,1000 mm,backward,tx,fine,mrad,0.39528,3.66427,0.194194,1.64084,500
material floor,1000 mm,backward,ty,fine,mrad,0.265942,1.36488,0.0481325,1.55392,500
material floor,1000 mm,backward,max_xy,fine,um,1327.2,9273.71,2567.42,4609.29,500
reference floor,1000 mm,backward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,1000 mm,backward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,1000 mm,backward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,1000 mm,backward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,1000 mm,backward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,full crossing,all,x,fine,um,478269,1.29688e+06,109271,675242,1000
straight line,full crossing,all,y,fine,um,1405.47,42085.8,-442.547,18287.7,1000
straight line,full crossing,all,tx,fine,mrad,182.566,501.259,1.17565,260.78,1000
straight line,full crossing,all,ty,fine,mrad,0.328148,10.4892,-0.0688248,4.90997,1000
straight line,full crossing,all,max_xy,fine,um,478269,1.29688e+06,558059,675242,1000
straight line,full crossing,all,x,hit,um,479672,1.30401e+06,109912,678584,1000
straight line,full crossing,all,y,hit,um,2256.21,42200.3,-424.886,19353.3,1000
straight line,full crossing,all,tx,hit,mrad,184.508,504.182,1.23932,262.139,1000
straight line,full crossing,all,ty,hit,mrad,0.639766,11.911,-0.0986291,5.29995,1000
straight line,full crossing,all,max_xy,hit,um,479672,1.30401e+06,560273,678584,1000
material floor,full crossing,all,x,fine,um,1113.76,11519.8,-641.535,4930.75,1000
material floor,full crossing,all,y,fine,um,745.22,4288.08,-17.6615,5433.59,1000
material floor,full crossing,all,tx,fine,mrad,0.398619,4.19693,-0.0636728,1.89889,1000
material floor,full crossing,all,ty,fine,mrad,0.262402,1.40487,0.0298043,1.6688,1000
material floor,full crossing,all,max_xy,fine,um,1643.26,12172.4,3382.84,7160.52,1000
reference floor,full crossing,all,x,fine,um,5e-05,nan,nan,nan,1000
reference floor,full crossing,all,y,fine,um,5e-05,nan,nan,nan,1000
reference floor,full crossing,all,tx,fine,mrad,nan,nan,nan,nan,1000
reference floor,full crossing,all,ty,fine,mrad,nan,nan,nan,nan,1000
reference floor,full crossing,all,max_xy,fine,um,5e-05,nan,nan,nan,1000
straight line,full crossing,forward,x,fine,um,484728,1.26584e+06,111217,671125,500
straight line,full crossing,forward,y,fine,um,1005.03,25094.7,-465.573,11109.1,500
straight line,full crossing,forward,tx,fine,mrad,182.386,503.351,43.605,261.512,500
straight line,full crossing,forward,ty,fine,mrad,0.320463,10.347,-0.294893,5.00625,500
straight line,full crossing,forward,max_xy,fine,um,484728,1.26584e+06,556595,671125,500
straight line,full crossing,forward,x,hit,um,491519,1.28114e+06,112081,675150,500
straight line,full crossing,forward,y,hit,um,1892.98,28366.2,-506.837,13394.4,500
straight line,full crossing,forward,tx,hit,mrad,184.508,510.202,43.9265,263.055,500
straight line,full crossing,forward,ty,hit,mrad,0.627151,11.911,-0.30637,5.42172,500
straight line,full crossing,forward,max_xy,hit,um,491519,1.28114e+06,559338,675150,500
material floor,full crossing,forward,x,fine,um,1577.17,13813.4,-863.238,5716.43,500
material floor,full crossing,forward,y,fine,um,910.626,4979.45,41.2634,7229.71,500
material floor,full crossing,forward,tx,fine,mrad,0.400376,4.88522,-0.321539,2.12584,500
material floor,full crossing,forward,ty,fine,mrad,0.259103,1.44721,0.0114761,1.77626,500
material floor,full crossing,forward,max_xy,fine,um,2079.51,15061.3,4198.27,9016.68,500
reference floor,full crossing,forward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,full crossing,forward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,full crossing,forward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,full crossing,forward,ty,fine,mrad,nan,nan,nan,nan,500
