rank,tag,arch,width,depth,q,mode,seed,best_column,best_median_um,single_step_full_crossing_um,n_parameters,multiply_adds,col_0.1_mm,col_1_mm,col_10_mm,col_100_mm,col_1000_mm,col_full_crossing
295,w32_d2_q14_physics_s2,2x32,32,2,14,physics,2,full crossing,1383.56,1413.65,3292,3168,368206,366197,308274,42462,6347.52,1383.56
296,w256_d4_q08_data_s2,4x256,256,4,8,data,2,full crossing,1392.45,1119.18,208676,207616,206735,22378.4,1634.49,2353.86,2306.55,1392.45
297,w256_d4_q16_data_s0,4x256,256,4,16,data,0,full crossing,1394.05,1239.86,216900,215808,218138,5578.83,1965.31,1957.12,3013.36,1394.05
298,w32_d2_q06_physics_s2,2x32,32,2,6,physics,2,full crossing,1397.86,1581.58,2236,2144,471952,467537,388711,19749.8,4093.65,1397.86
299,w256_d4_q20_data_s0,4x256,256,4,20,data,0,full crossing,1402.72,1259.99,221012,219904,151485,3736.78,1631.92,1796.72,2783.93,1402.72
300,w32_d2_q18_physics_s0,2x32,32,2,18,physics,0,full crossing,1409.85,1557.58,3820,3680,313331,310764,276685,53581.2,5730.19,1409.85
301,w256_d2_q08_data_s2,2x256,256,2,8,data,2,full crossing,1412.05,1457.72,77092,76544,217682,148908,54864.4,48120.6,9721.56,1412.05
302,w128_d4_q06_data_s0,4x128,128,4,6,data,0,1 mm,1421.55,1458.6,54172,53632,190134,1421.55,1453.95,1684.79,2074.08,1556.64
303,w256_d4_q10_data_s0,4x256,256,4,10,data,0,full crossing,1423.31,1337.39,210732,209664,187212,7249,1990.44,2371.24,3089.83,1423.31
304,w256_d4_q18_data_s2,4x256,256,4,18,data,2,full crossing,1426.82,1303.52,218956,217856,168243,3465.49,1722.61,1861.22,3024.56,1426.82
305,w128_d4_q14_data_s1,4x128,128,4,14,data,1,full crossing,1429.9,1295.74,58300,57728,125204,2307.62,1998.59,2086.98,2812.51,1429.9
306,w32_d2_q08_physics_s1,2x32,32,2,8,physics,1,full crossing,1442.7,1423.92,2500,2400,380088,352712,294594,39154,5030.88,1442.7
307,w32_d2_q14_physics_s0,2x32,32,2,14,physics,0,full crossing,1445.31,1413.65,3292,3168,280528,299445,269585,57168.7,4356.23,1445.31
308,w128_d4_q02_data_s2,4x128,128,4,2,data,2,full crossing,1469.95,1387.25,52108,51584,106483,3584.7,1590.75,2115.56,2306.96,1469.95
309,w32_d2_q16_physics_s0,2x32,32,2,16,physics,0,full crossing,1484.95,1608.19,3556,3424,363218,368363,328019,57854.8,4726.12,1484.95
310,w256_d2_q10_data_s2,2x256,256,2,10,data,2,full crossing,1500.45,1751.05,79148,78592,263133,168429,59359,27754.6,8643.88,1500.45
311,w256_d2_q04_data_s1,2x256,256,2,4,data,1,full crossing,1529.44,1459.4,72980,72448,353278,215829,100940,117244,29667.3,1529.44
312,w32_d2_q10_physics_s2,2x32,32,2,10,physics,2,full crossing,1552.61,1563.27,2764,2656,321552,321214,280892,52627.9,5546.32,1552.61
313,w256_d2_q06_data_s1,2x256,256,2,6,data,1,full crossing,1555.33,1738.18,75036,74496,295060,174038,41745.7,49260.6,16695.9,1555.33
314,w32_d2_q08_physics_s0,2x32,32,2,8,physics,0,full crossing,1572.46,1423.92,2500,2400,424634,458698,403302,57847.7,4648.05,1572.46
315,w256_d4_q14_data_s2,4x256,256,4,14,data,2,full crossing,1575.02,1593.77,214844,213760,117081,8119.97,2262.66,2122.22,2430.95,1575.02
316,w32_d2_q18_physics_s1,2x32,32,2,18,physics,1,full crossing,1580.68,1557.58,3820,3680,282817,275169,236558,46576.7,5982.17,1580.68
317,w32_d2_q14_physics_s1,2x32,32,2,14,physics,1,full crossing,1595.82,1413.65,3292,3168,291449,299118,265316,53004.1,7102.05,1595.82
318,w32_d2_q06_physics_s0,2x32,32,2,6,physics,0,full crossing,1595.9,1581.58,2236,2144,418936,412065,332933,14095.9,3818.04,1595.9
319,w256_d2_q08_data_s1,2x256,256,2,8,data,1,full crossing,1600.7,1457.72,77092,76544,541081,282646,69139.9,40122.8,21994.1,1600.7
320,w256_d8_q18_data_s1,8x256,256,8,18,data,1,10 mm,1601.83,4112.78,482124,480000,323704,70798.7,1601.83,2620.72,3318.45,2524.83
321,w256_d2_q04_data_s2,2x256,256,2,4,data,2,full crossing,1621.31,1459.4,72980,72448,462013,389093,81819.7,57797,22527.3,1621.31
322,w256_d4_q20_data_s1,4x256,256,4,20,data,1,full crossing,1625.47,1259.99,221012,219904,193370,3145.35,1631.56,2199.31,2766.33,1625.47
323,w256_d4_q18_data_s0,4x256,256,4,18,data,0,full crossing,1626.14,1303.52,218956,217856,197588,6796.74,1656.7,1927.84,3156.88,1626.14
324,w32_d2_q16_physics_s2,2x32,32,2,16,physics,2,full crossing,1632.78,1608.19,3556,3424,391087,357317,319329,69349.7,6462.19,1632.78
325,w32_d2_q10_physics_s0,2x32,32,2,10,physics,0,full crossing,1654.17,1563.27,2764,2656,300895,294798,264695,52182.9,4799.37,1654.17
326,w32_d2_q12_physics_s1,2x32,32,2,12,physics,1,full crossing,1674.94,1676.03,3028,2912,290434,289777,258680,55943.8,6236.9,1674.94
327,w128_d4_q08_data_s0,4x128,128,4,8,data,0,10 mm,1676.44,2416.24,55204,54656,99858.1,2204.55,1676.44,1935.98,2572.24,1913.18
328,w32_d2_q12_physics_s0,2x32,32,2,12,physics,0,full crossing,1678.96,1676.03,3028,2912,228503,229815,204548,44807.2,5918.16,1678.96
329,w256_d4_q12_data_s2,4x256,256,4,12,data,2,100 mm,1688.13,1148.43,212788,211712,214218,7083.58,2042.03,1688.13,2852.86,1819.56
330,w256_d2_q12_data_s1,2x256,256,2,12,data,1,full crossing,1697.16,1640.95,81204,80640,283375,150902,47127.5,31599.8,8200.78,1697.16
331,w32_d2_q06_physics_s1,2x32,32,2,6,physics,1,full crossing,1697.19,1581.58,2236,2144,336794,321504,274273,32184.9,4228.35,1697.19
332,w128_d4_q16_data_s1,4x128,128,4,16,data,1,full crossing,1707.06,1950.48,59332,58752,109839,1859.79,1727.49,2485.88,3277.17,1707.06
333,w256_d2_q14_data_s1,2x256,256,2,14,data,1,full crossing,1708.27,1750.29,83260,82688,293631,237042,36178.3,41047.9,11767.9,1708.27
334,w256_d2_q12_data_s2,2x256,256,2,12,data,2,full crossing,1718.99,1640.95,81204,80640,245739,192876,60410.1,28449,7434.32,1718.99
335,w256_d8_q06_data_s2,8x256,256,8,6,data,2,10 mm,1722.54,4479.34,469788,467712,200369,35469.7,1722.54,2059.36,3318.34,1792.79
336,w32_d2_q20_physics_s1,2x32,32,2,20,physics,1,full crossing,1737.59,1744.99,4084,3936,338801,302741,269099,51295.2,5520.11,1737.59
337,w128_d8_q04_data_s0,8x128,128,8,4,data,0,1 mm,1740.7,5174.91,119188,118144,155846,1740.7,1839.97,2275.34,2491.09,1795.03
338,w256_d2_q16_data_s1,2x256,256,2,16,data,1,full crossing,1742.8,1780.02,85316,84736,376909,206853,64774.7,36443.1,9996.06,1742.8
339,w128_d4_q02_data_s0,4x128,128,4,2,data,0,full crossing,1742.92,1387.25,52108,51584,136164,2095.85,2009.51,2209.65,3093.84,1742.92
340,w256_d4_q04_data_s0,4x256,256,4,4,data,0,10 mm,1763.71,1317.13,204564,203520,258071,4340.83,1763.71,2356.16,2669.16,1988.99
341,w32_d2_q18_physics_s2,2x32,32,2,18,physics,2,full crossing,1787.76,1557.58,3820,3680,319028,336232,301124,73282.3,6591.83,1787.76
342,w128_d4_q12_data_s2,4x128,128,4,12,data,2,10 mm,1794.84,4005.61,57268,56704,100003,2279.84,1794.84,2935.22,3014.27,2136.26
343,w32_d2_q16_physics_s1,2x32,32,2,16,physics,1,full crossing,1799.03,1608.19,3556,3424,387132,405209,347420,53921.6,7187.31,1799.03
344,w256_d2_q18_data_s1,2x256,256,2,18,data,1,full crossing,1824.55,1800.45,87372,86784,317956,210514,29925.8,23152,4730.17,1824.55
345,w128_d4_q20_data_s0,4x128,128,4,20,data,0,full crossing,1825.32,5443.37,61396,60800,89078.7,2781.31,2116.26,2340.79,2862.95,1825.32
346,w32_d2_q20_physics_s0,2x32,32,2,20,physics,0,full crossing,1829.25,1744.99,4084,3936,343227,339310,303269,75559.5,5471.37,1829.25
347,w32_d2_q20_physics_s2,2x32,32,2,20,physics,2,full crossing,1830.77,1744.99,4084,3936,324780,326343,292855,61265.8,6275.88,1830.77
348,w256_d4_q14_data_s0,4x256,256,4,14,data,0,10 mm,1838.7,1593.77,214844,213760,178702,5939.39,1838.7,2070.73,3388.45,1941.11
349,w256_d2_q12_data_s0,2x256,256,2,12,data,0,full crossing,1868.47,1640.95,81204,80640,270863,210517,28504.9,29570.5,7744.82,1868.47
350,w256_d2_q10_data_s0,2x256,256,2,10,data,0,full crossing,1870.95,1751.05,79148,78592,431432,314360,15972.4,22216.9,7189.18,1870.95
351,w256_d2_q14_data_s0,2x256,256,2,14,data,0,full crossing,1882.51,1750.29,83260,82688,268237,186289,28207.8,36490,8551.72,1882.51
352,w256_d2_q18_data_s2,2x256,256,2,18,data,2,full crossing,1891.18,1800.45,87372,86784,419308,320310,63163.8,22551.8,5526.71,1891.18
353,w256_d2_q20_data_s0,2x256,256,2,20,data,0,full crossing,1898.08,1854.46,89428,88832,357063,265251,17368.2,20229.8,6450.87,1898.08
354,w256_d2_q06_data_s0,2x256,256,2,6,data,0,full crossing,1898.78,1738.18,75036,74496,464115,339762,38046.2,32926.7,12332.9,1898.78
355,w256_d2_q20_data_s2,2x256,256,2,20,data,2,full crossing,1906.18,1854.46,89428,88832,576583,377117,25176.2,18850.7,6569.61,1906.18
356,w256_d2_q16_data_s0,2x256,256,2,16,data,0,full crossing,1922.76,1780.02,85316,84736,337306,211191,16845,28165.4,8704.51,1922.76
357,w256_d2_q16_data_s2,2x256,256,2,16,data,2,full crossing,1934.84,1780.02,85316,84736,459193,275522,33251.1,23186.1,5596.94,1934.84
358,w256_d2_q02_data_s0,2x256,256,2,2,data,0,full crossing,1938.27,1896.98,70924,70400,311121,216028,95135.5,69417.4,28280.8,1938.27
359,w64_d8_q02_physics_s2,8x64,64,8,2,physics,2,1000 mm,1956.15,9814.14,30412,29888,103789,94650.8,57475.4,9840.86,1956.15,10676.7
360,w256_d2_q08_data_s0,2x256,256,2,8,data,0,full crossing,1972.5,1457.72,77092,76544,408038,229466,53175.4,29784.4,8347.04,1972.5
361,w256_d2_q02_data_s2,2x256,256,2,2,data,2,full crossing,1995.71,1896.98,70924,70400,436179,313103,78690.9,74762.2,21530.8,1995.71
362,w128_d4_q18_data_s1,4x128,128,4,18,data,1,full crossing,2012.49,3990.99,60364,59776,68677.6,2308.19,2808.56,2644.85,2952.6,2012.49
363,w256_d8_q08_data_s0,8x256,256,8,8,data,0,10 mm,2046.87,6392.22,471844,469760,121438,2682.22,2046.87,2821.42,2752.94,2183.58
364,w256_d4_q10_data_s1,4x256,256,4,10,data,1,10 mm,2061.94,1337.39,210732,209664,156933,11300.4,2061.94,2408.64,3608.74,2300.81
365,w256_d2_q02_data_s1,2x256,256,2,2,data,1,full crossing,2069.75,1896.98,70924,70400,562556,378149,75591.5,67133.6,28591.3,2069.75
366,w128_d4_q16_data_s0,4x128,128,4,16,data,0,full crossing,2087.02,1950.48,59332,58752,127566,2228.04,2272.18,2437.55,3452.38,2087.02
367,w256_d2_q20_data_s1,2x256,256,2,20,data,1,full crossing,2089.22,1854.46,89428,88832,307064,190731,19818.9,23300.2,9407.52,2089.22
368,w256_d2_q06_data_s2,2x256,256,2,6,data,2,full crossing,2127.62,1738.18,75036,74496,375629,243198,51977.3,32295.4,9533.75,2127.62
369,w256_d2_q04_data_s0,2x256,256,2,4,data,0,full crossing,2145.31,1459.4,72980,72448,439879,313141,47403.9,44000.9,15410,2145.31
370,w256_d2_q14_data_s2,2x256,256,2,14,data,2,full crossing,2164.36,1750.29,83260,82688,262207,124406,28286.2,20574.5,5927.34,2164.36
371,w32_d8_q04_physics_s1,8x32,32,8,4,physics,1,1000 mm,2178.92,3600.72,8308,8032,283759,273134,180168,8492.24,2178.92,3703.92
372,w64_d8_q02_physics_s0,8x64,64,8,2,physics,0,1000 mm,2228.72,9814.14,30412,29888,136806,122045,79162.5,11834.4,2228.72,10199.9
373,w256_d2_q10_data_s1,2x256,256,2,10,data,1,full crossing,2301.61,1751.05,79148,78592,220587,142515,14992.3,29074.1,7455.63,2301.61
374,w64_d4_q02_physics_s1,4x64,64,4,2,physics,1,1000 mm,2328.03,9918.84,13772,13504,137617,134181,101334,14531.7,2328.03,10706
375,w32_d8_q02_physics_s0,8x32,32,8,2,physics,0,1000 mm,2357.63,9815.25,8044,7776,451298,400199,260576,9668.17,2357.63,10437.1
376,w64_d8_q04_physics_s0,8x64,64,8,4,physics,0,1000 mm,2362.14,3477.35,30932,30400,125466,115564,82444,8944.26,2362.14,3800.93
377,w128_d8_q04_physics_s0,8x128,128,8,4,physics,0,1000 mm,2364.31,3531.85,119188,118144,124079,118420,83927.7,10707.1,2364.31,3637.25
378,w32_d8_q02_physics_s2,8x32,32,8,2,physics,2,1000 mm,2374.69,9815.25,8044,7776,91644.9,86095.7,55868.9,12443.8,2374.69,10636.5
379,w256_d2_q18_data_s0,2x256,256,2,18,data,0,full crossing,2398.06,1800.45,87372,86784,486052,329303,14261.8,16412.5,5308.2,2398.06
380,w64_d4_q06_data_s0,4x64,64,4,6,data,0,1 mm,2401.88,5780.65,14812,14528,51312.7,2401.88,2713.6,2839.45,3624.43,4045.78
381,w128_d8_q02_physics_s2,8x128,128,8,2,physics,2,1000 mm,2408.24,9768.14,118156,117120,78011.7,75016.1,57243.8,10138.3,2408.24,10896.9
382,w64_d8_q04_physics_s1,8x64,64,8,4,physics,1,1000 mm,2432.44,3477.35,30932,30400,137358,133732,96476.6,7063.26,2432.44,3742.37
383,w256_d8_q02_physics_s2,8x256,256,8,2,physics,2,1000 mm,2440.12,9676.25,465676,463616,60406.8,57430.7,42296.5,9858.2,2440.12,10086.9
384,w32_d4_q02_physics_s2,4x32,32,4,2,physics,2,1000 mm,2448.47,9887.95,3820,3680,292481,293175,226450,12346.9,2448.47,10493.8
385,w64_d8_q02_data_s1,8x64,64,8,2,data,1,1 mm,2449.86,4170.15,30412,29888,27111,2449.86,2674.83,2628.7,3419.25,3103.76
386,w128_d8_q02_physics_s1,8x128,128,8,2,physics,1,1000 mm,2492.85,9768.14,118156,117120,100161,91781.3,60124.9,9013.31,2492.85,10265.1
387,w32_d8_q02_physics_s1,8x32,32,8,2,physics,1,1000 mm,2533.26,9815.25,8044,7776,496184,497587,271599,10441.3,2533.26,10475.3
388,w64_d4_q04_physics_s1,4x64,64,4,4,physics,1,1000 mm,2538.14,3582.47,14292,14016,202172,197855,160997,14680.9,2538.14,3775.66
389,w128_d8_q02_physics_s0,8x128,128,8,2,physics,0,1000 mm,2543.18,9768.14,118156,117120,124915,118030,82959.5,10037.7,2543.18,10239.4
390,w128_d4_q08_data_s1,4x128,128,4,8,data,1,full crossing,2589.36,2416.24,55204,54656,164321,3538.97,3079.21,2986.76,4247.44,2589.36
391,w256_d8_q04_physics_s0,8x256,256,8,4,physics,0,1000 mm,2612.95,3533.38,467732,465664,90769.4,91254.6,66728,7839.08,2612.95,3791.25
392,w64_d8_q02_physics_s1,8x64,64,8,2,physics,1,1000 mm,2622.69,9814.14,30412,29888,113702,106126,75602.7,7625.06,2622.69,10359.4
393,w128_d8_q04_physics_s1,8x128,128,8,4,physics,1,1000 mm,2632.49,3531.85,119188,118144,105773,103034,70989.8,13622.9,2632.49,3772.89
