tag,width,depth,q,mode,seed,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n,n_steps
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,tx,fine,mrad,14.127,269.305,-2.51841,95.7017,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,ty,fine,mrad,0.806617,16.3439,1.71499,8.9466,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,max_xy,fine,um,42854.5,782376,147384,294830,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,x,hit,um,42171,781165,25412,296092,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,y,hit,um,2861.21,66981.2,-4686.95,34290.5,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,tx,hit,mrad,14.2543,269.441,-2.7126,96.3888,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,ty,hit,mrad,0.970305,16.5754,1.66685,9.18117,500,518
w128_d2_q02_data_s0,128,2,2,data,0,10 mm,backward,max_xy,hit,um,42898.3,781165,148266,296182,500,518
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,x,fine,um,21736.8,207578,25340.2,101786,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,y,fine,um,2582.59,39381.6,-1422.3,18649.5,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,tx,fine,mrad,9.4001,78.9781,-0.493005,41.3452,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,ty,fine,mrad,0.937619,15.2842,-0.320335,7.10131,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,max_xy,fine,um,22673.1,207578,55285.4,101995,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,x,hit,um,22175.3,211167,25981.7,102770,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,y,hit,um,3056.53,41679.5,-1404.64,19562.7,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,tx,hit,mrad,9.51407,79.5475,-0.429332,41.7497,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,ty,hit,mrad,1.10323,15.8475,-0.350139,7.35261,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,all,max_xy,hit,um,23472.4,211167,56218.5,103107,1000,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,x,fine,um,20665,224060,25960.6,111287,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,y,fine,um,2965.32,35745.8,-1213.77,16819,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,tx,fine,mrad,9.49978,86.966,8.49903,46.1934,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,ty,fine,mrad,1.13538,15.8589,-1.311,7.06036,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,max_xy,fine,um,22162.3,224060,58513.5,111489,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,x,hit,um,22150.7,241220,26823.8,112714,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,y,hit,um,3832.6,38276.9,-1255.03,18396,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,tx,hit,mrad,9.76743,90.1423,8.82057,46.793,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,ty,hit,mrad,1.23857,16.0685,-1.32248,7.3407,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,forward,max_xy,hit,um,23793.5,241220,59930.1,113118,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,x,fine,um,22246.5,192138,24719.8,91301.4,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,y,fine,um,2356.49,44302.6,-1630.84,20315.7,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,tx,fine,mrad,8.91657,73.9909,-9.48504,35.8471,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,ty,fine,mrad,0.814242,14.6392,0.670334,7.14204,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,max_xy,fine,um,22939.4,192138,52057.3,91521.8,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,x,hit,um,22292.5,197696,25139.7,91755.4,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,y,hit,um,2450.54,46701,-1554.26,20663.6,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,tx,hit,mrad,9.09087,74.1697,-9.67923,36.0067,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,ty,hit,mrad,1.00197,15.5631,0.622202,7.36449,500,52
w128_d2_q02_data_s0,128,2,2,data,0,100 mm,backward,max_xy,hit,um,23331.6,197696,52506.9,92013.6,500,52
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,x,fine,um,5385.97,103281,13878.6,100545,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,y,fine,um,2007.65,34905.8,-142.823,15647.7,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,tx,fine,mrad,2.1318,41.9489,-1.74293,31.1947,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,ty,fine,mrad,0.727039,13.2288,0.289615,6.48164,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,max_xy,fine,um,6282.51,104286,27619.8,100893,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,x,hit,um,5661.35,112551,14520.1,100870,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,y,hit,um,2586.18,37574.3,-125.161,16841.3,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,tx,hit,mrad,2.18299,42.3398,-1.67925,31.2688,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,ty,hit,mrad,0.95774,14.2627,0.259811,6.74746,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,all,max_xy,hit,um,6810.74,112952,28827.6,101372,1000,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,x,fine,um,5181.68,65218.9,4173.01,64267.8,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,y,fine,um,1954.2,28129.4,1115.3,14463.1,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,tx,fine,mrad,1.8389,30.4137,2.32945,27.2707,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,ty,fine,mrad,0.660149,11.6859,-0.349487,6.60383,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,max_xy,fine,um,5928.26,68673,18337.6,64707.2,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,x,hit,um,5669.91,58729.4,5036.24,64767.7,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,y,hit,um,2564.96,35383.1,1074.03,16426.4,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,tx,hit,mrad,2.07,28.6495,2.65099,27.4143,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,ty,hit,mrad,0.846116,13.2284,-0.360963,6.85037,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,forward,max_xy,hit,um,6563.73,72276.5,19987.3,65585.6,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,x,fine,um,5680.01,156508,23584.2,126840,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,y,fine,um,2072.23,37210.2,-1400.94,16748.8,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,tx,fine,mrad,2.39847,54.4255,-5.8153,34.6776,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,ty,fine,mrad,0.879024,15.4924,0.928718,6.35711,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,max_xy,fine,um,7167.46,156508,36902.1,127169,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,x,hit,um,5624.87,157574,24004,127101,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,y,hit,um,2719.22,37681.6,-1324.36,17246.2,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,tx,hit,mrad,2.26769,53.4261,-6.00949,34.6977,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,ty,hit,mrad,1.10631,15.2641,0.880586,6.64296,500,5
w128_d2_q02_data_s0,128,2,2,data,0,1000 mm,backward,max_xy,hit,um,7031.58,157574,37667.9,127479,500,5
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,x,fine,um,2871.32,44056.7,1515.58,22827.1,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,y,fine,um,1441.73,24624.3,-475.416,12061.9,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,tx,fine,mrad,0.896074,20.6254,-0.0869688,18.5642,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,ty,fine,mrad,0.631185,9.20076,-0.289076,5.45173,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,max_xy,fine,um,3915.59,49425.7,11085.5,24151.1,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,x,hit,um,3346.81,42037.7,2157.11,23284.5,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,y,hit,um,1874.33,27763.3,-457.754,13482.7,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,tx,hit,mrad,1.02184,21.7622,-0.023296,18.7202,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,ty,hit,mrad,0.79522,9.82519,-0.31888,5.77641,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,all,max_xy,hit,um,4586.63,51888.8,12248.4,25346.6,1000,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,x,fine,um,3444.82,40325,1851.33,24512.6,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,y,fine,um,1262.42,20409.7,-143.499,10096.8,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,tx,fine,mrad,0.856978,19.0753,1.29289,10.6594,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,ty,fine,mrad,0.697967,9.00276,-0.250982,4.01753,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,max_xy,fine,um,4363.92,42984.2,10941.3,25481.7,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,x,hit,um,3698.53,38784.1,2714.56,24997.4,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,y,hit,um,1924.48,22883.5,-184.762,12665.2,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,tx,hit,mrad,1.01047,21.2516,1.61443,11.0164,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,ty,hit,mrad,0.866922,9.56328,-0.262458,4.48689,500,1
