track,row,evt,mckey,direction,p_GeV,eta,pid,z0_mm,z1_mm,dz_mm,hit_z_mm,hit_minus_far_plane_z_mm,hit_vs_reference_um
301,58592,54,9088,1,2.60055,3.02389,-211,2641.846436,7828.167969,5186.321533,7828.167767,-2.022e-04,7528.14
302,58595,54,10791,1,7.37074,3.23972,211,2648.153564,7824.006836,5175.853271,7824.006832,-3.438e-06,1200.67
303,58596,54,11041,1,5.91147,2.69186,321,2648.153564,7829.377441,5181.223877,7829.377371,-7.041e-05,3844.96
304,58598,54,11673,1,2.39281,2.92494,211,2663.153564,7826.841797,5163.688232,7826.841956,1.591e-04,17414.1
305,58601,54,12840,1,3.27234,3.28595,-211,2648.153564,7825.840820,5177.687256,7825.840705,-1.158e-04,6608.31
306,58604,56,1428,1,9.72869,4.90926,-211,2663.153564,7825.905762,5162.752197,7825.905888,1.268e-04,6251.75
307,58606,56,1961,1,10.5974,3.33396,211,2656.846436,7824.348633,5167.502197,7824.348858,2.257e-04,1022.43
308,58608,56,2879,1,3.40819,2.95924,-2212,2641.846436,7826.625488,5184.779053,7826.625458,-3.028e-05,2633.16
309,58610,56,3279,1,6.98781,2.25387,2212,2663.153564,7821.314453,5158.160889,7821.314632,1.794e-04,374.904
310,58612,57,1180,1,4.09678,3.11652,-2212,2663.153564,7828.502441,5165.348877,7828.502594,1.521e-04,4064.6
311,58614,57,1591,1,12.887,3.21843,2212,2648.153564,7824.555176,5176.401611,7824.555078,-9.778e-05,762.742
312,58616,58,2220,1,2.3062,4.12855,-211,2641.846436,7826.622559,5184.776123,7826.622340,-2.186e-04,15825.6
313,58618,58,3367,1,19.8972,2.96225,211,2641.846436,7828.998535,5187.152100,7828.998346,-1.892e-04,479.084
314,58620,58,3409,1,24.806,3.08933,-211,2641.846436,7828.655273,5186.808838,7828.655218,-5.544e-05,612.959
315,58622,58,4534,1,6.09661,3.16163,-211,2641.846436,7828.406250,5186.559814,7828.406195,-5.550e-05,2151.3
316,58625,60,977,1,5.94101,3.09871,-321,2656.846436,7825.322266,5168.475830,7825.322441,1.754e-04,1658.19
317,58627,60,982,1,32.4721,4.15833,-321,2663.153564,7825.733887,5162.580322,7825.733974,8.728e-05,376.357
318,58629,60,3929,1,4.85968,3.03324,211,2641.846436,7827.057129,5185.210693,7827.057182,5.259e-05,1857.07
319,58631,60,5660,1,8.48881,2.30283,321,2656.846436,7826.735352,5169.888916,7826.735458,1.064e-04,1599.21
320,58633,60,6265,1,10.5828,3.89642,211,2641.846436,7826.921875,5185.075439,7826.921772,-1.025e-04,888.382
321,58634,60,7122,1,11.8535,4.77725,211,2641.846436,7825.642090,5183.795654,7825.642066,-2.434e-05,4053.19
322,58636,60,7853,1,3.65803,3.25757,211,2641.846436,7825.980957,5184.134521,7825.980793,-1.640e-04,2709
323,58638,61,443,1,3.90497,2.8199,-211,2641.846436,7823.077637,5181.231201,7823.077764,1.273e-04,2654.95
324,58640,61,783,1,4.75248,2.03877,2212,2648.153564,7828.516113,5180.362549,7828.515988,-1.253e-04,1059.11
325,58642,62,491,1,14.2251,3.2835,2212,2641.846436,7827.337402,5185.490967,7827.337407,4.156e-06,246.641
326,58644,62,1225,1,4.1688,3.69196,321,2663.153564,7824.825195,5161.671631,7824.825002,-1.938e-04,5369.66
327,58646,63,2156,1,9.91992,3.30551,-211,2641.846436,7824.171387,5182.324951,7824.171245,-1.422e-04,1243.13
328,58648,63,2179,1,3.5874,2.29338,-211,2641.846436,7821.088379,5179.241943,7821.088218,-1.614e-04,3325.46
329,58650,63,2191,1,8.33449,2.12566,-2212,2663.153564,7824.471191,5161.317627,7824.470962,-2.294e-04,1167.62
330,58652,63,2394,1,4.49968,3.36998,211,2641.846436,7827.471191,5185.624756,7827.471413,2.216e-04,1553.49
331,58657,63,6744,1,10.318,3.75216,211,2648.153564,7826.791016,5178.637451,7826.790861,-1.551e-04,822.618
332,58659,63,7453,1,4.78457,3.54715,211,2663.153564,7825.674805,5162.521240,7825.674571,-2.342e-04,4676.27
333,58661,63,8718,1,2.99736,2.34556,211,2648.153564,7823.475098,5175.321533,7823.475083,-1.466e-05,5556.52
334,58663,63,8973,1,18.8043,3.86536,-321,2663.153564,7824.991211,5161.837646,7824.991313,1.021e-04,336.351
335,58665,63,10661,1,3.05023,3.29022,211,2663.153564,7827.484375,5164.330811,7827.484314,-6.150e-05,5746.2
336,58667,64,2005,1,33.217,4.92376,-211,2656.846436,7826.284180,5169.437744,7826.284419,2.393e-04,997.744
337,58669,64,3496,1,16.0162,4.93517,211,2656.846436,8508.176758,5851.330322,8508.177009,2.517e-04,2079.93
338,58671,65,1359,1,8.55195,4.61005,211,2656.846436,7826.427246,5169.580811,7826.427035,-2.106e-04,15090.2
339,58673,65,1397,1,5.02189,4.89294,211,2656.846436,7826.511719,5169.665283,7826.511941,2.223e-04,3919.21
340,58675,65,2085,1,32.8737,4.57793,211,2663.153564,7825.616699,5162.463135,7825.616765,6.528e-05,297.929
341,58677,65,3025,1,27.6627,4.61511,211,2663.153564,7826.644043,5163.490479,7826.644250,2.065e-04,526.91
342,58678,66,1405,1,11.3054,4.36051,211,2663.153564,7826.880371,5163.726807,7826.880269,-1.016e-04,826.464
343,58680,66,2731,1,15.4111,4.20703,211,2641.846436,7826.848633,5185.002197,7826.848766,1.332e-04,135.807
344,58682,66,2996,1,11.8437,4.32409,-2212,2648.153564,7826.529297,5178.375732,7826.529140,-1.569e-04,125.66
345,58684,66,3440,1,3.2423,3.12855,-211,2656.846436,7827.523438,5170.677002,7827.523218,-2.195e-04,5855.97
346,58685,67,1089,1,4.36384,3.03441,211,2641.846436,7826.820312,5184.973877,7826.820162,-1.505e-04,1415
347,58687,67,1688,1,3.99709,3.95968,211,2648.153564,7826.373047,5178.219482,7826.372925,-1.219e-04,2800.65
348,58689,68,720,1,3.58569,2.60931,2212,2663.153564,7823.324707,5160.171143,7823.324475,-2.325e-04,1873.8
349,58691,68,1766,1,2.59411,2.60059,211,2648.153564,7825.076172,5176.922607,7825.076129,-4.287e-05,7487.36
350,58693,68,2701,1,3.43645,2.49822,-211,2648.153564,7821.527344,5173.373779,7821.527557,2.133e-04,7566.65
351,58695,68,2858,1,3.90072,2.79121,211,2656.846436,7826.744141,5169.897705,7826.743956,-1.851e-04,2414.42
352,58697,68,3060,1,9.60622,4.84471,211,2641.846436,7825.838867,5183.992432,7825.839082,2.148e-04,1973.59
353,58699,68,3244,1,7.75161,2.99712,2212,2648.153564,7827.545410,5179.391846,7827.545232,-1.787e-04,189.456
354,58700,68,3610,1,16.6691,4.29202,-211,2663.153564,7826.799316,5163.645752,7826.799262,-5.441e-05,506.592
355,58701,69,2292,1,6.96698,3.12061,211,2663.153564,7826.368652,5163.215088,7826.368527,-1.253e-04,1202.8
356,58703,69,3421,1,58.5045,3.86955,-321,2663.153564,7825.914551,5162.760986,7825.914589,3.822e-05,67.4244
357,58705,69,3422,1,25.6746,4.11391,321,2648.153564,7826.480957,5178.327393,7826.481136,1.790e-04,155.115
358,58706,69,3916,1,2.69512,4.01956,211,2656.846436,7826.248535,5169.402100,7826.248714,1.788e-04,15035.6
359,58708,69,4080,1,61.0638,4.21967,2212,2663.153564,7825.787109,5162.633545,7825.787178,6.863e-05,101.318
360,58710,69,4107,1,5.34735,4.64964,211,2648.153564,7825.557129,5177.403564,7825.557159,3.009e-05,1526.98
361,58712,69,5525,1,11.3402,4.63731,-211,2641.846436,7825.757812,5183.911377,7825.757878,6.500e-05,4977.25
362,58714,69,5610,1,4.27966,3.51033,-2212,2648.153564,7827.445312,5179.291748,7827.445311,-1.000e-06,2911.04
363,58716,69,7085,1,2.93577,2.53833,-211,2641.846436,7823.667969,5181.821533,7823.667995,2.575e-05,3231.54
364,58718,70,531,1,7.14261,4.30468,211,2656.846436,7826.210938,5169.364502,7826.210912,-2.600e-05,1326.53
365,58721,70,1043,1,9.55617,3.99342,211,2641.846436,7827.055664,5185.209229,7827.055884,2.194e-04,2702.26
366,58723,71,2722,1,5.53876,3.55057,-13,2641.846436,7824.627441,5182.781006,7824.627370,-7.141e-05,1628.08
367,58725,71,4627,1,3.13372,4.41233,211,2641.846436,7826.033203,5184.186768,7826.033196,-7.125e-06,8706.29
368,58728,72,1278,1,5.21316,3.63012,211,2641.846436,7824.630371,5182.783936,7824.630486,1.149e-04,3119.7
369,58731,72,3587,1,16.5791,2.41619,-211,2656.846436,7821.718750,5164.872314,7821.718644,-1.065e-04,591.979
370,58733,72,3995,1,3.56696,2.65961,211,2663.153564,7822.221191,5159.067627,7822.221303,1.111e-04,4480.03
371,58735,72,4099,1,2.025,2.85995,211,2663.153564,7824.987305,5161.833740,7824.987434,1.288e-04,12951.5
372,58737,73,870,1,7.37426,3.81989,-211,2656.846436,8036.154297,5379.307861,8036.154325,2.862e-05,1705.06
373,58738,73,1708,1,2.72645,2.75986,211,2641.846436,7822.340332,5180.493896,7822.340127,-2.050e-04,13932.8
374,58740,73,4303,1,4.59973,2.33743,211,2656.846436,7831.454102,5174.607666,7831.454328,2.264e-04,2463.32
375,58743,73,6119,1,35.4119,4.32601,321,2656.846436,7825.342285,5168.495850,7825.342341,5.634e-05,175.331
376,58744,74,1618,1,142.159,4.7788,211,2656.846436,7826.576172,5169.729736,7826.575943,-2.284e-04,143.788
377,58746,74,2533,1,3.53119,3.62234,-211,2663.153564,7895.357422,5232.203857,7895.357332,-8.987e-05,9793.49
378,58747,74,3964,1,3.14132,2.89563,-211,2656.846436,7824.979004,5168.132568,7824.979209,2.046e-04,5467.2
379,58749,74,8064,1,15.1607,3.30133,211,2641.927734,7824.091797,5182.164062,7824.091938,1.411e-04,515.863
380,58751,74,8073,1,5.96713,2.92144,211,2648.153564,7823.787598,5175.634033,7823.787399,-1.987e-04,3983.73
381,58754,74,8359,1,6.21042,3.86438,211,2648.153564,7826.312500,5178.158936,7826.312321,-1.785e-04,12989.6
382,58756,74,8912,1,77.2435,4.7718,-2212,2663.153564,7825.637695,5162.484131,7825.637465,-2.298e-04,76.7833
383,58758,74,10151,1,8.41706,3.24367,321,2663.153564,7824.007324,5160.853760,7824.007129,-1.957e-04,1503.89
384,58759,74,11924,1,19.9498,3.25947,-321,2656.846436,7826.641113,5169.794678,7826.641049,-6.428e-05,883.709
385,58761,74,12114,1,3.04244,2.62171,-211,2656.846436,7829.784180,5172.937744,7829.784285,1.053e-04,7476.85
386,58762,74,12189,1,10.6083,3.87672,321,2663.153564,7825.932617,5162.779053,7825.932490,-1.272e-04,803.002
387,58764,74,14177,1,37.413,4.62154,211,2648.153564,7825.558105,5177.404541,7825.558060,-4.597e-05,139.886
388,58765,74,15324,1,21.2387,4.24783,321,2641.846436,7826.767090,5184.920654,7826.766860,-2.303e-04,897.117
389,58766,75,2485,1,4.30219,4.36279,211,2641.846436,7825.862305,5184.015869,7825.862291,-1.369e-05,6516.68
390,58768,75,2890,1,3.71649,2.47562,2212,2656.846436,7821.861328,5165.014893,7821.861338,9.875e-06,3523.82
391,58770,75,3811,1,16.3408,3.88093,-211,2648.153564,7825.209473,5177.055908,7825.209531,5.784e-05,342.295
392,58772,77,2891,1,9.47715,3.72679,321,2648.153564,7826.912109,5178.758545,7826.912270,1.606e-04,1366.15
393,58775,77,6885,1,7.44179,3.42019,-211,2648.153564,7826.689453,5178.535889,7826.689553,9.988e-05,264.63
394,58777,77,7095,1,9.04132,4.18784,211,2656.846436,7825.296387,5168.449951,7825.296539,1.523e-04,1947.43
395,58779,77,7249,1,13.0779,4.38731,211,2663.153564,7826.608398,5163.454834,7826.608246,-1.524e-04,1740.88
396,58781,77,7322,1,22.8023,4.00371,-211,2648.153564,7825.171875,5177.018311,7825.171728,-1.475e-04,119.655
397,58783,78,906,1,4.12452,4.41278,211,2641.846436,7826.023926,5184.177490,7826.023699,-2.263e-04,22744
398,58785,78,924,1,21.4816,3.79592,-321,2641.846436,7825.540527,5183.694092,7825.540358,-1.698e-04,771.114
399,58787,78,1773,1,2.88408,4.08127,-211,2656.846436,7825.198730,5168.352295,7825.198734,4.031e-06,22757.2
400,58790,78,2699,1,8.24761,4.02935,2212,2641.846436,7826.813965,5184.967529,7826.814062,9.716e-05,923.138
401,58792,78,3400,1,3.89017,2.57686,-2212,2641.846436,7828.255859,5186.409424,7828.255689,-1.709e-04,3841.23
402,58794,78,4527,1,2.39955,2.51224,-211,2663.153564,7821.904297,5158.750732,7821.904121,-1.764e-04,13551.8
403,58796,79,2414,1,4.4665,2.27182,-321,2656.846436,7820.542480,5163.696045,7820.542369,-1.115e-04,5089.51
404,58799,79,3512,1,5.5233,2.95923,321,2663.153564,7823.482910,5160.329346,7823.483090,1.803e-04,1888.98
405,58802,79,6256,1,2.97755,2.04144,2212,2648.153564,7831.258789,5183.105225,7831.258994,2.054e-04,3344.86
406,58806,79,8298,1,62.3364,4.6476,211,2648.153564,7826.597168,5178.443604,7826.597045,-1.230e-04,198.444
407,58807,79,8370,1,30.2463,3.59694,211,2663.153564,7827.161133,5164.007568,7827.161292,1.587e-04,367.36
408,58809,79,10446,1,3.3527,2.36258,-13,2663.244141,7821.152832,5157.908691,7821.152830,-2.031e-06,7351.75
409,58812,80,2326,1,3.1126,2.32218,211,2641.846436,7822.291504,5180.445068,7822.291504,5.937e-07,8257.67
410,58814,80,2501,1,7.7921,3.51169,-211,2648.153564,7824.657715,5176.504150,7824.657482,-2.333e-04,1337.07
411,58815,80,2689,1,3.84616,2.68508,321,2656.846436,7828.242188,5171.395752,7828.242076,-1.115e-04,4356.96
412,58818,81,2473,1,6.81315,3.98503,-211,2663.153564,7825.080566,5161.927002,7825.080621,5.409e-05,1074.32
413,58820,81,2739,1,2.5173,3.17552,211,2641.846436,7828.465820,5186.619385,7828.465876,5.519e-05,7598.8
414,58822,81,3128,1,11.1828,4.98819,211,2641.846436,7825.722168,5183.875732,7825.722173,5.031e-06,4070.6
415,58824,82,803,1,8.9968,3.78467,211,2648.153564,7825.127930,5176.974365,7825.128125,1.953e-04,1503.8
416,58826,82,857,1,3.67957,3.41245,-211,2663.153564,7827.319824,5164.166260,7827.319699,-1.247e-04,3894.57
417,58828,83,3381,1,7.48232,3.02542,-211,2656.846436,7827.628418,5170.781982,7827.628630,2.125e-04,1601
418,58830,83,4476,1,8.97809,3.0776,211,2641.846436,7827.017090,5185.170654,7827.016980,-1.098e-04,803.937
419,58832,84,2324,1,12.7136,3.39928,321,2641.846436,7827.644043,5185.797607,7827.644031,-1.197e-05,1103.97
420,58834,84,2527,1,4.44988,2.99975,211,2663.153564,7823.326660,5160.173096,7823.326544,-1.157e-04,110930
421,58836,85,1429,1,6.25628,3.3546,211,2641.846436,7827.333496,5185.487061,7827.333705,2.084e-04,599.225
422,58837,85,2971,1,29.0759,4.55024,321,2641.846436,7825.584961,5183.738525,7825.584760,-2.004e-04,160.338
423,58839,85,3201,1,5.21527,2.19091,-211,2656.846436,7819.671387,5162.824951,7819.671299,-8.822e-05,2145.38
424,58841,85,3333,1,22.05,3.01623,-321,2656.846436,7822.719238,5165.872803,7822.719166,-7.228e-05,276.772
425,58843,85,3616,1,5.69082,4.54965,-211,2663.153564,7826.699219,5163.545654,7826.699054,-1.643e-04,3841.26
426,58845,86,2148,1,2.39305,2.69167,211,2663.153564,7828.848633,5165.695068,7828.848395,-2.378e-04,11516.7
427,58847,86,2332,1,2.7779,2.57259,-211,2656.846436,7822.213867,5165.367432,7822.213824,-4.369e-05,8015.5
428,58849,87,1578,1,16.4129,4.13676,321,2641.846436,7826.905762,5185.059326,7826.905970,2.088e-04,846.015
429,58851,87,3803,1,7.06972,2.73075,211,2648.153564,7822.900391,5174.746826,7822.900245,-1.461e-04,218.294
430,58853,87,3847,1,8.17559,2.97836,-211,2648.153564,7828.500488,5180.346924,7828.500501,1.222e-05,1777.55
431,58855,87,6637,1,8.08252,3.716,211,2648.153564,7827.175781,5179.022217,7827.175992,2.108e-04,2079.1
432,58857,87,8116,1,3.62678,2.62953,211,2648.153564,7822.392090,5174.238525,7822.392007,-8.334e-05,2734.47
433,58859,87,10570,1,26.0318,4.40936,211,2648.153564,7826.569336,5178.415771,7826.569243,-9.294e-05,498.613
434,58861,87,11497,1,8.71302,4.52893,211,2641.846436,7825.626953,5183.780518,7825.626765,-1.886e-04,1662.88
435,58863,87,11555,1,3.50888,3.20701,211,2648.153564,7824.198730,5176.045166,7824.198755,2.403e-05,8363.88
436,58864,87,11561,1,4.04463,3.16117,-211,2648.153564,7828.135742,5179.982178,7828.135868,1.253e-04,1898.64
437,58866,88,775,1,3.55439,2.25259,-211,2641.846436,7821.220215,5179.373779,7821.220310,9.466e-05,1514.4
438,58868,88,3947,1,33.7668,4.65141,-211,2663.153564,7825.879395,5162.725830,7825.879586,1.910e-04,141.44
439,58870,88,5422,1,4.01796,2.60561,-211,2648.153564,7823.044434,5174.890869,7823.044359,-7.509e-05,1731.1
440,58872,88,5801,1,2.78938,2.57889,-211,2648.153564,7822.698242,5174.544678,7822.698350,1.073e-04,16563
441,58874,88,6139,1,53.8924,4.92066,-211,2656.846436,8508.467773,5851.621338,8508.468032,2.586e-04,410.623
442,58876,89,6152,1,18.6981,4.35125,211,2656.846436,7826.547363,5169.700928,7826.547140,-2.228e-04,2312.56
443,58877,89,6343,1,20.7222,4.43013,211,2648.153564,7825.506348,5177.352783,7825.506255,-9.316e-05,530.953
444,58879,89,6387,1,8.77886,4.0626,-211,2656.846436,7825.500000,5168.653564,7825.500154,1.540e-04,431.216
445,58882,90,1571,1,31.0269,4.75988,211,2641.846436,7825.632324,5183.785889,7825.632365,4.028e-05,2264.83
446,58885,90,1916,1,8.38874,3.73275,-321,2656.846436,7827.164551,5170.318115,7827.164494,-5.728e-05,1909.15
447,58887,90,2994,1,2.37482,2.48956,211,2648.153564,7828.937500,5180.783936,7828.937408,-9.250e-05,7321.07
448,58888,91,1165,1,5.46184,3.95348,211,2663.153564,7825.648926,5162.495361,7825.649167,2.417e-04,265.467
449,58892,91,1774,1,3.64503,2.88436,-321,2656.846436,7827.985840,5171.139404,7827.985759,-8.084e-05,7231.58
450,58895,91,2928,1,5.59591,2.84678,211,2641.846436,7823.397461,5181.551025,7823.397484,2.306e-05,3252.44
451,58897,92,1367,1,8.79667,4.95421,211,2663.153564,7825.477051,5162.323486,7825.477252,2.017e-04,8975.45
452,58899,92,1754,1,15.8152,3.6996,-211,2663.153564,7825.986816,5162.833252,7825.986795,-2.191e-05,68.4018
453,58901,92,2250,1,4.76567,3.61593,211,2641.846436,7825.707031,5183.860596,7825.706873,-1.582e-04,2419.84
454,58903,92,3050,1,5.36576,2.23568,-211,2648.153564,7828.355957,5180.202393,7828.355996,3.897e-05,2920.13
455,58905,93,916,1,9.36947,4.76208,211,2641.846436,7825.813477,5183.967041,7825.813680,2.034e-04,4913.28
456,58907,93,2238,1,9.91887,3.79935,-211,2641.846436,7824.965820,5183.119385,7824.965910,8.969e-05,2572.93
457,58908,93,3177,1,7.5704,3.84861,-211,2648.153564,7826.164551,5178.010986,7826.164610,5.872e-05,1159.66
458,58910,93,3417,1,3.68879,3.01568,211,2648.153564,7897.425293,5249.271729,7897.425224,-6.897e-05,4921.8
459,58913,94,1089,1,2.8857,2.75279,-2212,2656.846436,7827.891113,5171.044678,7827.890999,-1.143e-04,1724.53
460,58915,94,1251,1,19.691,2.96029,2212,2648.153564,7828.214355,5180.060791,7828.214280,-7.547e-05,95.2375
461,58917,94,2763,1,5.52774,3.96174,211,2663.153564,7826.791992,5163.638428,7826.791860,-1.322e-04,3239.95
462,58919,95,1830,1,5.4429,3.34095,211,2648.153564,7826.652344,5178.498779,7826.652248,-9.575e-05,2357.98
463,58921,95,2095,1,21.6518,4.35471,-211,2656.846436,7825.381836,5168.535400,7825.381745,-9.094e-05,293.818
464,58923,95,2648,1,6.03763,3.61556,-211,2648.153564,7824.958984,5176.805420,7824.958911,-7.288e-05,3139.93
465,58925,95,3028,1,6.66261,3.49279,2212,2656.846436,7824.940918,5168.094482,7824.941098,1.800e-04,1383.51
466,58928,95,5152,1,10.3869,2.93012,211,2641.846436,7828.404785,5186.558350,7828.404594,-1.912e-04,2178.82
467,58930,96,2402,1,4.28401,2.61744,211,2648.153564,7829.143555,5180.989990,7829.143734,1.793e-04,3331.66
468,58933,96,2625,1,6.35572,3.68085,-211,2663.153564,7824.653320,5161.499756,7824.653286,-3.381e-05,1991.97
469,58935,96,2998,1,3.51319,3.41988,211,2656.846436,7826.172363,5169.325928,7826.172210,-1.538e-04,2592.4
470,58936,96,3613,1,9.20306,2.88714,-211,2641.846436,7829.054199,5187.207764,7829.054166,-3.322e-05,1759.35
471,58937,96,4715,1,12.255,4.31148,-211,2656.846436,7825.581055,5168.734619,7825.581261,2.068e-04,1139.4
472,58939,96,6119,1,11.9792,3.39836,211,2663.153564,7825.168457,5162.014893,7825.168526,6.897e-05,838.648
473,58941,97,1089,1,3.62235,2.82046,-211,2656.846436,7829.439941,5172.593506,7829.439766,-1.754e-04,4194.3
474,58944,97,2343,1,7.44514,3.76497,211,2656.846436,7827.360840,5170.514404,7827.360812,-2.734e-05,2102.47
475,58946,98,607,1,7.47146,4.01789,211,2663.153564,7826.825195,5163.671631,7826.825263,6.719e-05,3515.84
476,58948,98,2050,1,2.91483,2.37506,-211,2641.846436,7830.271484,5188.425049,7830.271416,-6.788e-05,23001.5
477,58950,98,3705,1,45.9392,4.8543,-211,2648.153564,8578.318359,5930.164795,8578.318136,-2.234e-04,3058.98
478,58952,99,2016,1,13.834,3.50134,-321,2663.153564,7825.391113,5162.237549,7825.390945,-1.678e-04,605.663
479,58954,99,4179,1,7.44787,2.71143,211,2648.153564,7823.503418,5175.349854,7823.503591,1.725e-04,2640.87
480,58957,100,967,1,4.41044,3.21317,-13,2663.153564,7827.735840,5164.582275,7827.735633,-2.068e-04,3627.28
481,58959,100,1286,1,8.94118,3.15487,211,2648.153564,7827.529297,5179.375732,7827.529322,2.463e-05,1606.09
482,58961,100,1308,1,5.35567,3.89633,-211,2663.153564,7827.125000,5163.971436,7827.124789,-2.115e-04,2132.98
483,58963,100,2123,1,3.34773,2.842,211,2648.153564,7826.642578,5178.489014,7826.642643,6.488e-05,2828.46
484,58966,100,2401,1,2.9134,3.91333,2212,2641.846436,7825.416016,5183.569580,7825.415839,-1.771e-04,736.161
485,58968,100,3641,1,2.95833,3.34067,321,2663.153564,7825.977539,5162.823975,7825.977595,5.544e-05,4919.13
486,58970,100,3702,1,14.3673,3.08963,2212,2648.153564,7825.484863,5177.331299,7825.484952,8.922e-05,166.914
487,58972,100,4935,1,11.432,4.26654,-211,2641.846436,7826.912109,5185.065674,7826.912271,1.621e-04,715.817
488,58975,100,9886,1,10.9599,3.85627,-2212,2641.846436,7826.691895,5184.845459,7826.691753,-1.415e-04,281.218
489,58977,100,10086,1,15.2607,4.78489,211,2648.153564,7826.582031,5178.428467,7826.581944,-8.725e-05,953.602
490,58979,101,1324,1,5.57584,3.903,211,2641.846436,7827.077637,5185.231201,7827.077784,1.473e-04,2050.07
491,58981,101,2020,1,6.66302,2.03486,211,2608.153564,7833.025879,5224.872314,7833.025758,-1.204e-04,2273.27
492,58983,101,3937,1,2.62872,4.15629,211,2641.846436,7826.981934,5185.135498,7826.981970,3.591e-05,11865.1
493,58985,101,4132,1,4.49137,2.5725,211,2648.153564,7828.636230,5180.482666,7828.636401,1.710e-04,2414.77
494,58987,101,5179,1,8.89089,3.46943,211,2641.846436,7827.407715,5185.561279,7827.407712,-3.344e-06,1161.34
495,58989,101,6857,1,10.475,2.50611,-211,2648.153564,7825.972656,5177.819092,7825.972594,-6.275e-05,1184.23
496,58990,101,8987,1,4.69161,3.46125,211,2648.153564,7826.135742,5177.982178,7826.135709,-3.319e-05,22628
497,58991,101,9182,1,4.23341,3.34048,321,2656.846436,7826.402344,5169.555908,7826.402429,8.525e-05,7171.02
498,58993,102,1628,1,43.9324,4.15184,-211,2648.153564,7825.254395,5177.100830,7825.254534,1.390e-04,221.658
499,58995,102,3412,1,30.395,3.81114,-211,2648.153564,7825.279297,5177.125732,7825.279437,1.401e-04,221.774
500,58001,0,1826,-1,23.2092,4.47641,211,7825.870605,2641.846436,-5184.024170,2641.846500,6.445e-05,323.098
501,58003,0,4536,-1,4.11373,3.29096,211,7828.125000,2656.846436,-5171.278564,2656.846500,6.445e-05,3964.89
502,58005,0,5065,-1,10.1744,2.63948,211,7824.627441,2656.846436,-5167.781006,2656.846500,6.445e-05,659.987
503,58007,0,5335,-1,3.27352,2.47668,211,7822.839355,2648.153564,-5174.685791,2648.153500,-6.445e-05,3335.1
504,58012,1,1239,-1,4.80797,2.45713,211,7823.761230,2656.846436,-5166.914795,2656.846500,6.445e-05,3131.96
505,58014,1,1251,-1,7.09959,3.0505,-211,7824.486816,2663.153564,-5161.333252,2663.153500,-6.445e-05,1600.16
506,58016,1,2668,-1,16.9246,4.13331,-211,7825.563477,2656.846436,-5168.717041,2656.846500,6.445e-05,242.769
507,58018,1,2945,-1,3.72526,2.76667,-211,7893.429199,2648.153564,-5245.275635,2648.153500,-6.445e-05,3058.83
508,58020,1,3103,-1,18.5889,4.9022,211,7826.239746,2648.153564,-5178.086182,2648.153500,-6.445e-05,399.831
509,58022,2,524,-1,12.4575,4.9696,211,7826.484863,2648.153564,-5178.331299,2648.153500,-6.445e-05,409.328
510,58025,2,3014,-1,6.3949,3.17818,-211,9193.254883,2648.153564,-6545.101318,2648.153500,-6.445e-05,6370.92
511,58028,3,1535,-1,2.57619,2.52466,-211,7826.850586,2641.846436,-5185.004150,2641.846500,6.445e-05,6868.42
512,58030,3,3106,-1,18.0717,4.87863,2212,7825.704590,2641.846436,-5183.858154,2641.846500,6.445e-05,249.143
513,58032,3,3917,-1,16.838,4.73579,-211,7825.693848,2663.153564,-5162.540283,2663.153500,-6.445e-05,3479.7
514,58035,3,4663,-1,3.33504,2.56434,-211,7822.070801,2663.153564,-5158.917236,2663.153500,-6.445e-05,8136.69
515,58037,3,4688,-1,6.5884,3.27768,211,7823.953613,2656.846436,-5167.107178,2656.846500,6.445e-05,753.578
516,58039,3,5429,-1,7.16307,4.67844,-321,7826.400879,2656.846436,-5169.554443,2656.846500,6.445e-05,1212.3
517,58042,3,6910,-1,28.1998,4.59297,321,7825.542480,2648.153564,-5177.388916,2648.153500,-6.445e-05,185.628
518,58043,3,6915,-1,13.5955,4.3429,-211,7896.322266,2648.153564,-5248.168701,2648.153500,-6.445e-05,598.849
519,58045,3,6976,-1,13.2366,3.21218,-211,7823.901855,2648.153564,-5175.748291,2648.153500,-6.445e-05,727.141
520,58047,3,7701,-1,4.78728,3.21628,211,7824.956055,2648.153564,-5176.802490,2648.153500,-6.445e-05,2941.53
521,58050,4,1985,-1,6.93853,2.9563,2212,7824.532227,2641.846436,-5182.685791,2641.846500,6.445e-05,533.117
522,58052,4,2460,-1,4.17406,3.08132,211,7823.952148,2663.153564,-5160.798584,2663.153500,-6.445e-05,2366.49
523,58054,4,4156,-1,3.67784,3.01331,-211,7827.182617,2663.153564,-5164.029053,2663.153500,-6.445e-05,6207.24
524,58057,5,555,-1,2.86035,2.26037,2212,7823.795898,2641.846436,-5181.949463,2641.846500,6.445e-05,1654.9
525,58059,5,1809,-1,5.17609,2.33227,211,7821.660645,2641.846436,-5179.814209,2641.846500,6.445e-05,3752.22
526,58061,6,2551,-1,29.2846,3.63468,2212,7825.939453,2641.846436,-5184.093018,2641.846500,6.445e-05,95.858
527,58063,6,3095,-1,14.2918,2.81526,321,7823.444824,2641.846436,-5181.598389,2641.846500,6.445e-05,884.239
528,58065,6,3452,-1,41.0771,4.5188,321,7826.379883,2648.153564,-5178.226318,2648.153500,-6.445e-05,279.814
