leg,EVT,MCKEY,P_GeV,ETA,direction,p_band,z0,z1,measurement,step_mm,reference_step_mm,integrator,field,pos_um,slope_urad
149,175,3343,18.313278198242188,4.128032207489014,-1,10-25,7826.34765625,2648.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.1697238733177073e-06,1.140101901775381e-06
150,162,4461,10.399520874023438,4.543920040130615,-1,10-25,7825.53759765625,2648.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,8.79737882542031e-06,4.170827311994474e-06
151,33,5797,19.7486515045166,4.68271541595459,-1,10-25,7826.6328125,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.078019201157133e-06,1.1720312220742102e-06
152,18,17741,24.343280792236328,3.6453962326049805,-1,10-25,7825.330078125,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,4.491127469918865e-06,1.6701570682009503e-06
153,134,3125,13.080826759338379,4.497110366821289,-1,10-25,7826.5986328125,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,9.168843462248333e-07,1.8538295898373747e-07
154,54,8575,15.76700496673584,4.532710075378418,-1,10-25,7826.61328125,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.8805366980577674e-06,7.403123253313382e-07
155,45,3060,14.953503608703613,3.955437183380127,-1,10-25,7826.71142578125,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,5.29909982560639e-06,2.1987099640963237e-06
156,143,4144,10.947333335876465,4.702264785766602,-1,10-25,7825.64599609375,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.3952289041062613e-06,1.4814881092728438e-06
157,43,1414,19.935012817382812,4.493618965148926,-1,10-25,7825.7744140625,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.710613955514418e-07,3.77118475336502e-07
158,7,1254,17.057903289794922,3.4214560985565186,-1,10-25,7824.3720703125,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.4885017662891187e-06,7.496885057189928e-07
159,199,6534,16.54720115661621,3.58400821685791,-1,10-25,7824.75732421875,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.980538399948273e-06,9.191709893219269e-07
160,124,10453,30.026302337646484,4.574707984924316,1,25-200,2663.153564453125,7825.57763671875,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.195037041019532e-06,5.517877821326067e-07
161,177,1824,53.91982650756836,4.150137901306152,1,25-200,2641.846435546875,7826.80029296875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.556969664306962e-06,3.088015954055834e-07
162,71,5369,27.46091651916504,4.923362731933594,1,25-200,2656.846435546875,7966.50048828125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.151992362087185e-06,5.456468610276488e-07
163,42,3925,39.86094284057617,4.051421165466309,1,25-200,2656.846435546875,7825.17138671875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.2550156469615104e-06,4.0840247850226774e-07
164,53,1222,28.406078338623047,3.7336325645446777,1,25-200,2656.846435546875,7826.8427734375,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.1721965620381525e-06,5.837632894439837e-07
165,129,6397,25.61956214904785,4.642716884613037,1,25-200,2656.846435546875,7826.41650390625,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.69298539024021e-06,6.401199015293457e-07
166,19,5836,65.4066162109375,4.602614879608154,1,25-200,2648.153564453125,7826.33447265625,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.3444036994769704e-06,2.49293641285675e-07
167,27,2988,26.964534759521484,4.99270486831665,1,25-200,2663.153564453125,7825.8759765625,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.4781456886557862e-06,6.070005609259965e-07
168,177,1831,109.62474060058594,3.8279995918273926,1,25-200,2656.846435546875,7826.58740234375,difference from the finest step,0.2,0.05,RK6,v8r1.up,4.0742520468484145e-07,1.4998419173295474e-07
169,186,2133,70.14810943603516,4.601261615753174,1,25-200,2648.153564453125,7895.3515625,difference from the finest step,0.2,0.05,RK6,v8r1.up,7.38485272933076e-07,2.3453287922858834e-07
170,36,1705,26.221031188964844,4.094054222106934,1,25-200,2663.153564453125,7825.98095703125,difference from the finest step,0.2,0.05,RK6,v8r1.up,3.059085429413244e-06,6.280531650304511e-07
171,19,4469,61.040557861328125,4.988717079162598,1,25-200,2641.846435546875,7826.01025390625,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.2827001683035633e-06,2.6643964812222976e-07
