predictor,arch,mode,seed,stratum,p_band,direction,n,median_abs_dz_mm,vs_hit_med_um,vs_hit_p95_um,vs_reference_med_um,vs_reference_p95_um
fine reference (material floor),-,-,-,cross-magnet,5-20 GeV,all,1074,5175.753925000001,951.9159384717852,4744.7062237179725,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,5-20 GeV,forward,537,5175.753925000001,1198.41862599435,5317.555460249455,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,5-20 GeV,backward,537,5175.753925000001,759.5785295175758,4105.434894516486,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,20-200 GeV,all,302,5177.237445999999,236.87134615490635,1195.8683679367102,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,20-200 GeV,forward,151,5177.237445999999,286.48932992766163,2118.6360639105715,0.0,0.0
fine reference (material floor),-,-,-,cross-magnet,20-200 GeV,backward,151,5177.237445999999,222.21546708918538,579.7947631455038,0.0,0.0
straight line,-,-,-,all,all,all,13228,70.22465149999971,93.82305478688835,942344.5873544018,88.02083847065134,937777.7098764832
straight line,-,-,-,all,all,forward,6669,70.2286009999998,96.23005060367973,933325.9693365776,89.25601167543107,928475.718234881
straight line,-,-,-,all,all,backward,6559,70.22270000000026,89.87940332326616,955201.0329933998,86.89028408753074,948838.9614928876
straight line,-,-,-,all,1-5 GeV,all,6526,70.21979974999931,157.1877679643876,1485575.1482652551,137.09415036169048,1465591.2588435942
straight line,-,-,-,all,1-5 GeV,forward,3310,70.2234492499997,166.44543544589396,1432115.891438485,143.59984980387708,1422983.4146987256
straight line,-,-,-,all,1-5 GeV,backward,3216,70.21649950000028,152.60412495730515,1561167.4101617802,133.87327419412998,1549319.9689224951
straight line,-,-,-,all,5-20 GeV,all,5212,140.07619949999935,58.682953712589025,475612.8326039625,56.42638319070414,475358.0277967342
straight line,-,-,-,all,5-20 GeV,forward,2606,140.02239974999975,53.05102210146906,485512.35562634945,48.02647292531148,482785.2452024398
straight line,-,-,-,all,5-20 GeV,backward,2606,203.6929999999993,65.91052274032138,467161.687552997,65.33586909455869,465240.71862468746
straight line,-,-,-,all,20-200 GeV,all,1490,70.21095024999977,11.67824519586702,125402.47743172753,10.029870350948045,125318.6168363491
straight line,-,-,-,all,20-200 GeV,forward,753,139.99350049999885,12.861021786989113,128410.62021195987,10.869949582456684,128490.22378003184
straight line,-,-,-,all,20-200 GeV,backward,737,70.2077999999965,10.575390582886257,123018.36297041413,9.591690554714205,123432.25866343429
straight line,-,-,-,0.05-2 mm,all,all,436,0.6499827500010724,0.10822953024813842,0.937597196070783,0.001726186951600539,0.013083278304293344
straight line,-,-,-,0.05-2 mm,all,forward,218,0.6499827500010724,0.10976653754823928,1.0066593063783051,0.001726134308377425,0.013028261662384452
straight line,-,-,-,0.05-2 mm,all,backward,218,0.6499827500010724,0.10531583722439564,0.8846598795017256,0.001726186951600539,0.012884779698651965
straight line,-,-,-,0.05-2 mm,1-5 GeV,all,248,0.6499792499998875,0.1880290893154779,1.2184097873614517,0.004587934654409764,0.016615199069747177
straight line,-,-,-,0.05-2 mm,1-5 GeV,forward,124,0.6499792499998875,0.22207581537259102,1.2099753768211485,0.004583470627039787,0.016581305976615113
straight line,-,-,-,0.05-2 mm,1-5 GeV,backward,124,0.6499792499998875,0.16394752873338803,1.1966753020317344,0.004587934654409764,0.016571091896366852
straight line,-,-,-,0.05-2 mm,5-20 GeV,all,142,0.6499850000000151,0.08497158309239694,0.24678865979783632,0.0009138356773519263,0.0028697979828962153
straight line,-,-,-,0.05-2 mm,5-20 GeV,forward,71,0.6499850000000151,0.07864603625762356,0.22863523084204473,0.0009139284600223618,0.0028317434299651723
straight line,-,-,-,0.05-2 mm,5-20 GeV,backward,71,0.6499850000000151,0.09014756574288185,0.3178126412706206,0.0009137428946814907,0.002831331443076124
straight line,-,-,-,0.05-2 mm,20-200 GeV,all,46,0.6499925000007352,0.05780508879293933,0.12501274662035655,0.0002358024815407589,0.0007938827764064627
straight line,-,-,-,0.05-2 mm,20-200 GeV,forward,23,0.6499925000007352,0.05568359711105586,0.13017821220202558,0.00023582573760450032,0.0007828188699932069
straight line,-,-,-,0.05-2 mm,20-200 GeV,backward,23,0.6499925000007352,0.0716505315381255,0.09798340477686905,0.00023577922547701746,0.0007826582873349252
straight line,-,-,-,2-20 mm,all,all,382,6.3070000000006985,0.6888704449040661,6.012700763153234,0.17171093884371658,1.182702554243064
straight line,-,-,-,2-20 mm,all,forward,191,6.3070000000006985,0.722910931443721,5.533606463615115,0.17137810488065952,1.153157261569504
straight line,-,-,-,2-20 mm,all,backward,191,6.3070000000006985,0.6817192440848885,6.187000529973119,0.17204377280677363,1.1608221365690952
straight line,-,-,-,2-20 mm,1-5 GeV,all,160,6.3070000000006985,1.9526427129734625,10.635286749339906,0.47954003327177475,2.0248194477574035
straight line,-,-,-,2-20 mm,1-5 GeV,forward,80,6.3070000000006985,1.9712361588233307,10.384940791024633,0.47875133811103865,2.0155749625430976
straight line,-,-,-,2-20 mm,1-5 GeV,backward,80,6.3070000000006985,1.865032334400496,11.031014748058961,0.4805133630245706,2.025774303012894
straight line,-,-,-,2-20 mm,5-20 GeV,all,156,6.3070000000006985,0.5408836034153097,1.839379999939439,0.11138552258671552,0.6660620926481897
straight line,-,-,-,2-20 mm,5-20 GeV,forward,78,6.3070000000006985,0.5955354250861689,1.892306982413311,0.1111558151905001,0.65411014951735
straight line,-,-,-,2-20 mm,5-20 GeV,backward,78,6.3070000000006985,0.47020850209023024,1.7001883603171537,0.11159407787886266,0.6599377614293183
straight line,-,-,-,2-20 mm,20-200 GeV,all,66,6.3070000000006985,0.15850202445477635,0.4200465587076707,0.02563519421272531,0.05503830747777272
straight line,-,-,-,2-20 mm,20-200 GeV,forward,33,6.3070000000006985,0.12282647972305938,0.30110688262285906,0.0256177748809705,0.05415255333929281
straight line,-,-,-,2-20 mm,20-200 GeV,backward,33,6.3070000000006985,0.17160728761211885,0.4632546559487637,0.025714228151230145,0.05435789823025061
