arm,network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
residual,residual_w100_physics_s4,physics,4,100,4,True,test,4,2914,1981.0327747869394,24521.25463701571,0.9768121000001033,6269.4015
residual,residual_w100_physics_s4,physics,4,100,4,True,test,5,1481,4001.5974617898564,45800.69776108758,1.533886648072913,7783.540000000001
residual,residual_w100_physics_s4,physics,4,100,4,True,test,6,853,4889.589698055715,29525.762688502244,1.6856752979017564,8330.801
residual,residual_w100_physics_s5,physics,5,100,4,True,val,0,4551,1.0684822801687588,1502.127237220094,0.04424081270114344,55.0
residual,residual_w100_physics_s5,physics,5,100,4,True,val,1,4551,62.11611375074044,3644.0295474726054,0.1940057977150283,373.71799999999996
residual,residual_w100_physics_s5,physics,5,100,4,True,val,2,4551,261.44824004170175,9877.365091928026,0.3264984766027032,821.8929999999991
residual,residual_w100_physics_s5,physics,5,100,4,True,val,3,4551,575.5920208367229,13681.510013752999,0.5471532659398343,2099.987
residual,residual_w100_physics_s5,physics,5,100,4,True,val,4,2932,1856.5820695135144,29287.027861849154,0.9355155314922023,6281.1775
residual,residual_w100_physics_s5,physics,5,100,4,True,val,5,1524,3658.6692303067994,41218.667560733134,1.674728217455887,7759.312
residual,residual_w100_physics_s5,physics,5,100,4,True,val,6,856,4327.7264789118135,41193.6696613468,1.7558315104728162,8181.928
residual,residual_w100_physics_s5,physics,5,100,4,True,test,0,4563,1.0717328115195102,1251.586512517825,0.04266477335036073,69.21399999999994
residual,residual_w100_physics_s5,physics,5,100,4,True,test,1,4563,54.6641713028464,3203.4836651126666,0.19393150077995358,335.087
residual,residual_w100_physics_s5,physics,5,100,4,True,test,2,4563,245.54739790247737,9713.398089215807,0.3244079626999741,752.393
residual,residual_w100_physics_s5,physics,5,100,4,True,test,3,4563,512.919060069521,13426.453107393538,0.5452752204911059,1994.9869999999999
residual,residual_w100_physics_s5,physics,5,100,4,True,test,4,2914,1679.461990663384,25861.75301349444,0.9352703729371137,6269.4015
residual,residual_w100_physics_s5,physics,5,100,4,True,test,5,1481,3661.6304673254376,44817.90202569391,1.5910895472571394,7783.540000000001
residual,residual_w100_physics_s5,physics,5,100,4,True,test,6,853,4391.473438616984,36499.2500345586,1.8157725387739632,8330.801
residual,residual_w100_physics_s6,physics,6,100,4,True,val,0,4551,1.5494576388377368,1541.0888980516688,0.04263103457211384,55.0
residual,residual_w100_physics_s6,physics,6,100,4,True,val,1,4551,83.76018116555883,3922.66411005366,0.2210523806214365,373.71799999999996
residual,residual_w100_physics_s6,physics,6,100,4,True,val,2,4551,327.4130298420914,9638.685931377182,0.36269225684609774,821.8929999999991
residual,residual_w100_physics_s6,physics,6,100,4,True,val,3,4551,604.76268568857,12690.95213641441,0.6536456313054884,2099.987
residual,residual_w100_physics_s6,physics,6,100,4,True,val,4,2932,2152.9865326155077,29743.510033041035,1.1964503985479602,6281.1775
residual,residual_w100_physics_s6,physics,6,100,4,True,val,5,1524,4665.0632183424495,42310.1805311762,2.2002104919004175,7759.312
residual,residual_w100_physics_s6,physics,6,100,4,True,val,6,856,5292.216558275413,46883.07917599218,2.395232171408426,8181.928
residual,residual_w100_physics_s6,physics,6,100,4,True,test,0,4563,1.4211229540137538,1414.0392573167646,0.04165258768080299,69.21399999999994
residual,residual_w100_physics_s6,physics,6,100,4,True,test,1,4563,76.02302318863963,3255.834935523387,0.21596152998476503,335.087
residual,residual_w100_physics_s6,physics,6,100,4,True,test,2,4563,279.1925771697379,8795.68152154457,0.357901262913669,752.393
residual,residual_w100_physics_s6,physics,6,100,4,True,test,3,4563,563.4158877057871,12851.22827313223,0.5948515320087759,1994.9869999999999
residual,residual_w100_physics_s6,physics,6,100,4,True,test,4,2914,1994.084081709758,25017.0977390872,1.0749248542094234,6269.4015
residual,residual_w100_physics_s6,physics,6,100,4,True,test,5,1481,4479.85459924098,46938.01636768785,1.9612687746323465,7783.540000000001
residual,residual_w100_physics_s6,physics,6,100,4,True,test,6,853,5109.896676234939,35503.30324788645,2.2791323200779257,8330.801
residual,residual_w100_physics_s7,physics,7,100,4,True,val,0,4551,1.3750894634299016,1390.7781033806152,0.04978469833263888,55.0
