network,mode,seed,width,depth,converged,variant,n,med_um,p95_um,slope_med_mrad,first_step_med_um,straight_med_um,label_vs_rk4_med_um
w50_data_s1,data,1,50,4,True,composite_two_steps,2726,34228.29381309383,472960.74424418516,11.948902292602732,3167.246561959246,948414.482682055,0.0451482050038976
w50_data_s1,data,1,50,4,True,single_giant_step,2726,6213.119115999234,90027.7046516228,,,948414.482682055,0.0451482050038976
w50_data_s2,data,2,50,4,True,composite_two_steps,2726,30833.850867999783,344852.66016215377,8.131426331938446,3685.4282716114994,948414.482682055,0.0451482050038976
w50_data_s2,data,2,50,4,True,single_giant_step,2726,6920.799234156334,130102.38341131699,,,948414.482682055,0.0451482050038976
w50_physics_s0,physics,0,50,4,True,composite_two_steps,2726,89833.1398066525,795168.1462559171,21.57491816893821,6808.5442701749635,948414.482682055,0.0451482050038976
w50_physics_s0,physics,0,50,4,True,single_giant_step,2726,17930.579629250788,213411.57508759602,,,948414.482682055,0.0451482050038976
w50_physics_s1,physics,1,50,4,True,composite_two_steps,2726,28980.249391810277,755394.4143515986,10.162992243061955,8456.114954468205,948414.482682055,0.0451482050038976
w50_physics_s1,physics,1,50,4,True,single_giant_step,2726,17377.73014818913,227215.67405190784,,,948414.482682055,0.0451482050038976
w50_physics_s2,physics,2,50,4,True,composite_two_steps,2726,42248.08907773968,578048.1543313274,21.20653883015357,12453.87867445534,948414.482682055,0.0451482050038976
w50_physics_s2,physics,2,50,4,True,single_giant_step,2726,30692.01904643495,348336.3853915284,,,948414.482682055,0.0451482050038976
w50_physics_s3,physics,3,50,4,True,composite_two_steps,2726,76586.28082744872,920214.7671301352,29.419229321245854,17393.992812852164,948414.482682055,0.0451482050038976
w50_physics_s3,physics,3,50,4,True,single_giant_step,2726,28511.90024582911,318082.4428598905,,,948414.482682055,0.0451482050038976
w50_physics_s4,physics,4,50,4,True,composite_two_steps,2726,44193.88269842847,710836.841257174,23.881652390879943,10667.761734535332,948414.482682055,0.0451482050038976
w50_physics_s4,physics,4,50,4,True,single_giant_step,2726,15871.684774819612,184490.97463572526,,,948414.482682055,0.0451482050038976
w50_physics_s5,physics,5,50,4,True,composite_two_steps,2726,50998.770348534745,617858.2619525308,7.820852461429295,13524.540792220705,948414.482682055,0.0451482050038976
w50_physics_s5,physics,5,50,4,True,single_giant_step,2726,18874.550073482424,247731.75531797347,,,948414.482682055,0.0451482050038976
w50_physics_s6,physics,6,50,4,True,composite_two_steps,2726,44976.808366898,617756.0460300138,14.146284992141434,9878.475429735048,948414.482682055,0.0451482050038976
w50_physics_s6,physics,6,50,4,True,single_giant_step,2726,19945.33400844253,227745.0508591845,,,948414.482682055,0.0451482050038976
w50_physics_s7,physics,7,50,4,True,composite_two_steps,2726,36710.553405157385,614663.6961083456,13.1445262123511,10030.913902394743,948414.482682055,0.0451482050038976
w50_physics_s7,physics,7,50,4,True,single_giant_step,2726,17964.40340708739,209506.37537163455,,,948414.482682055,0.0451482050038976
w50_physics_s8,physics,8,50,4,True,composite_two_steps,2726,49729.34744009646,734703.4307663346,14.640799121743932,13013.85932010072,948414.482682055,0.0451482050038976
w50_physics_s8,physics,8,50,4,True,single_giant_step,2726,14959.848495382346,206476.60362800118,,,948414.482682055,0.0451482050038976
w50_physics_s9,physics,9,50,4,True,composite_two_steps,2726,53892.23263405173,577737.0978593557,7.412916107002065,8435.086175900808,948414.482682055,0.0451482050038976
w50_physics_s9,physics,9,50,4,True,single_giant_step,2726,13734.122165180679,192221.16964576754,,,948414.482682055,0.0451482050038976
