arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w50_physics_s1,physics,1,50,4,C,2,0.2372337950418355,False,0.31315668471165736,106.10171236247938,2793
residual,residual_w50_physics_s1,physics,1,50,4,C,3,0.4082826787521751,False,0.5491257239320646,212.4203984092675,2793
residual,residual_w50_physics_s1,physics,1,50,4,C,4,0.5917173212478248,False,0.6459447488396108,225.52450454524964,2793
residual,residual_w50_physics_s1,physics,1,50,4,C,5,0.7627662049581645,False,0.9108493442697707,237.94963456636697,2793
residual,residual_w50_physics_s1,physics,1,50,4,C,6,0.8983332387068134,False,0.9988587476934541,227.69225203004464,2793
residual,residual_w50_physics_s1,physics,1,50,4,C,7,0.9801449282487681,False,1.1297597544321358,242.5523721004539,2793
residual,residual_w50_physics_s1,physics,1,50,4,C,8,1.0,True,1.1716632823706163,259.70801015759554,2793
residual,residual_w50_physics_s2,physics,2,50,4,A,0,0.019855071751231912,False,0.02234143390289489,334.8887115528385,604
residual,residual_w50_physics_s2,physics,2,50,4,A,1,0.10166676129318664,False,0.057969325656159754,543.8411279931337,604
residual,residual_w50_physics_s2,physics,2,50,4,A,2,0.2372337950418355,False,0.281486142214904,1518.0266277803967,604
residual,residual_w50_physics_s2,physics,2,50,4,A,3,0.4082826787521751,False,0.8882214941788869,4178.425136292306,604
residual,residual_w50_physics_s2,physics,2,50,4,A,4,0.5917173212478248,False,1.6465207717679675,9683.035617708387,604
residual,residual_w50_physics_s2,physics,2,50,4,A,5,0.7627662049581645,False,2.986093182944898,15446.678466874053,604
residual,residual_w50_physics_s2,physics,2,50,4,A,6,0.8983332387068134,False,4.23278557606685,26934.118864507138,604
residual,residual_w50_physics_s2,physics,2,50,4,A,7,0.9801449282487681,False,5.27709052180958,29490.79515518909,604
residual,residual_w50_physics_s2,physics,2,50,4,A,8,1.0,True,5.559383018411634,31096.783232503356,604
residual,residual_w50_physics_s2,physics,2,50,4,B,0,0.019855071751231912,False,41.636990593080455,412.9046893499891,564
residual,residual_w50_physics_s2,physics,2,50,4,B,1,0.10166676129318664,False,107.94300800712087,780.6769484254243,564
residual,residual_w50_physics_s2,physics,2,50,4,B,2,0.2372337950418355,False,273.52665048752556,2163.9372898073248,564
residual,residual_w50_physics_s2,physics,2,50,4,B,3,0.4082826787521751,False,498.13793591401634,4389.808603478705,564
residual,residual_w50_physics_s2,physics,2,50,4,B,4,0.5917173212478248,False,763.9672854414812,7414.085987317891,564
residual,residual_w50_physics_s2,physics,2,50,4,B,5,0.7627662049581645,False,847.8834922011415,14976.664376187768,564
residual,residual_w50_physics_s2,physics,2,50,4,B,6,0.8983332387068134,False,978.3041704257158,21251.43330937116,564
residual,residual_w50_physics_s2,physics,2,50,4,B,7,0.9801449282487681,False,962.8509271280734,30346.959425485053,564
