tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
w100_physics_s4,physics,4,100,4,True,test,C,20-200GeV,144.88923838538705,738.9222163948119,229.78900825594906,0.07992950230550216,0.00034086218120793683,6.273630611466505e-05,0.7430259263347949,311,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
w100_physics_s4,physics,4,100,4,True,test,C,all,322.08522183583807,2885.1965003927503,536.5927197731253,0.16310522909083677,0.002046635154121321,1.6511240866464135e-05,6.63368461363234,2793,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
w100_physics_s5,physics,5,100,4,True,val,A,1-5GeV,599.7762328404624,63712.6195883541,1093.2684377586065,0.36270908321057393,0.1029176592997784,0.006231444778851684,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
w100_physics_s5,physics,5,100,4,True,val,A,5-20GeV,176.67165804507658,9663.40674878703,428.4689388159879,0.17134384643457434,0.02263198885980653,0.005449049112119821,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
w100_physics_s5,physics,5,100,4,True,val,A,20-200GeV,351.79329421508345,8579.246937649115,440.8511914697785,0.1692401580741295,0.0826684555667367,0.02464785029529254,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
w100_physics_s5,physics,5,100,4,True,val,A,all,409.38261419037167,34378.02625220607,690.3471172483817,0.2390589391320589,0.0764034420105491,0.007602518810142194,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
w100_physics_s5,physics,5,100,4,True,val,B,1-5GeV,6211.229355488477,69939.83211680243,8987.218799558776,2.928049121129872,0.0003500970707421289,2.148072253068283e-05,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
w100_physics_s5,physics,5,100,4,True,val,B,5-20GeV,2467.786254481723,28661.319452857504,2718.6197983912734,0.8355764288468653,0.0007253840362395957,2.807441133965359e-05,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
w100_physics_s5,physics,5,100,4,True,val,B,20-200GeV,2470.393718131135,15845.269752480224,2292.3103860281417,0.5942334623282586,0.0071362654380731335,0.0001220666054545646,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
w100_physics_s5,physics,5,100,4,True,val,B,all,3133.1288877733527,50958.772121924994,3962.9466117372376,1.163242076814841,0.0016211413621060454,3.0582697217770314e-05,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
w100_physics_s5,physics,5,100,4,True,val,C,1-5GeV,446.6274792825402,3685.9103536471594,784.3331285940786,0.3146141018883079,0.002244238723480291,1.1691334479713929e-05,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
w100_physics_s5,physics,5,100,4,True,val,C,5-20GeV,174.1967709235972,1331.0945650020471,352.1006856684892,0.11037602156056467,0.00015944519985691618,1.0459374901018883e-05,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
w100_physics_s5,physics,5,100,4,True,val,C,20-200GeV,173.11636874307658,553.1169878841139,260.66800929901035,0.061895712093447755,0.00032869640478546124,3.99749831827156e-05,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
w100_physics_s5,physics,5,100,4,True,val,C,all,267.62047162452234,2508.8181040723684,519.248498861506,0.1903480904908196,0.0013444276738232383,1.2709306548428402e-05,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
w100_physics_s5,physics,5,100,4,True,test,A,1-5GeV,688.8059398994735,72191.18609617474,1148.3157089667948,0.397633971410535,0.11371272143466661,0.007594239937468911,31.11023947234115,324,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
w100_physics_s5,physics,5,100,4,True,test,A,5-20GeV,177.88283184955762,14832.895192453861,430.3425601363031,0.16363461888747183,0.03513240255767787,0.005787094723445636,9.80516663159503,191,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
w100_physics_s5,physics,5,100,4,True,test,A,20-200GeV,266.5616412980332,4993.329763012978,410.6151456801229,0.14937855236062114,0.08405387388296119,0.01347505653177623,5.945399012586616,89,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
w100_physics_s5,physics,5,100,4,True,test,A,all,409.3164182516559,28013.921405354533,695.1336275804645,0.22678787631337516,0.08449338643862915,0.007940094346481883,10.945522383782214,604,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
w100_physics_s5,physics,5,100,4,True,test,B,1-5GeV,6812.949779416385,83939.62196332883,8904.439171420563,2.8886924237443434,0.0006522886993388295,1.8525433764707983e-05,1197127.786821343,191,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
w100_physics_s5,physics,5,100,4,True,test,B,5-20GeV,2587.9670933812235,24596.865866379667,2862.371440536577,0.8714220299135961,0.00066772399447407,2.6451946673109052e-05,355193.23732396663,278,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
w100_physics_s5,physics,5,100,4,True,test,B,20-200GeV,1641.2390247794378,9313.962835975797,1619.7961591593328,0.4514954390913012,0.0034226478583362996,8.015721145764539e-05,104910.80409850382,95,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
w100_physics_s5,physics,5,100,4,True,test,B,all,2948.081403570768,39733.32264042938,3456.0316964655867,1.0027473718499658,0.0011265353875522272,2.932324586887208e-05,444074.60985912883,564,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
w100_physics_s5,physics,5,100,4,True,test,C,1-5GeV,416.73326097611607,4190.2772262394565,803.4468305293103,0.30533379596171784,0.003573712904452025,1.5169405628812567e-05,20.65045648123487,1625,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
w100_physics_s5,physics,5,100,4,True,test,C,5-20GeV,160.90715383187694,1301.7365049311818,346.96910731098995,0.11392940861060545,0.00012127783994633695,1.0900819238650094e-05,4.010366603324655,857,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
w100_physics_s5,physics,5,100,4,True,test,C,20-200GeV,178.8922297940405,559.6998862936928,268.1549507355303,0.05833334513245109,0.0006855969986140977,4.360136331010031e-05,0.7430259263347949,311,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
w100_physics_s5,physics,5,100,4,True,test,C,all,261.6112932234027,2838.2135858762927,527.6944172765923,0.1945151466106257,0.0021927816846178077,1.5401430204318452e-05,6.63368461363234,2793,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
w100_physics_s6,physics,6,100,4,True,val,A,1-5GeV,685.3971448189579,78975.52758762053,1139.5418402320988,0.32649981916366144,0.12086003092043017,0.024842778774638634,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
w100_physics_s6,physics,6,100,4,True,val,A,5-20GeV,210.98551504087283,8299.099411577425,365.4239661793604,0.13705455629161623,0.027730762691468874,0.006135451666539062,11.007220319043443,184,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
w100_physics_s6,physics,6,100,4,True,val,A,20-200GeV,125.41582270734392,6990.4323856021765,341.2671642634755,0.19477125483158753,0.028944246465985365,0.0033435761462548472,15.481654977695825,98,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
w100_physics_s6,physics,6,100,4,True,val,A,all,428.1400061802177,28781.794345568942,736.9221318350195,0.22521512850515873,0.07949368245418892,0.007298683449532949,15.482794052115722,632,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
w100_physics_s6,physics,6,100,4,True,val,B,1-5GeV,7469.479462559093,85085.158536871,9343.383230311134,3.7810687676230748,0.000298195100141047,2.712063219380322e-05,1181464.7237645744,219,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
w100_physics_s6,physics,6,100,4,True,val,B,5-20GeV,1937.1675458871139,28788.47493956998,2721.9110091795073,0.8192100019190768,0.0005516133795859792,1.7304248126101e-05,360379.6349347898,268,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
w100_physics_s6,physics,6,100,4,True,val,B,20-200GeV,1749.9004255030995,11236.685341049802,2464.9237309105897,0.4470688736230911,0.006394745706825447,7.10278156403278e-05,104397.23230693299,94,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
w100_physics_s6,physics,6,100,4,True,val,B,all,2768.624743427438,50790.157993424145,4170.225458130631,1.1203188046001733,0.00140145130654307,2.7552590016631126e-05,468725.43876780034,581,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
w100_physics_s6,physics,6,100,4,True,val,C,1-5GeV,465.5626823568255,3328.024315288644,867.4333580682423,0.33209682562970744,0.001382327250084202,1.4526590054879532e-05,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
w100_physics_s6,physics,6,100,4,True,val,C,5-20GeV,209.0351475829486,1237.0269988746506,364.54747543672283,0.11895978019756115,0.0002601022638831652,2.0035695351604317e-05,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
w100_physics_s6,physics,6,100,4,True,val,C,20-200GeV,144.59193839180884,477.0302818049345,235.18646291378565,0.11379292380639047,0.00038288097960117865,8.352132285320351e-05,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
w100_physics_s6,physics,6,100,4,True,val,C,all,303.510714052841,2558.875886998372,552.8121326776692,0.20923520939533213,0.0009015758562167118,1.823344624207975e-05,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
