N,q,checkpoint,p_lo,p_hi,component,unit,n,med_abs,rms,std,mean,signed_med,hw68,p95_abs,rms_no_tail,dz_mm,kind,n_tail,tail_frac,x0_med_tail_mm,x0_med_rest_mm
128,8,0,3,5,tx,mrad,341,0.12038745935827322,0.6297385288388118,0.6297071997548508,-0.006281503082500476,0.00766011507169484,0.22331087906648503,1.1818997097005068,0.34921777923884617,40.5,"endpoint (after N steps, at z1)",47,0.1378299120234604,225.1562930866806,125.1132099025983
128,8,0,3,5,ty,mrad,341,0.13668023838121768,0.7991362216661835,0.7981173064305265,0.0403418635536899,-0.015589513468998104,0.22234646040688516,1.2505189636383973,0.3194236587414965,40.5,"endpoint (after N steps, at z1)",47,0.1378299120234604,225.1562930866806,125.1132099025983
128,8,0,4,6,x,um,286,87.1316040822272,550.1844786513171,548.2748586158427,-45.79999954802652,-13.33758502744331,146.58207251902127,755.5330064538879,191.92092870953377,40.5,"endpoint (after N steps, at z1)",20,0.06993006993006994,200.66531664097445,114.3874807316364
128,8,0,4,6,y,um,286,133.28772533932386,620.2027980329137,620.1340240318586,9.235958310289238,-25.057669410017525,237.9275203694931,922.6176230817487,266.6987515742129,40.5,"endpoint (after N steps, at z1)",20,0.06993006993006994,200.66531664097445,114.3874807316364
128,8,0,4,6,tx,mrad,286,0.08356326737180009,0.3067563200407716,0.3054267013678036,-0.02853015906963683,0.0018969589763717654,0.135301703460379,0.6166058244539835,0.20860079036750326,40.5,"endpoint (after N steps, at z1)",20,0.06993006993006994,200.66531664097445,114.3874807316364
128,8,0,4,6,ty,mrad,286,0.08740621189647947,0.4130056346945906,0.41287231581632644,-0.010493098777066025,-0.014953208186418033,0.13490932235001096,0.611568635471172,0.15440958174945926,40.5,"endpoint (after N steps, at z1)",20,0.06993006993006994,200.66531664097445,114.3874807316364
128,8,0,5,7,x,um,233,82.81224299139467,433.82631045312263,433.3622850491793,20.059848910772025,20.44787527376002,121.0753974448653,658.9142767556033,148.36295865663928,40.5,"endpoint (after N steps, at z1)",16,0.06866952789699571,329.6400668178203,89.29150479641856
128,8,0,5,7,y,um,233,93.95943230174453,626.6504274699248,625.1068374359857,43.956797415411266,-21.086001185551595,151.76197481401488,909.7471646053683,213.85193366606504,40.5,"endpoint (after N steps, at z1)",16,0.06866952789699571,329.6400668178203,89.29150479641856
128,8,0,5,7,tx,mrad,233,0.06205366799172385,0.24623999883923867,0.2458439481962176,0.013960306717395165,-0.0009068274893497819,0.09182239077594245,0.3460564563162121,0.12215406119497922,40.5,"endpoint (after N steps, at z1)",16,0.06866952789699571,329.6400668178203,89.29150479641856
128,8,0,5,7,ty,mrad,233,0.05485356947793757,0.33468879473336227,0.33409244119610915,0.019970729974015403,-0.0021549070737154896,0.0908999420345169,0.5796988983518209,0.13077860702279376,40.5,"endpoint (after N steps, at z1)",16,0.06866952789699571,329.6400668178203,89.29150479641856
128,8,0,5,8,x,um,314,74.17227673832372,377.27625390519086,376.7999615882706,18.95153576393819,10.163891658294233,107.10084293497177,498.2364060119594,137.31140232627453,40.5,"endpoint (after N steps, at z1)",16,0.050955414012738856,329.6400668178203,86.43428253686301
128,8,0,5,8,y,um,314,77.33437477619987,544.4966592013095,543.8042619959025,27.450619600998998,-21.19899256183544,132.65324773447958,784.7077280327964,196.62158667696045,40.5,"endpoint (after N steps, at z1)",16,0.050955414012738856,329.6400668178203,86.43428253686301
