N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
2,8,y,µm,10.0,15.0,208,82.51297793239942,337.4642359040819,24.96443673386671
2,8,y,µm,15.0,20.0,109,91.84811834781215,300.34720154918085,32.411753864015445
2,8,y,µm,20.0,30.0,115,64.98376975984854,220.83115140867443,3.5412217300893025
2,8,y,µm,30.0,50.0,55,42.90184999700841,201.8505174778283,29.563624510256034
2,8,y,µm,50.0,100.0,24,27.828810929037218,126.39626048387801,11.152290928749364
2,8,y,µm,100.0,200.0,6,34.252094751664686,41.00982722299307,5.355167854472616
2,8,tx,mrad,1.0,2.0,5,0.5917817282894422,1.1681062032979472,-0.028389280424756524
2,8,tx,mrad,2.0,3.0,159,0.10868052064699762,0.7116955884886288,0.058549095349327826
2,8,tx,mrad,3.0,5.0,341,0.05835686814187335,0.37182501939519996,0.004035382301687827
2,8,tx,mrad,5.0,7.0,233,0.0448011725772135,0.28156376434895736,0.007171042964489373
2,8,tx,mrad,7.0,10.0,197,0.034533330112662686,0.14374504603847596,-0.0018300579065233422
2,8,tx,mrad,10.0,15.0,208,0.027185200360463346,0.12155548290523481,0.004583068320142114
2,8,tx,mrad,15.0,20.0,109,0.027115753533035747,0.13249436251828908,-0.0010680830947789293
2,8,tx,mrad,20.0,30.0,115,0.025726768534198308,0.08349446895993469,0.006020003633430623
2,8,tx,mrad,30.0,50.0,55,0.04037089358062407,0.10440063517445237,0.0056392435001531805
2,8,tx,mrad,50.0,100.0,24,0.12092873814626565,0.220816722802175,0.016095208391459257
2,8,tx,mrad,100.0,200.0,6,0.4739674665614202,1.1528268522132912,0.1831108737454518
2,8,ty,mrad,1.0,2.0,5,0.40135132448257393,0.4217565803341594,-0.2934178719986755
2,8,ty,mrad,2.0,3.0,159,0.12496578776496903,0.7069355880220074,0.06658850644596816
2,8,ty,mrad,3.0,5.0,341,0.07151481018122241,0.5790673754528519,0.03246259707361872
2,8,ty,mrad,5.0,7.0,233,0.042973833163664765,0.4631243958430476,0.03091002444232499
2,8,ty,mrad,7.0,10.0,197,0.035927693802497926,0.17472486871318574,-0.006576214518954411
2,8,ty,mrad,10.0,15.0,208,0.03592194937669137,0.12239605201469696,-0.00027514077991700554
2,8,ty,mrad,15.0,20.0,109,0.03680016685767354,0.10950058891385782,0.000982873982346762
2,8,ty,mrad,20.0,30.0,115,0.024165136965046546,0.059390391166563514,-0.0029721964202076524
2,8,ty,mrad,30.0,50.0,55,0.015396567772087144,0.05155892606639352,0.0048048418096891575
2,8,ty,mrad,50.0,100.0,24,0.008084639030606425,0.030264207087063275,0.000953878210402505
2,8,ty,mrad,100.0,200.0,6,0.00738613760956075,0.013280615789791183,0.003000154457300936
2,16,x,µm,1.0,2.0,5,1489.11945609467,2987.076582257259,-523.037110422058
2,16,x,µm,2.0,3.0,159,217.92668047385177,1705.8640283129587,33.8361949666909
2,16,x,µm,3.0,5.0,341,122.98383173958882,967.2107275388271,2.592471319114495
2,16,x,µm,5.0,7.0,233,101.29976766438631,673.1498943142453,25.189680352781277
2,16,x,µm,7.0,10.0,197,73.108726047451,330.9160333541324,-5.295130603784583
2,16,x,µm,10.0,15.0,208,43.16527483963739,260.9400116773853,6.158446478939132
2,16,x,µm,15.0,20.0,109,53.844044424948834,270.79492571497195,14.710219742357765
2,16,x,µm,20.0,30.0,115,51.518783072481256,191.5921798409087,-16.120018847723497
2,16,x,µm,30.0,50.0,55,112.18643666256867,316.98214394062774,-48.66110506946533
2,16,x,µm,50.0,100.0,24,211.40336940950277,1051.643634093959,-82.81040374027852
2,16,x,µm,100.0,200.0,6,2293.799522013863,3679.938779843119,441.37559897695115
2,16,y,µm,1.0,2.0,5,826.8180497535838,4714.317649454596,1145.6835439952129
2,16,y,µm,2.0,3.0,159,574.2718544910304,2008.4343907390971,180.40713788666295
2,16,y,µm,3.0,5.0,341,273.05681490372535,1948.034719592215,38.717544861337046
2,16,y,µm,5.0,7.0,233,161.51570874191634,1546.0079069383012,-11.903849113446995
2,16,y,µm,7.0,10.0,197,123.58821823993082,622.8653071804672,-11.038557849617645
2,16,y,µm,10.0,15.0,208,114.08842547329812,458.14637646665204,13.043919007207428
2,16,y,µm,15.0,20.0,109,144.72439607079934,416.58809870409607,52.98450758005103
2,16,y,µm,20.0,30.0,115,93.21749339051522,262.2802510911128,-8.950778641478202
2,16,y,µm,30.0,50.0,55,55.94189990927134,171.0731552104988,18.614622031915054
2,16,y,µm,50.0,100.0,24,41.97813303612463,103.82295595537123,8.044803831863447
2,16,y,µm,100.0,200.0,6,31.55031881824044,49.976633107959856,-5.582881236274299
2,16,tx,mrad,1.0,2.0,5,0.6374741354694957,1.0042674023320375,-0.22829256826247812
2,16,tx,mrad,2.0,3.0,159,0.10677668003589158,0.6923874083842426,0.007078099208803979
2,16,tx,mrad,3.0,5.0,341,0.05343225994464129,0.34932110085994506,0.008727859709512993
